Date,b_minus_a_return_in_fires,n_fire_weeks
2008,0.00019123275413054247,5
2009,0.0009024037397718879,9
2011,-0.0008373509949553442,4
2016,0.0008590018697716873,5
2018,0.00017319184870403267,1
2019,0.0008973032061940791,4
2020,0.0001835520977408905,6
2022,0.000898818281093021,11
2025,0.0004891369570907583,4
