variant,state,risky,offense,bil
ggg_baseline,calm_trend,0.889669994079899,0.5615543138553287,0.11033000592010064
ggg_baseline,neutral_mixed,0.7396443285568105,0.4267300078159451,0.26035567144318916
ggg_baseline,recovery_confirmed,0.8863925026335753,0.48700069636122034,0.11360749736642432
ggg_baseline,recovery_fragile,0.8300705682753038,0.4288064599046961,0.16992943172469585
ggg_baseline,stressed_panic,0.46866388350788474,0.1901659151801395,0.531336116492115
ggg_baseline,ALL_avg_L1_weight_diff_vs_pin,0.03684569618402499,0.14711318222434328,
production_pin,calm_trend,0.8658006556658896,0.5383878693964764,0.1341993443341105
production_pin,neutral_mixed,0.7333789300314184,0.42093096585102974,0.2666210699685816
production_pin,recovery_confirmed,0.8877707124642279,0.48837890619187313,0.11222928753577205
production_pin,recovery_fragile,0.8208183492664693,0.4197211909573745,0.17918165073353068
production_pin,stressed_panic,0.46866388350788474,0.1901659151801395,0.5313361164921152
cand_A_alpha024,calm_trend,0.8172607951538176,0.4914310721673926,0.18273920484618247
cand_A_alpha024,neutral_mixed,0.7164726920303532,0.40646337913472363,0.2835273079696467
cand_A_alpha024,recovery_confirmed,0.8879939411558749,0.489421731155192,0.11200605884412504
cand_A_alpha024,recovery_fragile,0.7977338988126618,0.3989777010067214,0.2022661011873382
cand_A_alpha024,stressed_panic,0.46866388350788474,0.1901659151801395,0.5313361164921152
cand_A_alpha024,ALL_avg_L1_weight_diff_vs_pin,0.07044780562382433,0.29422636444868633,
cand_B_alpha024_pbi,calm_trend,0.8172607951538176,0.4914310721673926,0.18273920484618247
cand_B_alpha024_pbi,neutral_mixed,0.7164726920303532,0.40646337913472363,0.2835273079696467
cand_B_alpha024_pbi,recovery_confirmed,0.8879939411558749,0.489421731155192,0.11200605884412504
cand_B_alpha024_pbi,recovery_fragile,0.7977338988126618,0.3989777010067214,0.2022661011873382
cand_B_alpha024_pbi,stressed_panic,0.4727478437296813,0.19424987540193608,0.5272521562703186
cand_B_alpha024_pbi,ALL_avg_L1_weight_diff_vs_pin,0.0721328991207458,0.29422636444868633,
cand_C_alpha016_pbi,calm_trend,0.8417493272054262,0.5150842759722747,0.15825067279457383
cand_C_alpha016_pbi,neutral_mixed,0.7255379692239224,0.41408615702906304,0.27446203077607756
cand_C_alpha016_pbi,recovery_confirmed,0.8881207320140404,0.48907252114721284,0.11187926798595961
cand_C_alpha016_pbi,recovery_fragile,0.8093837551437904,0.4094270724982202,0.19061624485620965
cand_C_alpha016_pbi,stressed_panic,0.4727478437296813,0.19424987540193608,0.5272521562703186
cand_C_alpha016_pbi,ALL_avg_L1_weight_diff_vs_pin,0.03736794678743651,0.14711318222434322,
arm_vol_throttle,calm_trend,0.8287314031454815,0.5013186168760684,0.17126859685451848
arm_vol_throttle,neutral_mixed,0.705910626930479,0.3934626627500904,0.29408937306952093
arm_vol_throttle,recovery_confirmed,0.8730739868743895,0.4736821806020346,0.12692601312561058
arm_vol_throttle,recovery_fragile,0.8069291353195722,0.40583197701047735,0.19307086468042778
arm_vol_throttle,stressed_panic,0.46866388350788474,0.1901659151801395,0.5313361164921152
arm_vol_throttle,ALL_avg_L1_weight_diff_vs_pin,0.04649464924618795,0.2589869166445391,
