Date,gross_return,net_return,turnover,cost,wealth,drawdown
2012-01-20,0.015171210821544757,0.015143911401601595,0.02729941994316075,2.729941994316075e-05,1.5938057686838332,-0.014608941737885295
2012-01-27,-3.0401357630104996e-05,-0.00011991681576036609,0.08951545813026109,8.951545813026109e-05,1.5936146445711121,-0.01472710669587074
2012-02-03,-0.0024562660292583947,-0.0024737264646261083,0.017460435367713648,1.7460435367713647e-05,1.589672477850421,-0.01716440232691585
2012-02-10,0.0006853857028048826,0.0006507570583581026,0.03462864444677999,3.4628644446779986e-05,1.5907069684358597,-0.016524815124524528
2012-02-17,0.010694073924298293,0.010676039687437664,0.018034236860629292,1.8034236860629292e-05,1.6076894191619646,-0.00602519501918386
2012-02-24,-0.0032925077452422096,-0.0035830542899309547,0.29054654468874497,0.000290546544688745,1.6019289806917596,-0.009586660708253647
2012-03-02,-0.0024726089662736594,-0.002562281934233117,0.08967296795945773,8.967296795945774e-05,1.5978243870046085,-0.012124378914944556
2012-03-09,-0.008369902066351489,-0.008464188609909913,0.09428654355842471,9.428654355842471e-05,1.5843001000274877,-0.020485944494940456
2012-03-16,0.002524907934210479,0.002443720527309392,0.08118740690108711,8.118740690108712e-05,1.588171686703343,-0.018092285890714654
2012-03-23,0.0015992775450163808,0.0015675221854735029,0.03175535954287803,3.175535954287803e-05,1.5906611810565914,-0.016553123764760813
2012-03-30,-0.0035229597898131485,-0.003868311428673191,0.34535163886004233,0.0003453516388600423,1.5845080082307634,-0.020357402555594484
2012-04-06,0.0052174154595062095,0.005183230501987407,0.03418495751880248,3.4184957518802484e-05,1.5927208784696685,-0.015279689163474441
2012-04-13,0.0033504417393029427,0.003295324272783609,0.05511746651933365,5.511746651933365e-05,1.5979694102402586,-0.012034716421271963
2012-04-20,0.01122849888301776,0.011123386827589288,0.10511205542847134,0.00010511205542847133,1.6157442421290158,-0.0010451963997968328
2012-04-27,-0.010007189655362089,-0.010180918101031144,0.1737284456690547,0.00017372844566905472,1.5992944823276876,-0.011215473441882229
2012-05-04,-0.0008213724267741647,-0.0009154419863995917,0.09406955962542701,9.406955962542701e-05,1.5978304210099477,-0.012120648312995641
2012-05-11,-0.025137756116496605,-0.025284297003178736,0.14654088668212964,0.00014654088668212965,1.557430402084418,-0.037098483244357494
