variant,p_cand_gt_base,mean_sharpe_delta,ci_low,ci_high
cand_A_alpha024,0.7745,0.013793899238348867,-0.022400490190771845,0.04887670859663031
cand_B_alpha024_pbi,0.8095,0.01603660475154201,-0.020573267670742874,0.05105016221007957
cand_C_alpha016_pbi,0.8795,0.010857980706827867,-0.007532080504712829,0.028931219569345995
arm_vol_throttle,0.757,0.010901586800266405,-0.01912697209352839,0.042849372974706444
