candidate,membership,method,lookback,shrinkage,cap_multiple,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,delay1_recent_cagr,delay2_recent_cagr,worst_current_delay_recent_cagr,peak_total_stock_weight,surface_gates
cash80_balance20__equal__lb26__s00__cap1.00x,cash80_balance20,equal,26,0.0,1.0,1.2371115996688697,3.1172056716974486,-0.08708758375337289,0.4246991766154238,1.0844549332674522,1.217162569762591,1.201524199133802,1.201524199133802,0.06815751020591881,True
cash775_balance225__equal__lb26__s00__cap1.00x,cash775_balance225,equal,26,0.0,1.0,1.232536217207552,3.108828135643177,-0.08708758375337322,0.40982504105432116,1.0796421139378034,1.2157602854543232,1.2011831423893429,1.2011831423893429,0.06815751020591884,True
cash80_balance20__inverse_volatility__lb26__s50__cap1.50x,cash80_balance20,inverse_volatility,26,0.5,1.5,1.2264604338744292,3.102330802742511,-0.087087583753373,0.41897868534946436,1.060961853266062,1.2118261453429695,1.199415418676249,1.199415418676249,0.08386903716599858,False
cash80_balance20__sector_balance__lb26__s50__cap1.50x,cash80_balance20,sector_balance,26,0.5,1.5,1.2255771913349336,3.1102836393455613,-0.08708758375337311,0.4083697772868744,1.0600201086240415,1.2086654483944064,1.1986952618189126,1.1986952618189126,0.0954917055712931,False
cash80_balance20__sector_balance__lb26__s75__cap1.50x,cash80_balance20,sector_balance,26,0.75,1.5,1.225577191334934,3.110283639345563,-0.08708758375337322,0.4083697772868744,1.060020108624042,1.2086654483944073,1.1986952618189095,1.1986952618189095,0.09549170557129316,False
cash80_balance20__sector_balance__lb26__s25__cap1.25x,cash80_balance20,sector_balance,26,0.25,1.25,1.2307211986731752,3.1128915891940556,-0.08708758375337278,0.40618390029534,1.07831822809466,1.2116171469995867,1.1986742042625016,1.1986742042625016,0.08136447097513431,False
cash80_balance20__sector_balance__lb26__s50__cap1.25x,cash80_balance20,sector_balance,26,0.5,1.25,1.2307211986731752,3.1128915891940556,-0.08708758375337278,0.40618390029534,1.0783182280946613,1.2116171469995867,1.1986742042625016,1.1986742042625016,0.08136447097513431,False
cash80_balance20__sector_balance__lb26__s75__cap1.25x,cash80_balance20,sector_balance,26,0.75,1.25,1.2307211986731752,3.1128915891940534,-0.08708758375337278,0.40618390029533935,1.0783182280946608,1.2116171469995876,1.1986742042625012,1.1986742042625012,0.08136447097513431,False
cash80_balance20__inverse_volatility__lb26__s25__cap1.25x,cash80_balance20,inverse_volatility,26,0.25,1.25,1.2302372145703404,3.107171053321158,-0.087087583753373,0.42100981773184,1.0779367074678698,1.2127250943587242,1.198558701600101,1.198558701600101,0.07533613259125471,True
cash80_balance20__inverse_volatility__lb26__s25__cap1.50x,cash80_balance20,inverse_volatility,26,0.25,1.5,1.230237214570339,3.1071710533211565,-0.08708758375337322,0.4210035177225553,1.0779367074678698,1.2127250943587233,1.1985587016000996,1.1985587016000996,0.0753361325912547,True
