candidate,membership,method,lookback,shrinkage,cap_multiple,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,delay1_recent_cagr,delay2_recent_cagr,worst_current_delay_recent_cagr,peak_total_stock_weight,surface_gates
cash100__equal__lb26__s00__cap1.00x,cash100,equal,26,0.0,1.0,1.1921841481621724,3.0367340261008136,-0.08708758375337289,0.419660755449087,1.028611723332272,1.1895509184969626,1.1862753675866267,1.1862753675866267,0.073787895032207,True
cash100__inverse_volatility__lb26__s25__cap1.25x,cash100,inverse_volatility,26,0.25,1.25,1.1926908617928258,3.038338224852919,-0.08708758375337322,0.4327095577144342,1.0290113884772172,1.1895975162535346,1.185599667074063,1.185599667074063,0.07582897886553967,True
cash100__inverse_volatility__lb26__s25__cap1.50x,cash100,inverse_volatility,26,0.25,1.5,1.1926908617928254,3.038338224852917,-0.08708758375337311,0.4327029584391009,1.0290113884772172,1.1895975162535337,1.185599667074066,1.185599667074066,0.07582897886553965,True
cash100__inverse_volatility__lb26__s50__cap1.25x,cash100,inverse_volatility,26,0.5,1.25,1.1942092543663576,3.0417372136033434,-0.087087583753373,0.4300687560184697,1.0303515018342275,1.1911667128859285,1.1867221280988036,1.1867221280988036,0.07871542592624048,True
cash100__inverse_volatility__lb26__s50__cap1.50x,cash100,inverse_volatility,26,0.5,1.5,1.1931869100644654,3.039697610961586,-0.087087583753373,0.4189799153663132,1.0293742998223157,1.189631832385015,1.1849064177831345,1.1849064177831345,0.07871542592624048,True
cash100__inverse_volatility__lb52__s25__cap1.25x,cash100,inverse_volatility,52,0.25,1.25,1.195353469824413,3.042496496798897,-0.08708758375337311,0.4322811893378604,1.0314482710538457,1.1913538654797038,1.1868584037293175,1.1868584037293175,0.07555095979121279,True
cash100__inverse_volatility__lb52__s25__cap1.50x,cash100,inverse_volatility,52,0.25,1.5,1.1953534698244122,3.042496496798894,-0.087087583753373,0.43222932385826907,1.031448271053844,1.1913538654797042,1.1868584037293166,1.1868584037293166,0.07555095979121282,True
cash100__inverse_volatility__lb52__s50__cap1.25x,cash100,inverse_volatility,52,0.5,1.25,1.1994060742674835,3.0499961306000922,-0.08708758375337311,0.4276706012808218,1.0351448130274608,1.1946953578872588,1.1892054559638372,1.1892054559638372,0.07814037657591653,True
cash100__inverse_volatility__lb52__s50__cap1.50x,cash100,inverse_volatility,52,0.5,1.5,1.198501293967691,3.0480609155287666,-0.08708758375337322,0.4247660723297182,1.0342595291100243,1.193135430895774,1.187415728352291,1.187415728352291,0.07814037657591655,True
cash80_balance20__equal__lb26__s00__cap1.00x,cash80_balance20,equal,26,0.0,1.0,1.2371115996688697,3.1172056716974486,-0.08708758375337289,0.4246991766154238,1.0844549332674522,1.217162569762591,1.201524199133802,1.201524199133802,0.06815751020591881,True
cash80_balance20__inverse_volatility__lb26__s25__cap1.25x,cash80_balance20,inverse_volatility,26,0.25,1.25,1.2302372145703404,3.107171053321158,-0.087087583753373,0.42100981773184,1.0779367074678698,1.2127250943587242,1.198558701600101,1.198558701600101,0.07533613259125471,True
cash80_balance20__inverse_volatility__lb26__s25__cap1.50x,cash80_balance20,inverse_volatility,26,0.25,1.5,1.230237214570339,3.1071710533211565,-0.08708758375337322,0.4210035177225553,1.0779367074678698,1.2127250943587233,1.1985587016000996,1.1985587016000996,0.0753361325912547,True
cash80_balance20__inverse_volatility__lb52__s25__cap1.25x,cash80_balance20,inverse_volatility,52,0.25,1.25,1.2323083040752536,3.109924146150517,-0.08708758375337311,0.42140546114835753,1.0798835243397367,1.2134354397202447,1.1985021766790989,1.1985021766790989,0.0715406986860561,True
cash80_balance20__inverse_volatility__lb52__s25__cap1.50x,cash80_balance20,inverse_volatility,52,0.25,1.5,1.2323083040752545,3.10992414615052,-0.08708758375337322,0.4213869278051485,1.0798835243397384,1.2134354397202447,1.1985021766790989,1.1985021766790989,0.0715406986860561,True
cash80_balance20__inverse_volatility__lb52__s50__cap1.25x,cash80_balance20,inverse_volatility,52,0.5,1.25,1.2279307675529898,3.1034329280967414,-0.08708758375337311,0.41896059319790857,1.0757475527890143,1.2105504568400711,1.1961302217065461,1.1961302217065461,0.07642587861796662,True
cash80_balance20__inverse_volatility__lb52__s50__cap1.50x,cash80_balance20,inverse_volatility,52,0.5,1.5,1.2274847673235114,3.1025152571752037,-0.08708758375337311,0.41941613174913495,1.075293486608492,1.2096936738133044,1.195469090750164,1.195469090750164,0.07642587861796664,True
cash80_balance20__inverse_correlation__lb26__s25__cap1.25x,cash80_balance20,inverse_correlation,26,0.25,1.25,1.2293493871271153,3.1073117841847973,-0.087087583753373,0.4234932926559356,1.0772725514042127,1.2093032554377428,1.1950130153744145,1.1950130153744145,0.0715369588816938,True
cash80_balance20__inverse_correlation__lb26__s25__cap1.50x,cash80_balance20,inverse_correlation,26,0.25,1.5,1.2290851570793633,3.106986444262936,-0.08708758375337333,0.4236903704294015,1.0770434089548897,1.209240316763152,1.1950187586362229,1.1950187586362229,0.07153695888169377,True
cash80_balance20__inverse_correlation__lb26__s50__cap1.25x,cash80_balance20,inverse_correlation,26,0.5,1.25,1.2217971398423573,3.0954265096141014,-0.08708758375337311,0.40952836534528547,1.0570237236053455,1.2049041264331395,1.1914552873995348,1.1914552873995348,0.07552791374293508,True
cash80_balance20__inverse_correlation__lb26__s50__cap1.50x,cash80_balance20,inverse_correlation,26,0.5,1.5,1.2203983012136432,3.093814272241135,-0.08708758375337322,0.41018850391435024,1.0557241377513509,1.2028863447831508,1.1902112684350907,1.1902112684350907,0.07593173273234471,True
cash80_balance20__inverse_correlation__lb52__s25__cap1.25x,cash80_balance20,inverse_correlation,52,0.25,1.25,1.2274643142043393,3.107409733480331,-0.087087583753373,0.42374102516008283,1.0755468316491599,1.2067828533450795,1.1919338140589817,1.1919338140589817,0.06850476569164003,True
cash80_balance20__inverse_correlation__lb52__s25__cap1.50x,cash80_balance20,inverse_correlation,52,0.25,1.5,1.2267160890885562,3.1068719267912104,-0.08708758375337322,0.42373237029113375,1.0748753250266097,1.2065321363809618,1.191888447974876,1.191888447974876,0.06911376979100621,True
cash80_balance20__inverse_correlation__lb52__s50__cap1.25x,cash80_balance20,inverse_correlation,52,0.5,1.25,1.2242168014842112,3.1016152940852897,-0.08708758375337322,0.4157224484893034,1.072567147050893,1.2020137358325935,1.18685466179929,1.18685466179929,0.07070527563482915,True
cash80_balance20__inverse_correlation__lb52__s50__cap1.50x,cash80_balance20,inverse_correlation,52,0.5,1.5,1.2173554774707376,3.095191912978783,-0.087087583753373,0.4116467884730881,1.0529838639393256,1.1981335647631464,1.1843402668536296,1.1843402668536296,0.07132528031045042,True
cash80_balance20__inverse_correlation__lb52__s75__cap1.25x,cash80_balance20,inverse_correlation,52,0.75,1.25,1.223872293325102,3.1001498120704127,-0.087087583753373,0.4095353570909741,1.0722837252548958,1.2003745895101128,1.1848579633692142,1.1848579633692142,0.07413963560431945,True
cash80_balance20__inverse_volatility_correlation__lb26__s25__cap1.25x,cash80_balance20,inverse_volatility_correlation,26,0.25,1.25,1.2235720134018249,3.0988392984846467,-0.08708758375337278,0.4201431712203283,1.0585350044113024,1.2078209843921441,1.1950680286476976,1.1950680286476976,0.07765056311954112,True
cash80_balance20__inverse_volatility_correlation__lb26__s25__cap1.50x,cash80_balance20,inverse_volatility_correlation,26,0.25,1.5,1.222494446106042,3.0985033573019725,-0.087087583753373,0.4203008719357726,1.0574982685901628,1.206553296677189,1.1941299698022956,1.1941299698022956,0.07721596010491777,True
cash80_balance20__inverse_volatility_correlation__lb52__s25__cap1.25x,cash80_balance20,inverse_volatility_correlation,52,0.25,1.25,1.2243709999804007,3.1023283266427946,-0.08708758375337311,0.417584465368793,1.0725882298641185,1.2049368306274313,1.19062418477156,1.19062418477156,0.07207082147392671,True
cash80_balance20__inverse_volatility_correlation__lb52__s25__cap1.50x,cash80_balance20,inverse_volatility_correlation,52,0.25,1.5,1.2201771050992711,3.0990200637657415,-0.08708758375337311,0.41678222017623034,1.0686942913969228,1.2009674884951935,1.187363643695968,1.187363643695968,0.07127339769430945,True
cash80_balance20__inverse_volatility_correlation__lb52__s50__cap1.25x,cash80_balance20,inverse_volatility_correlation,52,0.5,1.25,1.2225249611928781,3.0941471693154585,-0.087087583753373,0.411032829603146,1.0708639622210656,1.2030678219836082,1.188060605062804,1.188060605062804,0.07984936468933297,True
cash775_balance225__equal__lb26__s00__cap1.00x,cash775_balance225,equal,26,0.0,1.0,1.232536217207552,3.108828135643177,-0.08708758375337322,0.40982504105432116,1.0796421139378034,1.2157602854543232,1.2011831423893429,1.2011831423893429,0.06815751020591884,True
cash75_balance25__equal__lb26__s00__cap1.00x,cash75_balance25,equal,26,0.0,1.0,1.2335936756772763,3.117999342475608,-0.087087583753373,0.41393278092869257,1.0810817931089134,1.2123217763458123,1.1966844180961993,1.1966844180961993,0.0675635605810593,True
