candidate,membership,method,lookback,shrinkage,cap_multiple,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,delay1_recent_cagr,delay2_recent_cagr,worst_current_delay_recent_cagr,peak_total_stock_weight,surface_gates,beats_control_and_surface
cash85_balance15__equal__lb26__s00__cap1.00x,cash85_balance15,equal,26,0.0,1.0,1.1704508535806428,2.993953140471426,-0.08708758375337322,0.38410673209622237,1.0095476783143198,1.1586174351923542,1.148663558388825,1.148663558388825,0.07164612793155448,False,False
cash825_balance175__equal__lb26__s00__cap1.00x,cash825_balance175,equal,26,0.0,1.0,1.2027260763618863,3.0513632380725526,-0.08708758375337333,0.3974391202082799,1.039314400697286,1.182966297525684,1.1702264969618015,1.1702264969618015,0.07066393043026278,False,False
cash80_balance20__equal__lb26__s00__cap1.00x,cash80_balance20,equal,26,0.0,1.0,1.2371115996688697,3.1172056716974486,-0.08708758375337289,0.4246991766154238,1.0844549332674522,1.217162569762591,1.201524199133802,1.201524199133802,0.06815751020591881,True,True
cash775_balance225__equal__lb26__s00__cap1.00x,cash775_balance225,equal,26,0.0,1.0,1.232536217207552,3.108828135643177,-0.08708758375337322,0.40982504105432116,1.0796421139378034,1.2157602854543232,1.2011831423893429,1.2011831423893429,0.06815751020591884,True,True
cash75_balance25__equal__lb26__s00__cap1.00x,cash75_balance25,equal,26,0.0,1.0,1.2335936756772763,3.117999342475608,-0.087087583753373,0.41393278092869257,1.0810817931089134,1.2123217763458123,1.1966844180961993,1.1966844180961993,0.0675635605810593,True,True
