name,state,stage1_cash_budget,intended_cash_budget,post_overlay_cash_budget,final_etf_cash_budget,overlay_cash_added,duplicated_cash_over_intended,excess_cash_not_guardrail,recovery_regime_relief_cash,guardrail_cash_added
improved_phase2b_regime_confidence_boost,calm_trend,0.02711864406779661,0.02711864406779661,0.033516425783243604,0.06848068479538143,0.006397781715446992,0.006397781715446994,0.006270547299928218,0.0,0.027245878483315382
improved_phase2b_regime_confidence_boost,neutral_healthy_proxy,0.10921501706484642,0.10921501706484642,0.14923340060800244,0.21306891728727764,0.040018383543156025,0.040018383543156025,0.04000217779688025,0.04000217779688025,0.1092312228111222
improved_phase2b_regime_confidence_boost,neutral_mixed,0.175,0.175,0.3316676389889186,0.3859881889121024,0.1566676389889185,0.1566676389889185,0.1566676389889185,0.0,0.175
improved_phase2b_regime_confidence_boost,recovery_confirmed,2.523234146875355e-18,2.523234146875355e-18,0.06383761565651912,0.12567720750750142,0.06383761565651912,0.06383761565651912,0.06383761565651912,0.06383761565651912,2.523234146875355e-18
improved_phase2b_regime_confidence_boost,recovery_fragile,2.265761274745217e-18,2.265761274745217e-18,0.12351317074439862,0.21821790033286736,0.12351317074439862,0.12351317074439862,0.12351317074439862,0.12351317074439862,2.265761274745217e-18
improved_phase2b_regime_confidence_boost,stressed_panic,0.008733624454148473,0.008733624454148473,0.5093247219202602,0.6074136983844914,0.5005910974661117,0.5005910974661117,0.0,0.0,0.5093247219202602
improved_phasevv_recovery_neutral_budget_aware_overlay,calm_trend,0.02711864406779661,0.02711864406779661,0.03406608372860824,0.068174596726517,0.006947439660811625,0.006947439660811627,0.006816330410590574,0.0,0.027249753318017662
improved_phasevv_recovery_neutral_budget_aware_overlay,neutral_healthy_proxy,0.10921501706484642,0.13500000000000004,0.15178874571610365,0.20870741008057003,0.042573728651257206,0.09876600039123655,0.09876600039123655,0.09876600039123655,0.053022745324867074
improved_phasevv_recovery_neutral_budget_aware_overlay,neutral_mixed,0.175,0.175,0.3322811922875333,0.3851494640521392,0.15728119228753326,0.15728119228753326,0.1571877457880733,0.0,0.17509344649946
improved_phasevv_recovery_neutral_budget_aware_overlay,recovery_confirmed,1.0092936587501423e-17,0.060000000000000005,0.06370506412681065,0.10670536820944214,0.06370506412681065,0.01590909090909091,0.01590909090909091,0.01590909090909091,0.04779597321771976
improved_phasevv_recovery_neutral_budget_aware_overlay,recovery_fragile,0.0,0.09999999999999999,0.12709033012841794,0.2154116787914366,0.12709033012841794,0.0750393817406706,0.0750393817406706,0.0750393817406706,0.052050948387747355
improved_phasevv_recovery_neutral_budget_aware_overlay,stressed_panic,0.008733624454148475,0.008733624454148475,0.5095036153843427,0.6073859815309778,0.5007699909301944,0.5007699909301944,0.0,0.0,0.5095036153843427
improved_phaseww_confirmed_only_lighter_both,calm_trend,0.02711864406779661,0.02711864406779661,0.03493680084907359,0.0690185389638357,0.007818156781276982,0.007818156781276986,0.007687047531055931,0.0,0.027249753318017662
improved_phaseww_confirmed_only_lighter_both,neutral_healthy_proxy,0.10921501706484642,0.10921501706484642,0.15630187677981636,0.21314311927492247,0.04708685971496996,0.04708685971496996,0.04705845798643594,0.04705845798643594,0.10924341879338045
improved_phaseww_confirmed_only_lighter_both,neutral_mixed,0.175,0.175,0.3328695714122443,0.3857494267700295,0.15786957141224423,0.15786957141224423,0.15777612645894432,0.0,0.1750934449532999
improved_phaseww_confirmed_only_lighter_both,recovery_confirmed,1.0092936587501423e-17,0.04499999999999999,0.05991607988679736,0.10306264704301271,0.05991607988679735,0.021044043430577027,0.020681818181818194,0.020681818181818194,0.03923426170497917
improved_phaseww_confirmed_only_lighter_both,recovery_fragile,0.0,0.0,0.12667074534010359,0.21506594559360293,0.12667074534010359,0.12667074534010359,0.1249741862914208,0.1249741862914208,0.0016965590486827818
improved_phaseww_confirmed_only_lighter_both,stressed_panic,0.008733624454148475,0.008733624454148475,0.5098059765821671,0.6077373056135481,0.5010723521280186,0.5010723521280186,0.0,0.0,0.5098059765821671
improved_phasexx_guardrail_only_overlay,calm_trend,0.02711864406779661,0.02711864406779661,0.03519103813720919,0.06925941148758813,0.008072394069412576,0.008072394069412578,0.007941284819191523,0.0,0.027249753318017662
improved_phasexx_guardrail_only_overlay,neutral_healthy_proxy,0.10921501706484642,0.10921501706484642,0.16144009861975073,0.21799439233249035,0.0522250815549043,0.0522250815549043,0.05219667982637028,0.05219667982637028,0.10924341879338045
improved_phasexx_guardrail_only_overlay,neutral_mixed,0.175,0.175,0.3352746545133811,0.3879969148908717,0.16027465451338102,0.16027465451338102,0.1601812095600811,0.0,0.1750934449532999
improved_phasexx_guardrail_only_overlay,recovery_confirmed,1.0092936587501423e-17,0.060000000000000005,0.07636363636363636,0.11890648577553214,0.07636363636363633,0.020454545454545458,0.020454545454545458,0.020454545454545458,0.05590909090909089
improved_phasexx_guardrail_only_overlay,recovery_fragile,0.0,0.09999999999999999,0.17008478908375263,0.2546897748272316,0.17008478908375263,0.07503938174067058,0.07503938174067058,0.07503938174067058,0.09504540734308206
improved_phasexx_guardrail_only_overlay,stressed_panic,0.008733624454148475,0.008733624454148475,0.5108897176886128,0.6087616889639197,0.5021560932344643,0.5021560932344643,0.0,0.0,0.5108897176886128
improved_phasexx_guardrail_overlay_fragile_floor,calm_trend,0.02711864406779661,0.02711864406779661,0.035106292374497326,0.06917872587250885,0.007987648306700713,0.007987648306700717,0.007856539056479662,0.0,0.027249753318017662
improved_phasexx_guardrail_overlay_fragile_floor,neutral_healthy_proxy,0.10921501706484642,0.10921501706484642,0.16215682216923874,0.21866326357536958,0.05294180510439236,0.05294180510439236,0.05291340337585834,0.05291340337585834,0.10924341879338045
improved_phasexx_guardrail_overlay_fragile_floor,neutral_mixed,0.175,0.175,0.3359496545133811,0.3886149694569877,0.160949654513381,0.160949654513381,0.1608562095600811,0.0,0.1750934449532999
improved_phasexx_guardrail_overlay_fragile_floor,recovery_confirmed,1.0092936587501423e-17,0.05500000000000002,0.07613636363636359,0.11869188422929047,0.07613636363636357,0.024886363636363606,0.024886363636363606,0.024886363636363606,0.05124999999999999
improved_phasexx_guardrail_overlay_fragile_floor,recovery_fragile,0.0,0.12,0.1815133605123241,0.26500364217173533,0.1815133605123241,0.06810060623046653,0.06810060623046653,0.06810060623046653,0.1134127542818576
improved_phasexx_guardrail_overlay_fragile_floor,stressed_panic,0.008733624454148475,0.008733624454148475,0.5111517264222373,0.6090094639459356,0.5024181019680887,0.5024181019680887,0.0,0.0,0.5111517264222373
improved_phasexx_recovery_neutral_overlay_simplified,calm_trend,0.02711864406779661,0.02711864406779661,0.045165007555305794,0.07853248708229925,0.018046363487509185,0.01804636348750919,0.017915254237288132,0.0,0.027249753318017662
