decision_date,realization_date,cost_bps,gross_return,turnover,cost,net_return
2012-01-06,2012-01-13,10.0,0.016526549332975145,1.0,0.001,0.015526549332975145
2012-01-13,2012-01-20,10.0,0.021999324422123594,0.0,0.0,0.021999324422123594
2012-01-20,2012-01-27,10.0,0.01608270716351308,0.0,0.0,0.01608270716351308
2012-01-27,2012-02-03,10.0,0.024662320275159966,0.0,0.0,0.024662320275159966
2012-02-03,2012-02-10,10.0,0.0009917854061124022,0.8972465012990596,0.0008972465012990596,9.453890481334255e-05
2012-02-10,2012-02-17,10.0,0.009258231656791282,0.0,0.0,0.009258231656791282
2012-02-17,2012-02-24,10.0,0.009023906863685684,0.0,0.0,0.009023906863685684
2012-02-24,2012-03-02,10.0,-0.0053728926373359425,0.0,0.0,-0.0053728926373359425
2012-03-02,2012-03-09,10.0,0.004118710408997619,0.7450925143426441,0.0007450925143426441,0.003373617894654975
2012-03-09,2012-03-16,10.0,0.011881176675075857,0.0,0.0,0.011881176675075857
2012-03-16,2012-03-23,10.0,-0.0024298806830155223,0.0,0.0,-0.0024298806830155223
2012-03-23,2012-03-30,10.0,0.012506020910544938,0.0,0.0,0.012506020910544938
2012-03-30,2012-04-06,10.0,-0.005878953092129789,0.0,0.0,-0.005878953092129789
2012-04-06,2012-04-13,10.0,8.146134869693906e-05,1.0,0.001,-0.000918538651303061
2012-04-13,2012-04-20,10.0,0.004234773321754498,0.0,0.0,0.004234773321754498
2012-04-20,2012-04-27,10.0,0.0139851253002302,0.0,0.0,0.0139851253002302
2012-04-27,2012-05-04,10.0,-0.01724676941655384,0.0,0.0,-0.01724676941655384
2012-05-04,2012-05-11,10.0,0.0026118427454023857,0.8516362007884837,0.0008516362007884837,0.001760206544613902
2012-05-11,2012-05-18,10.0,-0.01740667367871276,0.0,0.0,-0.01740667367871276
2012-05-18,2012-05-25,10.0,0.0055479611502434,0.0,0.0,0.0055479611502434
2012-05-25,2012-06-01,10.0,0.00031943619107654194,0.0,0.0,0.00031943619107654194
2012-06-01,2012-06-08,10.0,0.002125059636432049,0.7400283054885588,0.0007400283054885587,0.0013850313309434902
2012-06-08,2012-06-15,10.0,0.0040458790923349275,0.0,0.0,0.0040458790923349275
2012-06-15,2012-06-22,10.0,-0.008758443083639048,0.0,0.0,-0.008758443083639048
2012-06-22,2012-06-29,10.0,0.0069278549307785625,0.0,0.0,0.0069278549307785625
2012-06-29,2012-07-06,10.0,0.009355762416759308,0.0,0.0,0.009355762416759308
2012-07-06,2012-07-13,10.0,-0.00255436348829791,1.0,0.001,-0.00355436348829791
2012-07-13,2012-07-20,10.0,-0.00551468271577148,0.0,0.0,-0.00551468271577148
2012-07-20,2012-07-27,10.0,0.013950874540306753,0.0,0.0,0.013950874540306753
2012-07-27,2012-08-03,10.0,-0.003157620772713626,0.0,0.0,-0.003157620772713626
2012-08-03,2012-08-10,10.0,0.00012956720763950534,0.7391514279888798,0.0007391514279888798,-0.0006095842203493744
2012-08-10,2012-08-17,10.0,-0.00919321691229221,0.0,0.0,-0.00919321691229221
2012-08-17,2012-08-24,10.0,0.01306619749687388,0.0,0.0,0.01306619749687388
2012-08-24,2012-08-31,10.0,0.007742769983877114,0.0,0.0,0.007742769983877114
2012-08-31,2012-09-07,10.0,-0.0015019157139589084,0.0,0.0,-0.0015019157139589084
2012-09-07,2012-09-14,10.0,0.03367597968490087,1.0,0.001,0.032675979684900866
2012-09-14,2012-09-21,10.0,-0.023585279654326455,0.0,0.0,-0.023585279654326455
2012-09-21,2012-09-28,10.0,-0.018766109046273457,0.0,0.0,-0.018766109046273457
2012-09-28,2012-10-05,10.0,0.009164517226594384,0.0,0.0,0.009164517226594384
2012-10-05,2012-10-12,10.0,-0.013817847448791921,0.6592751821860208,0.0006592751821860208,-0.014477122630977942
2012-10-12,2012-10-19,10.0,-0.002486486444262733,0.0,0.0,-0.002486486444262733
2012-10-19,2012-10-26,10.0,-0.02163631558431474,0.0,0.0,-0.02163631558431474
2012-10-26,2012-11-02,10.0,-0.00248184604610824,0.0,0.0,-0.00248184604610824
2012-11-02,2012-11-09,10.0,-0.021887840612119167,1.0,0.001,-0.022887840612119167
2012-11-09,2012-11-16,10.0,-0.01545040858056213,0.0,0.0,-0.01545040858056213
