variant,decision_date,assets,rank_ic,engine
real,2012-01-06,34,0.6951457725488592,matched_baseline
real,2012-02-03,34,-0.140944719556563,matched_baseline
real,2012-03-02,34,0.5577396123780417,matched_baseline
real,2012-04-06,34,-0.2822348326464519,matched_baseline
real,2012-05-04,34,0.0075317623334691395,matched_baseline
real,2012-06-01,34,-0.503101560776265,matched_baseline
real,2012-07-06,34,0.06239014205329025,matched_baseline
real,2012-08-03,34,-0.05091731464957455,matched_baseline
real,2012-09-07,34,0.11840336068130838,matched_baseline
real,2012-10-05,34,-0.7076959853133699,matched_baseline
real,2012-11-02,34,0.17238598363616653,matched_baseline
real,2012-12-07,34,0.3215395310750568,matched_baseline
real,2013-01-04,34,0.13283680718546423,matched_baseline
real,2013-02-01,34,0.03932390831672422,matched_baseline
real,2013-03-01,34,0.20534100250998918,matched_baseline
real,2013-04-05,34,0.3848319290683114,matched_baseline
real,2013-05-03,34,-0.35664200245712446,matched_baseline
real,2013-06-07,34,-0.037285981998141815,matched_baseline
real,2013-07-05,34,0.1609348047804399,matched_baseline
real,2013-08-02,34,0.18604460802685754,matched_baseline
real,2013-09-06,34,-0.07398604042579578,matched_baseline
real,2013-10-04,34,0.3043276868560002,matched_baseline
real,2013-11-01,34,-0.18525890617655713,matched_baseline
real,2013-12-06,34,0.3358912764619261,matched_baseline
real,2014-01-03,34,-0.33761641026830685,matched_baseline
real,2014-02-07,34,0.5402929134438926,matched_baseline
real,2014-03-07,34,-0.4923727810750996,matched_baseline
real,2014-04-04,34,-0.3410019762697704,matched_baseline
real,2014-05-02,34,0.24163856028038558,matched_baseline
real,2014-06-06,34,0.3463581488165087,matched_baseline
real,2014-07-04,34,-0.3644956991729693,matched_baseline
real,2014-08-01,34,0.531366794196722,matched_baseline
real,2014-09-05,34,-0.5322880486716425,matched_baseline
real,2014-10-03,34,0.4123456754273147,matched_baseline
real,2014-11-07,34,0.5121745389232254,matched_baseline
real,2014-12-05,34,0.12091526180450311,matched_baseline
real,2015-01-02,34,0.028220998487834797,matched_baseline
real,2015-02-06,34,0.05146269524923597,matched_baseline
real,2015-03-06,34,-0.15445104878022453,matched_baseline
real,2015-04-03,34,-0.18385316300447477,matched_baseline
real,2015-05-01,34,0.11459379021631079,matched_baseline
real,2015-06-05,34,0.018987522790185115,matched_baseline
real,2015-07-03,34,0.33351838696533564,matched_baseline
real,2015-08-07,34,-0.4675754492808127,matched_baseline
real,2015-09-04,34,0.08612728327990038,matched_baseline
real,2015-10-02,34,0.14139983105026624,matched_baseline
real,2015-11-06,34,0.2033148202501476,matched_baseline
real,2015-12-04,35,0.10941983094489723,matched_baseline
real,2016-01-01,35,0.015462282696616397,matched_baseline
real,2016-02-05,35,0.41289246823764736,matched_baseline
real,2016-03-04,35,0.2183580795941246,matched_baseline
real,2016-04-01,35,-0.2770400414639611,matched_baseline
real,2016-05-06,35,-0.23624972229801727,matched_baseline
real,2016-06-03,35,0.004088229223774917,matched_baseline
real,2016-07-01,35,0.14760257167580706,matched_baseline
real,2016-08-05,35,-0.26697621730009413,matched_baseline
real,2016-09-02,35,-0.23852384832800763,matched_baseline
real,2016-10-07,35,-0.13172367781497016,matched_baseline
real,2016-11-04,35,-0.1662724514991869,matched_baseline
