path,cluster
evidence/aggressive_return_discovery_batch_62/selected_candidate_weights.csv,11
evidence/cash_conversion_sleeve_path_v1/sleeve_path__base__50bps__breadth20.csv,9
evidence/cross_asset_crisis_trend_v1/weekly_paths.csv,6
evidence/daily_ohlcv_alpha_zoo_v1/weekly_paths.csv,7
evidence/exhaustive_return_first_discovery_batch_66/retrospective_ceiling_adversarial/frozen_candidate_weights.csv,2
evidence/formal_markov_regime_scaling_v1/primary_path.csv,6
evidence/ggg_execution_aware_batch_53/best_unqualified_candidate_weights.csv,10
evidence/indonesia_dynamic_breadth_challenger_v1/20260822T094300Z-predeclared-v1/daily_paths.csv,6
evidence/indonesia_fundamental_momentum_v1/20260822T231317Z-predeclared-v1/daily_paths.csv,8
evidence/indonesia_fundamental_momentum_v2/20260822T231615Z-predeclared-v2/daily_paths.csv,8
evidence/indonesia_fundamental_momentum_v2/20260822T231841Z-corrected-gates-v2/daily_paths.csv,8
evidence/indonesia_fundamental_momentum_v3/20260823T002914Z-quarterly-yoy-v3/daily_paths.csv,6
evidence/indonesia_multihorizon_momentum_challenger_v1/20260822T094300Z-predeclared-v1/daily_paths.csv,6
evidence/indonesia_survival_diagnostic_extended_v1/20260822T094300Z-reconstructed-v1/daily_paths.csv,6
evidence/indonesia_survival_diagnostic_extended_v1/20260822T094300Z-reconstructed-v1a/daily_paths.csv,6
evidence/indonesia_survival_diagnostic_extended_v2/20260822T094300Z-inactive-repair-v2/daily_paths.csv,6
evidence/indonesia_survival_diagnostic_extended_v2/20260822T094300Z-inactive-repair-v2b/daily_paths.csv,6
evidence/online_strategy_aggregation_v1/weekly_paths.csv,6
evidence/point_in_time_fundamental_branches_v1/weekly_paths.csv,9
evidence/residual_sleeve_tiebreak_audit_v1/declared_path.csv,6
evidence/residual_sleeve_tiebreak_audit_v1/tie_pool_path.csv,6
evidence/sec_breadth_controller_cap_persistence_v1/selected_path__100bps.csv,6
evidence/sec_breadth_controller_cap_persistence_v1/selected_path__200bps.csv,6
evidence/sec_breadth_controller_cap_persistence_v1/selected_path__50bps.csv,6
evidence/sec_breadth_dispersion_allocation_controller_v1/selected_path__100bps.csv,6
evidence/sec_breadth_dispersion_allocation_controller_v1/selected_path__200bps.csv,6
evidence/sec_breadth_dispersion_allocation_controller_v1/selected_path__50bps.csv,6
evidence/sec_cash_conversion_breadth20_candidate_audit_v1/candidate_path_50bps.csv,6
evidence/sec_cash_conversion_breadth20_daily_execution_audit_v1/daily_cash_conversion_path_primary.csv,9
evidence/sec_cash_conversion_breadth20_daily_execution_audit_v1/daily_leader_path_primary.csv,6
evidence/sec_cash_conversion_breadth20_daily_execution_audit_v1/daily_path_primary.csv,6
evidence/sec_cash_conversion_breadth_dynamic_v1/best_path__base__100bps.csv,6
evidence/sec_cash_conversion_breadth_dynamic_v1/best_path__base__200bps.csv,6
evidence/sec_cash_conversion_breadth_dynamic_v1/best_path__base__50bps.csv,6
evidence/sec_cash_conversion_capped_dynamic_v1/best_path__base__100bps.csv,6
evidence/sec_cash_conversion_capped_dynamic_v1/best_path__base__200bps.csv,6
evidence/sec_cash_conversion_capped_dynamic_v1/best_path__base__50bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_00__100bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_00__200bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_00__50bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_05__100bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_05__200bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_05__50bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_10__100bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_10__200bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_10__50bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_15__100bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_15__200bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_15__50bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_20__100bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_20__200bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__adverse__cash_conversion_20__50bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_00__100bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_00__200bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_00__50bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_05__100bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_05__200bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_05__50bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_10__100bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_10__200bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_10__50bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_15__100bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_15__200bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_15__50bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_20__100bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_20__200bps.csv,6
evidence/sec_cash_conversion_confirmation_blend_v1/path__base__cash_conversion_20__50bps.csv,6
evidence/sec_cash_conversion_return_surface_v1/selected_path__adverse__100bps.csv,6
evidence/sec_cash_conversion_return_surface_v1/selected_path__adverse__200bps.csv,6
evidence/sec_cash_conversion_return_surface_v1/selected_path__adverse__50bps.csv,6
evidence/sec_cash_conversion_return_surface_v1/selected_path__base__100bps.csv,6
evidence/sec_cash_conversion_return_surface_v1/selected_path__base__200bps.csv,6
evidence/sec_cash_conversion_return_surface_v1/selected_path__base__50bps.csv,6
evidence/sec_cash_momentum_rank_v1/selected_path__100bps.csv,6
evidence/sec_cash_momentum_rank_v1/selected_path__200bps.csv,6
evidence/sec_cash_momentum_rank_v1/selected_path__50bps.csv,6
evidence/sec_cluster_aware_cash_sleeve_v1/selected_path__100bps.csv,6
evidence/sec_cluster_aware_cash_sleeve_v1/selected_path__200bps.csv,6
evidence/sec_cluster_aware_cash_sleeve_v1/selected_path__50bps.csv,6
evidence/sec_cluster_challenger_locked_audit_v1/rebuilt_locked_path__50bps.csv,6
evidence/sec_cohort_diversified_regime_tranche_v1/selected_path__100bps.csv,6
evidence/sec_cohort_diversified_regime_tranche_v1/selected_path__200bps.csv,6
evidence/sec_cohort_diversified_regime_tranche_v1/selected_path__50bps.csv,6
evidence/sec_cross_component_overlap_budget_v1/selected_path__100bps.csv,6
evidence/sec_cross_component_overlap_budget_v1/selected_path__200bps.csv,6
evidence/sec_cross_component_overlap_budget_v1/selected_path__50bps.csv,6
evidence/sec_cross_strategy_residual_allocator_v1/selected_path.csv,6
evidence/sec_cross_strategy_residual_allocator_v2/selected_path.csv,6
evidence/sec_cross_strategy_residual_allocator_v3/selected_path.csv,6
evidence/sec_earnings_drift_rank_v1/selected_path__100bps.csv,6
evidence/sec_earnings_drift_rank_v1/selected_path__200bps.csv,6
evidence/sec_earnings_drift_rank_v1/selected_path__50bps.csv,6
evidence/sec_earnings_negative_veto_v1/selected_path__100bps.csv,6
evidence/sec_earnings_negative_veto_v1/selected_path__200bps.csv,6
evidence/sec_earnings_negative_veto_v1/selected_path__50bps.csv,6
evidence/sec_form4_dynamic_overlay_v1/selected_path__100bps.csv,6
evidence/sec_form4_dynamic_overlay_v1/selected_path__200bps.csv,6
evidence/sec_form4_dynamic_overlay_v1/selected_path__50bps.csv,6
evidence/sec_form4_rank_feature_v1/selected_path__100bps.csv,6
evidence/sec_form4_rank_feature_v1/selected_path__200bps.csv,6
evidence/sec_form4_rank_feature_v1/selected_path__50bps.csv,6
evidence/sec_fragility_exposure_control_v1/candidate_paths.csv,6
evidence/sec_fragility_exposure_daily_audit_v1/common_daily_paths.csv,1
evidence/sec_fragility_exposure_daily_audit_v1/daily_path__cash_only_1.00x.csv,1
evidence/sec_fragility_exposure_daily_audit_v1/daily_path__fixed_1.50x.csv,1
evidence/sec_fragility_exposure_daily_audit_v1/daily_path__fixed_2.00x.csv,1
evidence/sec_fragility_exposure_daily_audit_v1/daily_path__vol35_cap1.75x.csv,1
evidence/sec_fragility_exposure_daily_audit_v1/daily_source_alpha_path.csv,1
evidence/sec_fragility_exposure_daily_audit_v2/common_daily_paths.csv,6
evidence/sec_fragility_exposure_daily_audit_v2/daily_path__cash_only_1.00x.csv,6
evidence/sec_fragility_exposure_daily_audit_v2/daily_path__fixed_1.50x.csv,6
evidence/sec_fragility_exposure_daily_audit_v2/daily_path__fixed_2.00x.csv,6
evidence/sec_fragility_exposure_daily_audit_v2/daily_path__vol35_cap1.75x.csv,6
evidence/sec_fragility_exposure_daily_audit_v2/daily_source_alpha_path.csv,6
evidence/sec_fragility_industry_tournament_v1/common_paths.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__dual_13_26w_20_40__100bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__dual_13_26w_20_40__200bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__dual_13_26w_20_40__50bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__dual_13_26w_20_50__100bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__dual_13_26w_20_50__200bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__dual_13_26w_20_50__50bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__fixed_20__100bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__fixed_20__200bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__fixed_20__50bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__relative_13w_10_30__100bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__relative_13w_10_30__200bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__relative_13w_10_30__50bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__relative_13w_10_40__100bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__relative_13w_10_40__200bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__relative_13w_10_40__50bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__relative_26w_10_40__100bps.csv,6
evidence/sec_growth_confidence_sizing_v1/path__adverse__relative_26w_10_40__200bps.csv,6
