offset_weeks,start,end,candidate_cagr,control_cagr,candidate_beats
0,2025-08-15,2026-08-07,1.2580051317705294,1.210432579612167,True
1,2025-08-08,2026-07-31,1.1683968630067643,1.142253522245873,True
2,2025-08-01,2026-07-24,1.0224041262528347,1.0482565861090176,False
3,2025-07-25,2026-07-17,0.9542776213987083,0.9681636906231867,False
4,2025-07-18,2026-07-10,1.0213702535361406,1.0535755525312407,False
5,2025-07-11,2026-07-03,1.0462448575467023,1.0835979175395214,False
6,2025-07-04,2026-06-26,0.9849423455845225,1.0646069342370095,False
7,2025-06-27,2026-06-19,0.9866997507171167,1.0269309009369332,False
8,2025-06-20,2026-06-12,1.036216961303961,1.0913255306473064,False
9,2025-06-13,2026-06-05,0.987075572530312,1.0498814604405697,False
10,2025-06-06,2026-05-29,0.9405221902078944,1.0121987899271137,False
11,2025-05-30,2026-05-22,1.1370763658829395,1.214538219140063,False
12,2025-05-23,2026-05-15,0.9550628714117009,1.0172648399745041,False
13,2025-05-16,2026-05-08,0.8934265347334971,0.9434668274712785,False
