delay_type,delay_weeks,recent_cagr,recent_sharpe,recent_drawdown
decision,1,1.2764363080816117,3.1610903657630605,-0.08708758375337333
decision,2,1.2702511065286113,3.1555812615586967,-0.08708758375337289
increment,1,1.238826400199979,3.0489175889583624,-0.08708758375337322
increment,2,1.2291839478078095,3.020666774659963,-0.08708758375337289
combined,1,1.2561857309344826,3.0833460220407276,-0.08708758375337289
combined,2,1.2438151903696335,3.0553928920667035,-0.087087583753373
