block,start,end,asset,weeks,total_return,annualized_return,sharpe,max_drawdown
0,2023-08-18,2024-08-09,candidate,52,0.17307073810716256,0.17307073810716256,0.996235370412168,-0.11207272330915252
0,2023-08-18,2024-08-09,control,52,0.18630369264880242,0.18630369264880242,1.0169524665461709,-0.12147082794862862
1,2024-08-16,2025-08-08,candidate,52,0.1599589298621178,0.1599589298621178,0.7411904327206889,-0.2227496537291731
1,2024-08-16,2025-08-08,control,52,0.14335711951777652,0.14335711951777652,0.6938580331639043,-0.22114654716886206
2,2025-08-15,2026-08-07,candidate,52,1.2580051317705294,1.2580051317705294,3.1260250369235663,-0.08708758375337289
2,2025-08-15,2026-08-07,control,52,1.210432579612167,1.210432579612167,3.042108849147639,-0.08708758375337311
