label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_turnover,ann_turnover,ann_cost_drag,candidate,window,bl_sharpe,sharpe_delta
holdout_2024_onwards,0.166727,0.082348,2.024681,2.859909,2.229808,-0.074772,-0.008231,-0.022923,0.663462,104,0.095702,4.976479,0.004976,familyB_tilt10pct_data,holdout_2024_onwards,2.0479,-0.0232
dev_thru_2024,0.061995,0.073963,0.838186,1.026384,0.534173,-0.116057,-0.020116,-0.024767,0.542744,1006,0.074922,3.895955,0.003896,familyB_tilt10pct_data,dev_thru_2024,0.8309,0.0073
dev_ex_2020,0.063553,0.069556,0.913699,1.179285,0.710801,-0.08941,-0.019721,-0.023008,0.541117,985,0.075038,3.902,0.003902,familyB_tilt10pct_data,dev_ex_2020,0.9049,0.0088
dev_ex_2022,0.06608,0.07465,0.8852,1.06685,0.569376,-0.116057,-0.019237,-0.02528,0.544025,954,0.076181,3.961397,0.003961,familyB_tilt10pct_data,dev_ex_2022,0.8774,0.0078
pre_2010,0.06422,0.060344,1.064229,1.250279,0.766857,-0.083744,-0.011809,-0.019387,0.411538,260,0.055201,2.870453,0.00287,familyB_tilt10pct_data,pre_2010,1.0678,-0.0036
decade_2010s,0.06127,0.073074,0.838469,1.028422,0.685267,-0.08941,-0.024817,-0.025512,0.597701,522,0.084281,4.38263,0.004383,familyB_tilt10pct_data,decade_2010s,0.8202,0.0183
post_2020_dev,0.0611,0.089158,0.6853,0.891653,0.526466,-0.116057,-0.018803,-0.026501,0.566964,224,0.076003,3.952143,0.003952,familyB_tilt10pct_data,post_2020_dev,0.6914,-0.0061
alt_tilt_0.050,0.071789,0.075034,0.956746,1.187992,0.618562,-0.116057,-0.019398,-0.024851,0.554955,1110,0.072299,3.759557,0.00376,familyB_tilt10pct_data,sensitivity_tilt_0.050,0.9542,0.0025
alt_tilt_0.150,0.071806,0.074739,0.960752,1.197141,0.618709,-0.116057,-0.01872,-0.024656,0.553153,1110,0.081858,4.256611,0.004257,familyB_tilt10pct_data,sensitivity_tilt_0.150,0.9542,0.0066
2x_cost,0.06781,0.074848,0.905972,1.127006,0.583994,-0.116115,-0.020015,-0.024851,0.547748,1110,0.076869,3.997194,0.003997,familyB_tilt10pct_data,sensitivity_2x_cost,0.9542,-0.0482
holdout_2024_onwards,0.167153,0.082277,2.031583,2.860208,2.250079,-0.074287,-0.00825,-0.022943,0.653846,104,0.091771,4.772111,0.004772,familyB_tilt7pct_data,holdout_2024_onwards,2.0479,-0.0163
dev_thru_2024,0.061945,0.074057,0.836445,1.02314,0.533744,-0.116057,-0.020297,-0.024821,0.544732,1006,0.072717,3.781287,0.003781,familyB_tilt7pct_data,dev_thru_2024,0.8309,0.0055
dev_ex_2020,0.063502,0.069658,0.911622,1.175295,0.704403,-0.09015,-0.019906,-0.023067,0.543147,985,0.072786,3.784887,0.003785,familyB_tilt7pct_data,dev_ex_2020,0.9049,0.0067
dev_ex_2022,0.066012,0.07473,0.883335,1.063352,0.568785,-0.116057,-0.019391,-0.025327,0.546122,954,0.073923,3.844005,0.003844,familyB_tilt7pct_data,dev_ex_2022,0.8774,0.0059
pre_2010,0.064258,0.060348,1.064802,1.249402,0.767314,-0.083744,-0.011805,-0.019395,0.415385,260,0.054857,2.852582,0.002853,familyB_tilt7pct_data,pre_2010,1.0678,-0.003
