label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_turnover,ann_turnover,ann_cost_drag,state,variant,period,family,tilt_size,bucket_type
neutral_mixed,0.093867,0.071769,1.307913,1.643122,1.10676,-0.084812,-0.016693,-0.023369,0.581609,435,0.072532,3.77165,0.003772,neutral_mixed,familyA_tilt5pct_intuitive,dev,A,0.05,intuitive
recovery_confirmed,0.003513,0.074991,0.046841,0.064158,0.064985,-0.054053,-0.016725,-0.025075,0.5,34,0.098476,5.120726,0.005121,recovery_confirmed,familyA_tilt5pct_intuitive,dev,A,0.05,intuitive
recovery_fragile,0.058321,0.059995,0.972106,1.295681,1.862704,-0.03131,-0.008509,-0.017135,0.577778,45,0.117389,6.104232,0.006104,recovery_fragile,familyA_tilt5pct_intuitive,dev,A,0.05,intuitive
stressed_panic,0.035062,0.074644,0.46972,0.531843,0.287952,-0.121762,-0.026445,-0.022619,0.553488,215,0.057891,3.010327,0.00301,stressed_panic,familyA_tilt5pct_intuitive,dev,A,0.05,intuitive
calm_trend,0.102489,0.065405,1.566993,2.204273,3.755319,-0.027292,-0.007956,-0.018942,0.555556,18,0.071992,3.743587,0.003744,calm_trend,familyA_tilt5pct_intuitive,holdout,A,0.05,intuitive
neutral_mixed,0.218217,0.093578,2.331927,3.698126,4.533894,-0.04813,-0.006891,-0.025449,0.603448,58,0.075133,3.906919,0.003907,neutral_mixed,familyA_tilt5pct_intuitive,holdout,A,0.05,intuitive
recovery_confirmed,0.108509,0.076349,1.421234,1.92664,6.722663,-0.016141,-0.004542,-0.016141,0.6,10,0.126723,6.589584,0.00659,recovery_confirmed,familyA_tilt5pct_intuitive,holdout,A,0.05,intuitive
recovery_fragile,0.157405,0.032087,,,86.422024,-0.001821,-0.000596,,,4,0.182906,9.511104,0.009511,recovery_fragile,familyA_tilt5pct_intuitive,holdout,A,0.05,intuitive
stressed_panic,0.075502,0.074471,1.013835,1.126705,2.879707,-0.026219,-0.0037,-0.026219,0.857143,14,0.083613,4.347889,0.004348,stressed_panic,familyA_tilt5pct_intuitive,holdout,A,0.05,intuitive
calm_trend,0.038445,0.077442,0.496428,0.643569,0.270669,-0.142036,-0.062321,-0.026405,0.555957,277,0.073912,3.843401,0.003843,calm_trend,familyA_tilt7pct_data,dev,A,0.075,data
neutral_mixed,0.094889,0.072229,1.313726,1.613298,1.228844,-0.077218,-0.016427,-0.023678,0.544828,435,0.074599,3.879161,0.003879,neutral_mixed,familyA_tilt7pct_data,dev,A,0.075,data
recovery_confirmed,0.003666,0.075009,0.048877,0.067043,0.067935,-0.053967,-0.016708,-0.025075,0.470588,34,0.095521,4.967115,0.004967,recovery_confirmed,familyA_tilt7pct_data,dev,A,0.075,data
recovery_fragile,0.058337,0.059978,0.972643,1.294538,1.863356,-0.031307,-0.008543,-0.017143,0.577778,45,0.117093,6.088846,0.006089,recovery_fragile,familyA_tilt7pct_data,dev,A,0.075,data
stressed_panic,0.035058,0.074641,0.469687,0.531655,0.287819,-0.121805,-0.026448,-0.022621,0.553488,215,0.057961,3.013967,0.003014,stressed_panic,familyA_tilt7pct_data,dev,A,0.075,data
calm_trend,0.102207,0.065439,1.561852,2.193497,3.738711,-0.027337,-0.007973,-0.018988,0.555556,18,0.077416,4.025647,0.004026,calm_trend,familyA_tilt7pct_data,holdout,A,0.075,data
neutral_mixed,0.21595,0.093034,2.321186,3.733316,4.490321,-0.048092,-0.006853,-0.02495,0.62069,58,0.076986,4.003294,0.004003,neutral_mixed,familyA_tilt7pct_data,holdout,A,0.075,data
recovery_confirmed,0.108299,0.076325,1.418921,1.922911,6.709651,-0.016141,-0.004542,-0.016141,0.6,10,0.130762,6.799602,0.0068,recovery_confirmed,familyA_tilt7pct_data,holdout,A,0.075,data
recovery_fragile,0.157405,0.032087,,,86.422024,-0.001821,-0.000596,,,4,0.182906,9.511104,0.009511,recovery_fragile,familyA_tilt7pct_data,holdout,A,0.075,data
stressed_panic,0.075254,0.074482,1.010358,1.121015,2.867694,-0.026242,-0.003705,-0.026242,0.857143,14,0.088386,4.596061,0.004596,stressed_panic,familyA_tilt7pct_data,holdout,A,0.075,data
calm_trend,0.038356,0.07744,0.495301,0.642011,0.270059,-0.142028,-0.062298,-0.026405,0.559567,277,0.075615,3.931975,0.003932,calm_trend,familyA_tilt7pct_intuitive,dev,A,0.075,intuitive
neutral_mixed,0.093735,0.070966,1.320841,1.677504,1.114541,-0.084102,-0.01631,-0.022916,0.583908,435,0.077052,4.006725,0.004007,neutral_mixed,familyA_tilt7pct_intuitive,dev,A,0.075,intuitive
recovery_confirmed,0.00329,0.074975,0.043882,0.060193,0.060819,-0.054096,-0.016741,-0.025075,0.470588,34,0.102755,5.343278,0.005343,recovery_confirmed,familyA_tilt7pct_intuitive,dev,A,0.075,intuitive
recovery_fragile,0.058036,0.059989,0.967433,1.28972,1.852836,-0.031323,-0.008552,-0.017143,0.577778,45,0.122884,6.389942,0.00639,recovery_fragile,familyA_tilt7pct_intuitive,dev,A,0.075,intuitive
stressed_panic,0.034957,0.074646,0.468299,0.530147,0.286985,-0.121806,-0.026476,-0.022626,0.553488,215,0.059911,3.115353,0.003115,stressed_panic,familyA_tilt7pct_intuitive,dev,A,0.075,intuitive
calm_trend,0.102284,0.065416,1.563609,2.19763,3.744838,-0.027313,-0.007966,-0.018964,0.555556,18,0.075922,3.947944,0.003948,calm_trend,familyA_tilt7pct_intuitive,holdout,A,0.075,intuitive
