label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_turnover,ann_turnover,ann_cost_drag,state,variant,period,family,tilt_size,bucket_type
recovery_fragile,0.157405,0.032087,,,86.422024,-0.001821,-0.000596,,,4,0.182906,9.511104,0.009511,recovery_fragile,familyB_tilt5pct_intuitive,holdout,B,0.05,intuitive
stressed_panic,0.075694,0.074441,1.016833,1.131797,2.889891,-0.026193,-0.003696,-0.026193,0.857143,14,0.07991,4.155314,0.004155,stressed_panic,familyB_tilt5pct_intuitive,holdout,B,0.05,intuitive
calm_trend,0.038542,0.077445,0.497664,0.645136,0.271935,-0.141731,-0.062062,-0.026405,0.555957,277,0.072046,3.746407,0.003746,calm_trend,familyB_tilt7pct_data,dev,B,0.075,data
neutral_mixed,0.094978,0.072851,1.303743,1.598508,1.182285,-0.080335,-0.016602,-0.023918,0.533333,435,0.075726,3.937733,0.003938,neutral_mixed,familyB_tilt7pct_data,dev,B,0.075,data
recovery_confirmed,0.003857,0.075016,0.051418,0.070423,0.071473,-0.053967,-0.0167,-0.025075,0.5,34,0.09185,4.776189,0.004776,recovery_confirmed,familyB_tilt7pct_data,dev,B,0.075,data
recovery_fragile,0.058562,0.059973,0.976477,1.299912,1.87089,-0.031302,-0.0085,-0.017121,0.577778,45,0.112758,5.863432,0.005863,recovery_fragile,familyB_tilt7pct_data,dev,B,0.075,data
stressed_panic,0.035155,0.074633,0.47104,0.533382,0.28875,-0.12175,-0.026428,-0.022616,0.553488,215,0.056088,2.916563,0.002917,stressed_panic,familyB_tilt7pct_data,dev,B,0.075,data
calm_trend,0.10246,0.065406,1.566528,2.203793,3.754449,-0.02729,-0.007953,-0.01894,0.555556,18,0.072547,3.772439,0.003772,calm_trend,familyB_tilt7pct_data,holdout,B,0.075,data
neutral_mixed,0.220062,0.092665,2.374806,3.697644,4.455748,-0.049388,-0.006727,-0.025461,0.637931,58,0.088814,4.618311,0.004618,neutral_mixed,familyB_tilt7pct_data,holdout,B,0.075,data
recovery_confirmed,0.108772,0.076377,1.424149,1.931302,6.738928,-0.016141,-0.004542,-0.016141,0.6,10,0.121674,6.327047,0.006327,recovery_confirmed,familyB_tilt7pct_data,holdout,B,0.075,data
recovery_fragile,0.157405,0.032087,,,86.422024,-0.001821,-0.000596,,,4,0.182906,9.511104,0.009511,recovery_fragile,familyB_tilt7pct_data,holdout,B,0.075,data
stressed_panic,0.07562,0.074425,1.016059,1.130682,2.887043,-0.026193,-0.003698,-0.026193,0.857143,14,0.081344,4.229905,0.00423,stressed_panic,familyB_tilt7pct_data,holdout,B,0.075,data
calm_trend,0.038498,0.077444,0.497103,0.644753,0.271658,-0.141714,-0.06202,-0.026405,0.559567,277,0.07289,3.790259,0.00379,calm_trend,familyB_tilt7pct_intuitive,dev,B,0.075,intuitive
neutral_mixed,0.093567,0.072515,1.290307,1.579322,1.068162,-0.087596,-0.016507,-0.02383,0.535632,435,0.07926,4.121509,0.004122,neutral_mixed,familyB_tilt7pct_intuitive,dev,B,0.075,intuitive
recovery_confirmed,0.003593,0.074983,0.047913,0.065594,0.0665,-0.054026,-0.016731,-0.025075,0.5,34,0.096936,5.040649,0.005041,recovery_confirmed,familyB_tilt7pct_intuitive,dev,B,0.075,intuitive
recovery_fragile,0.058349,0.059981,0.972782,1.296917,1.864072,-0.031302,-0.008496,-0.017121,0.577778,45,0.116862,6.076834,0.006077,recovery_fragile,familyB_tilt7pct_intuitive,dev,B,0.075,intuitive
stressed_panic,0.035131,0.074635,0.470707,0.533,0.28853,-0.121759,-0.02644,-0.022616,0.553488,215,0.056555,2.940842,0.002941,stressed_panic,familyB_tilt7pct_intuitive,dev,B,0.075,intuitive
calm_trend,0.102475,0.065406,1.566737,2.204108,3.754985,-0.02729,-0.007953,-0.01894,0.555556,18,0.072266,3.757822,0.003758,calm_trend,familyB_tilt7pct_intuitive,holdout,B,0.075,intuitive
neutral_mixed,0.223039,0.093462,2.386422,3.725749,4.539905,-0.049129,-0.006635,-0.025667,0.637931,58,0.087517,4.550887,0.004551,neutral_mixed,familyB_tilt7pct_intuitive,holdout,B,0.075,intuitive
recovery_confirmed,0.108772,0.076377,1.424149,1.931302,6.738928,-0.016141,-0.004542,-0.016141,0.6,10,0.121674,6.327047,0.006327,recovery_confirmed,familyB_tilt7pct_intuitive,holdout,B,0.075,intuitive
