variant,family,tilt_size,bucket_type,avg_weekly_turnover,ann_turnover,avg_weekly_cost,ann_cost_drag,baseline_ann_turnover,turnover_increase_ann
familyA_tilt2pct_data,A,0.025,data,0.070653,3.673948,7.1e-05,0.003674,3.504166,0.169783
familyA_tilt2pct_intuitive,A,0.025,intuitive,0.070841,3.683707,7.1e-05,0.003684,3.504166,0.179542
familyA_tilt5pct_data,A,0.05,data,0.072573,3.77382,7.3e-05,0.003774,3.504166,0.269654
familyA_tilt5pct_intuitive,A,0.05,intuitive,0.073603,3.827367,7.4e-05,0.003827,3.504166,0.323201
familyA_tilt7pct_data,A,0.075,data,0.074809,3.89007,7.5e-05,0.00389,3.504166,0.385904
familyA_tilt7pct_intuitive,A,0.075,intuitive,0.076969,4.002363,7.7e-05,0.004002,3.504166,0.498197
familyA_tilt10pct_data,A,0.1,data,0.077306,4.019934,7.7e-05,0.00402,3.504166,0.515768
familyA_tilt10pct_intuitive,A,0.1,intuitive,0.080691,4.195923,8.1e-05,0.004196,3.504166,0.691757
familyB_tilt2pct_data,B,0.025,data,0.070345,3.657949,7e-05,0.003658,3.504166,0.153783
familyB_tilt2pct_intuitive,B,0.025,intuitive,0.070456,3.663727,7e-05,0.003664,3.504166,0.159562
familyB_tilt5pct_data,B,0.05,data,0.072299,3.759557,7.2e-05,0.00376,3.504166,0.255391
familyB_tilt5pct_intuitive,B,0.05,intuitive,0.073224,3.807657,7.3e-05,0.003808,3.504166,0.303491
familyB_tilt7pct_data,B,0.075,data,0.074502,3.874121,7.5e-05,0.003874,3.504166,0.369955
familyB_tilt7pct_intuitive,B,0.075,intuitive,0.076439,3.974839,7.6e-05,0.003975,3.504166,0.470673
familyB_tilt10pct_data,B,0.1,data,0.076869,3.997194,7.7e-05,0.003997,3.504166,0.493028
familyB_tilt10pct_intuitive,B,0.1,intuitive,0.079918,4.155729,8e-05,0.004156,3.504166,0.651563
familyC_tilt2pct_data,C,0.025,data,0.070618,3.672143,7.1e-05,0.003672,3.504166,0.167978
familyC_tilt2pct_intuitive,C,0.025,intuitive,0.070748,3.678918,7.1e-05,0.003679,3.504166,0.174752
familyC_tilt5pct_data,C,0.05,data,0.072601,3.77524,7.3e-05,0.003775,3.504166,0.271074
familyC_tilt5pct_intuitive,C,0.05,intuitive,0.073542,3.82419,7.4e-05,0.003824,3.504166,0.320024
familyC_tilt7pct_data,C,0.075,data,0.074886,3.894071,7.5e-05,0.003894,3.504166,0.389905
familyC_tilt7pct_intuitive,C,0.075,intuitive,0.076892,3.998393,7.7e-05,0.003998,3.504166,0.494227
familyC_tilt10pct_data,C,0.1,data,0.077426,4.026129,7.7e-05,0.004026,3.504166,0.521964
familyC_tilt10pct_intuitive,C,0.1,intuitive,0.080542,4.188191,8.1e-05,0.004188,3.504166,0.684025
familyD_tilt2pct_data,D,0.025,data,0.070273,3.654202,7e-05,0.003654,3.504166,0.150036
familyD_tilt2pct_intuitive,D,0.025,intuitive,0.070275,3.654274,7e-05,0.003654,3.504166,0.150108
familyD_tilt5pct_data,D,0.05,data,0.072275,3.758274,7.2e-05,0.003758,3.504166,0.254109
familyD_tilt5pct_intuitive,D,0.05,intuitive,0.072862,3.788812,7.3e-05,0.003789,3.504166,0.284646
familyD_tilt7pct_data,D,0.075,data,0.074506,3.874293,7.5e-05,0.003874,3.504166,0.370127
familyD_tilt7pct_intuitive,D,0.075,intuitive,0.075857,3.944555,7.6e-05,0.003945,3.504166,0.440389
familyD_tilt10pct_data,D,0.1,data,0.076885,3.998045,7.7e-05,0.003998,3.504166,0.49388
familyD_tilt10pct_intuitive,D,0.1,intuitive,0.079079,4.112085,7.9e-05,0.004112,3.504166,0.60792
