label,etf,n,mean_4w,median_4w,sharpe_4w,hit_rate
all_mkt|macro_expansion|dev,BIL,373,0.000574,0.000218,4.598461,0.5898
all_mkt|macro_expansion|dev,DBA,377,-0.004411,-0.004579,-0.911513,0.4244
all_mkt|macro_expansion|dev,EEM,421,0.000265,0.001155,0.039239,0.5131
all_mkt|macro_expansion|dev,EFA,421,0.00101,0.004721,0.181686,0.5606
all_mkt|macro_expansion|dev,EWJ,421,0.002765,0.005485,0.493807,0.5629
all_mkt|macro_expansion|dev,GLD,421,0.001209,-0.000503,0.231303,0.4964
all_mkt|macro_expansion|dev,HYG,373,8e-06,0.002601,0.003036,0.5684
all_mkt|macro_expansion|dev,IAU,419,0.001331,-0.000795,0.253685,0.4893
all_mkt|macro_expansion|dev,IEF,421,0.001881,0.002792,0.826662,0.5701
all_mkt|macro_expansion|dev,IWM,421,-1.8e-05,0.007472,-0.002611,0.5511
all_mkt|macro_expansion|dev,LQD,421,0.000812,0.003064,0.307971,0.5938
all_mkt|macro_expansion|dev,MBB,373,0.000516,0.001613,0.406804,0.5818
all_mkt|macro_expansion|dev,PDBC,297,-0.003109,0.002743,-0.423623,0.5219
all_mkt|macro_expansion|dev,QQQ,421,0.007826,0.014049,1.266168,0.6295
all_mkt|macro_expansion|dev,SHY,421,0.000761,0.000487,1.508151,0.6033
all_mkt|macro_expansion|dev,SLV,386,-0.009548,-0.014625,-1.078119,0.4275
all_mkt|macro_expansion|dev,SPY,421,0.004688,0.010581,0.899236,0.6295
all_mkt|macro_expansion|dev,TIP,421,0.001232,0.002905,0.682633,0.6033
all_mkt|macro_expansion|dev,TLT,421,0.003792,0.003958,0.785291,0.5511
all_mkt|macro_expansion|dev,USO,386,-0.007037,0.000399,-0.517474,0.5
all_mkt|macro_expansion|dev,UUP,374,0.00442,0.004363,1.896909,0.6096
all_mkt|macro_expansion|dev,VEA,372,-0.000313,0.004218,-0.054463,0.5376
all_mkt|macro_expansion|dev,VNQ,421,0.002784,0.007797,0.438454,0.5867
all_mkt|macro_expansion|dev,VTV,421,0.004009,0.007806,0.777441,0.6176
all_mkt|macro_expansion|dev,VUG,421,0.005789,0.012006,0.988306,0.6318
all_mkt|macro_expansion|dev,VWO,413,0.000513,0.003196,0.079095,0.54
all_mkt|macro_expansion|dev,XLB,421,0.000272,0.004598,0.04174,0.5463
all_mkt|macro_expansion|dev,XLE,421,0.000248,0.001454,0.024265,0.5131
all_mkt|macro_expansion|dev,XLF,421,0.004031,0.009729,0.585345,0.62
all_mkt|macro_expansion|dev,XLI,421,0.002582,0.007144,0.405165,0.5606
all_mkt|macro_expansion|dev,XLK,421,0.007671,0.010848,1.249123,0.6366
all_mkt|macro_expansion|dev,XLP,421,0.005278,0.007336,1.225377,0.6081
all_mkt|macro_expansion|dev,XLU,421,0.007013,0.012075,1.243018,0.6295
all_mkt|macro_expansion|dev,XLV,421,0.008345,0.01203,1.644508,0.6485
all_mkt|macro_expansion|dev,XLY,421,0.004034,0.010159,0.618143,0.6152
neutral_mixed|macro_expansion|dev,BIL,157,0.000577,0.000218,4.334734,0.5669
neutral_mixed|macro_expansion|dev,DBA,157,0.001999,0.0,0.382075,0.4968
neutral_mixed|macro_expansion|dev,EEM,191,0.003236,0.006286,0.451275,0.5445
neutral_mixed|macro_expansion|dev,EFA,191,0.005238,0.007991,0.993852,0.5969
neutral_mixed|macro_expansion|dev,EWJ,191,0.002261,0.003669,0.419309,0.555
neutral_mixed|macro_expansion|dev,GLD,191,0.006023,0.006617,1.135601,0.5654
neutral_mixed|macro_expansion|dev,HYG,157,0.001812,0.004124,0.751414,0.6115
neutral_mixed|macro_expansion|dev,IAU,189,0.006162,0.006527,1.155004,0.5556
neutral_mixed|macro_expansion|dev,IEF,191,0.001991,0.002815,0.817396,0.5759
neutral_mixed|macro_expansion|dev,IWM,191,0.004479,0.012752,0.696607,0.5707
neutral_mixed|macro_expansion|dev,LQD,191,0.002058,0.003748,0.839145,0.5969
neutral_mixed|macro_expansion|dev,MBB,157,0.000588,0.001692,0.427382,0.586
neutral_mixed|macro_expansion|dev,PDBC,117,-0.001933,0.002743,-0.263501,0.5214
neutral_mixed|macro_expansion|dev,QQQ,191,0.010567,0.014774,1.878226,0.644
neutral_mixed|macro_expansion|dev,SHY,191,0.000675,0.000568,1.239745,0.5916
neutral_mixed|macro_expansion|dev,SLV,162,-0.001526,-0.006993,-0.186136,0.4444
neutral_mixed|macro_expansion|dev,SPY,191,0.007566,0.011783,1.6568,0.6283
neutral_mixed|macro_expansion|dev,TIP,191,0.001884,0.00266,0.959982,0.6126
neutral_mixed|macro_expansion|dev,TLT,191,0.004467,0.004061,0.925755,0.5602
neutral_mixed|macro_expansion|dev,USO,162,0.000154,0.007615,0.011102,0.5247
neutral_mixed|macro_expansion|dev,UUP,157,0.002571,0.003208,1.105509,0.5924
neutral_mixed|macro_expansion|dev,VEA,156,0.004034,0.00658,0.737537,0.5705
neutral_mixed|macro_expansion|dev,VNQ,191,0.008452,0.013246,1.454619,0.6335
neutral_mixed|macro_expansion|dev,VTV,191,0.007332,0.011467,1.634332,0.6283
neutral_mixed|macro_expansion|dev,VUG,191,0.0085,0.014456,1.64177,0.6335
neutral_mixed|macro_expansion|dev,VWO,183,0.002669,0.005105,0.386611,0.5738
neutral_mixed|macro_expansion|dev,XLB,191,0.002765,0.006082,0.430834,0.5497
neutral_mixed|macro_expansion|dev,XLE,191,0.010503,0.009086,1.093269,0.5812
neutral_mixed|macro_expansion|dev,XLF,191,0.005181,0.010289,0.859349,0.6335
