label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_turnover,ann_turnover,ann_cost_drag,variant,family,tilt_size,bucket_type,sharpe_delta_vs_baseline,return_delta_vs_baseline,dd_delta_vs_baseline
BASELINE,0.07179,0.075235,0.954218,1.183416,0.618697,-0.116035,-0.019733,-0.024948,0.554955,1110,0.067388,3.504166,0.003504,baseline,baseline,0.0,none,,,
familyA_tilt2pct_data,0.07151,0.075061,0.952699,1.184666,0.616109,-0.116068,-0.019615,-0.024858,0.558559,1110,0.070653,3.673948,0.003674,familyA_tilt2pct_data,A,0.025,data,-0.001519,-0.00028,-3.3e-05
familyA_tilt2pct_intuitive,0.071418,0.074917,0.953298,1.191894,0.61535,-0.116061,-0.019659,-0.024763,0.574775,1110,0.070841,3.683707,0.003684,familyA_tilt2pct_intuitive,A,0.025,intuitive,-0.00092,-0.000372,-2.6e-05
familyA_tilt5pct_data,0.071503,0.074886,0.954823,1.1881,0.615921,-0.11609,-0.019362,-0.024766,0.558559,1110,0.072573,3.77382,0.003774,familyA_tilt5pct_data,A,0.05,data,0.000605,-0.000287,-5.5e-05
familyA_tilt5pct_intuitive,0.071215,0.074592,0.954728,1.198976,0.610834,-0.116586,-0.019537,-0.024576,0.572973,1110,0.073603,3.827367,0.003827,familyA_tilt5pct_intuitive,A,0.05,intuitive,0.00051,-0.000575,-0.000551
familyA_tilt7pct_data,0.071481,0.074728,0.956554,1.19161,0.615616,-0.116113,-0.019124,-0.024675,0.557658,1110,0.074809,3.89007,0.00389,familyA_tilt7pct_data,A,0.075,data,0.002336,-0.000309,-7.8e-05
familyA_tilt7pct_intuitive,0.070982,0.074329,0.954966,1.20378,0.604447,-0.117433,-0.019622,-0.0244,0.573874,1110,0.076969,4.002363,0.004002,familyA_tilt7pct_intuitive,A,0.075,intuitive,0.000748,-0.000808,-0.001398
familyA_tilt10pct_data,0.071449,0.074587,0.957929,1.19468,0.615212,-0.116137,-0.018891,-0.024584,0.556757,1110,0.077306,4.019934,0.00402,familyA_tilt10pct_data,A,0.1,data,0.003711,-0.000341,-0.000102
familyA_tilt10pct_intuitive,0.070733,0.074131,0.954165,1.207066,0.598007,-0.118282,-0.019745,-0.024251,0.572973,1110,0.080691,4.195923,0.004196,familyA_tilt10pct_intuitive,A,0.1,intuitive,-5.3e-05,-0.001057,-0.002247
familyB_tilt2pct_data,0.071762,0.075131,0.955167,1.185317,0.618336,-0.116057,-0.01958,-0.0249,0.555856,1110,0.070345,3.657949,0.003658,familyB_tilt2pct_data,B,0.025,data,0.000949,-2.8e-05,-2.2e-05
familyB_tilt2pct_intuitive,0.071591,0.075094,0.953356,1.182853,0.616861,-0.116057,-0.01963,-0.024876,0.556757,1110,0.070456,3.663727,0.003664,familyB_tilt2pct_intuitive,B,0.025,intuitive,-0.000862,-0.000199,-2.2e-05
