variant,family,tilt_size,bucket_type,full_sharpe,sharpe_delta,ann_return,max_drawdown,holdout_sharpe,nm_dev_sharpe,nm_improved,turnover_increase_ann,g1_sharpe_+001,g2_holdout_ok,g3_return_ok,g4_dd_ok,g5_cvar_ok,g6_turnover_ok,g7_nm_improved,g8_sp_ok,g9_no_leverage,gates_passed,verdict
familyB_tilt10pct_data,B,0.1,data,0.9591,0.0049,0.0718,-0.1161,2.0247,1.3101,True,0.493,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyB_tilt7pct_data,B,0.075,data,0.958,0.0038,0.0718,-0.1161,2.0316,1.3037,True,0.37,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyA_tilt10pct_data,A,0.1,data,0.9579,0.0037,0.0714,-0.1161,1.9774,1.3261,True,0.5158,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyB_tilt5pct_data,B,0.05,data,0.9567,0.0025,0.0718,-0.1161,2.0377,1.2969,True,0.2554,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyA_tilt7pct_data,A,0.075,data,0.9566,0.0023,0.0715,-0.1161,1.9969,1.3137,True,0.3859,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyB_tilt2pct_data,B,0.025,data,0.9552,0.0009,0.0718,-0.1161,2.043,1.2895,True,0.1538,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyA_tilt7pct_intuitive,A,0.075,intuitive,0.955,0.0007,0.071,-0.1174,1.9811,1.3208,True,0.4982,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyA_tilt5pct_data,A,0.05,data,0.9548,0.0006,0.0715,-0.1161,2.0152,1.3008,True,0.2697,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyA_tilt5pct_intuitive,A,0.05,intuitive,0.9547,0.0005,0.0712,-0.1166,2.005,1.3079,True,0.3232,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyA_tilt10pct_intuitive,A,0.1,intuitive,0.9542,-0.0001,0.0707,-0.1183,1.9558,1.331,True,0.6918,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyB_tilt5pct_intuitive,B,0.05,intuitive,0.9536,-0.0006,0.0715,-0.1161,2.043,1.2882,True,0.3035,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyD_tilt5pct_data,D,0.05,data,0.9536,-0.0007,0.0716,-0.1161,2.0371,1.2885,True,0.2541,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyD_tilt2pct_data,D,0.025,data,0.9535,-0.0007,0.0716,-0.1161,2.0427,1.2853,True,0.15,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyB_tilt2pct_intuitive,B,0.025,intuitive,0.9534,-0.0009,0.0716,-0.1161,2.046,1.2844,True,0.1596,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyA_tilt2pct_intuitive,A,0.025,intuitive,0.9533,-0.0009,0.0714,-0.1161,2.0272,1.2922,True,0.1795,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyD_tilt7pct_data,D,0.075,data,0.9533,-0.0009,0.0715,-0.1161,2.0307,1.2912,True,0.3701,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyB_tilt7pct_intuitive,B,0.075,intuitive,0.9533,-0.001,0.0714,-0.1161,2.039,1.2903,True,0.4707,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyD_tilt10pct_data,D,0.1,data,0.9529,-0.0014,0.0714,-0.1161,2.0235,1.2935,True,0.4939,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyA_tilt2pct_data,A,0.025,data,0.9527,-0.0015,0.0715,-0.1161,2.0321,1.2873,True,0.1698,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyB_tilt10pct_intuitive,B,0.1,intuitive,0.9523,-0.0019,0.0712,-0.1161,2.034,1.2909,True,0.6516,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyC_tilt2pct_data,C,0.025,data,0.9507,-0.0036,0.0714,-0.1161,2.0317,1.282,False,0.168,False,True,True,True,True,False,False,True,True,6,DROP
familyC_tilt5pct_data,C,0.05,data,0.9506,-0.0036,0.0712,-0.1161,2.0146,1.2896,True,0.2711,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyD_tilt2pct_intuitive,D,0.025,intuitive,0.9504,-0.0039,0.0714,-0.1161,2.0454,1.2761,False,0.1501,False,True,True,True,True,False,False,True,True,6,DROP
familyC_tilt7pct_data,C,0.075,data,0.9501,-0.0041,0.071,-0.1161,1.996,1.2966,True,0.3899,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyC_tilt2pct_intuitive,C,0.025,intuitive,0.9498,-0.0044,0.0712,-0.1161,2.0267,1.2814,False,0.1748,False,True,True,True,True,False,False,True,True,6,DROP
familyC_tilt10pct_data,C,0.1,data,0.9493,-0.0049,0.0708,-0.1161,1.9761,1.3031,True,0.522,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyD_tilt5pct_intuitive,D,0.05,intuitive,0.9481,-0.0061,0.0711,-0.1161,2.0419,1.273,False,0.2846,False,True,True,True,True,False,False,True,True,6,DROP
familyC_tilt5pct_intuitive,C,0.05,intuitive,0.9467,-0.0075,0.0708,-0.1166,2.0039,1.2835,True,0.32,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyD_tilt7pct_intuitive,D,0.075,intuitive,0.9453,-0.0089,0.0709,-0.1161,2.0374,1.2684,False,0.4404,False,True,True,True,True,False,False,True,True,6,DROP
familyC_tilt7pct_intuitive,C,0.075,intuitive,0.9426,-0.0116,0.0703,-0.1174,1.9795,1.2831,True,0.4942,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
familyD_tilt10pct_intuitive,D,0.1,intuitive,0.9421,-0.0121,0.0706,-0.1161,2.032,1.2627,False,0.6079,False,True,True,True,True,False,False,True,True,6,DROP
familyC_tilt10pct_intuitive,C,0.1,intuitive,0.9377,-0.0165,0.0698,-0.1183,1.9538,1.2806,False,0.684,False,True,True,True,True,False,False,True,True,6,DROP
