cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,first_recent_decision_x,last_recent_decision_x,recent_decision_rows_x,symbol_count,current_tickers,first_recent_decision_y,last_recent_decision_y,recent_decision_rows_y,recovered_symbol,current_primary,selection_basis,candidate_format_valid,candidate_unique_across_ciks,audit_status,first_recent_decision,last_recent_decision,recent_decision_rows,tiingo_symbol
0001807707,"APPHARVEST, INC.",agriculture_forestry_fishing,0001807707-22-000133,2022-11-08 00:00:00+00:00,APPH|APPHW,xbrl_symbol_recovered,apph-20220930.htm,1c7d1be4a85161084bc01c97a562c9ea651997f1b26b7bae7f5cc43d9f467f4b,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,2,,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,APPH,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,APPH
0000912595,MID AMERICA APARTMENT COMMUNITIES INC.,finance_insurance_real_estate,0001193125-26-041208,2026-02-07 00:00:00+00:00,MAAI|MAA,xbrl_symbol_recovered,maa-20251231.htm,523a201cd6c4c7406d1966177e572b2b759b29d3da7e846cc7cf6df0f439a5ec,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,MAA|MAA-PI,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,MAAI,MAA,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,MAAI
0001050446,STRATEGY INC,finance_insurance_real_estate,0001050446-26-000020,2026-02-20 00:00:00+00:00,STRF|STRC|STRK|STRD|MSTR,xbrl_symbol_recovered,mstr-20251231.htm,f8bdfc4540033f3cbf68917e01350290901081dd0fd3d62444af86b938f6345c,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,5,MSTR|STRC|STRD|STRF|STRK,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,STRF,MSTR,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,STRF
0000077281,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,finance_insurance_real_estate,0000950170-22-022928,2022-11-09 00:00:00+00:00,PEI|PEIPRB|PEIPRC|PEIPRD,xbrl_symbol_recovered,pei-20220930.htm,6e4796d0bf644f7590657d4bdd696da0f3a036f972f1665b9a7e96ae95f883d0,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,4,,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,PEI,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,PEI
0000719739,SVB FINANCIAL GROUP,finance_insurance_real_estate,0000719739-23-000021,2023-02-25 00:00:00+00:00,SIVB|SIVBP,xbrl_symbol_recovered,sivb-20221231.htm,9f95bfaa99b189ea5b42abc4c050d2a45ebaef354646bf1b43a532ac2dd01400,2023-01-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,6,2,,2023-01-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,6,SIVB,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,6,SIVB
0000761648,"CEDAR REALTY TRUST, INC.",finance_insurance_real_estate,0000761648-23-000012,2023-11-08 00:00:00+00:00,CDRPB|CDRPC,xbrl_symbol_recovered,cdr-20230930.htm,1d6a42dd3a75e1f2b7c282cd0f6a1c0672c6f6d625e64bed44a189e1539816f7,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,2,CDR-PB|CDR-PC,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,CDRPB,CDR-PB,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,CDRPB
0001091748,"ARGO GROUP INTERNATIONAL HOLDINGS, LTD.",finance_insurance_real_estate,0001628280-23-038054,2023-11-10 00:00:00+00:00,ARGO|ARGD|ARGOPRA,xbrl_symbol_recovered,argo-20230930.htm,d97949fa0648e441ca586882d3a8925c977b90e8a6a07c4d9e5a1b97007375b2,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,3,,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,ARGO,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,ARGO
0001527469,ATHENE HOLDING LTD,finance_insurance_real_estate,0001527469-22-000067,2022-11-09 00:00:00+00:00,ATHPRA|ATHPRB|ATHPRC|ATHPRD,xbrl_symbol_recovered,ahl-20220930.htm,89302935168e067f1b411f9eaa04dd55b41585163f8e153f364b1f8625256c98,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,4,ATH-PA|ATH-PB|ATH-PD|ATH-PE|ATHS,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,ATHPRA,ATH-PA,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,ATHPRA
0001569187,"ARMADA HOFFLER PROPERTIES, INC.",finance_insurance_real_estate,0001569187-26-000019,2026-02-27 00:00:00+00:00,AHH|AHHPRA,xbrl_symbol_recovered,ahh-20251231.htm,140f4a28f2db8752e47dc42fe4562409611781bda2f1abdbb22d8c8a22c841cd,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,AHRT|AHRT-PA,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,AHH,AHRT,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,AHH
0001821850,SUNLIGHT FINANCIAL HOLDINGS INC.,finance_insurance_real_estate,0001821850-23-000064,2023-08-10 00:00:00+00:00,SUNL|SUNL.WS,xbrl_symbol_recovered,sunl-20230630.htm,f0b047abc18e9808050e5340e329979a0d10446e90b714a62bae8e920a465091,2023-07-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,6,2,,2023-07-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,6,SUNL,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-07-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,6,SUNL
