configuration_id,buffer_kind,entry_band,exit_band,cost_bps,observations,years,total_return,annual_return,annual_volatility,sharpe_zero_rf,sortino_zero_target,max_drawdown,max_drawdown_duration_weeks,calmar,cvar_5_weekly,positive_week_share,worst_week,best_week,average_annual_turnover,total_cost,development_sharpe,development_selection_score,oos_2016_2020_sharpe,oos_2021_present_sharpe,fully_invested_pass,unpriced_exposure_events
symmetric_0.000,symmetric,0.0,0.0,10.0,1126,21.653846153846153,4.112124096948339,0.0782613610745202,0.08802759527904735,0.9009141452045025,1.282173652921629,-0.23390268432554395,97,0.3345894096948312,-0.028810557611691042,0.5790408525754884,-0.11096301469862584,0.103979964669373,2.902434833685173,0.06284887736018278,0.9902491363392318,1.1316543075957795,0.6133760567842634,1.1015690223603842,True,0
symmetric_0.000,symmetric,0.0,0.0,25.0,1126,21.653846153846153,3.6528628676663697,0.07358418196987349,0.08801844781711622,0.8515448222904002,1.2064424858762077,-0.23431579903959798,99,0.3140384996294603,-0.02889433358735364,0.5763765541740675,-0.11096301469862584,0.103979964669373,2.902434833685173,0.15712219340045697,0.9416439119637875,1.0737658530366834,0.5710668109110201,1.0406709069054612,True,0
symmetric_0.000,symmetric,0.0,0.0,50.0,1126,21.653846153846153,2.976836317533323,0.06582856277216576,0.08805136475279825,0.7688190479561966,1.0811597241046211,-0.2350043235630216,103,0.28011639009063755,-0.029043407142118446,0.5701598579040853,-0.11096301469862584,0.103979964669373,2.902434833685173,0.31424438680091393,0.8601860421200926,0.9774365101107749,0.5002415140250087,0.9385742972885484,True,0
symmetric_0.000,symmetric,0.0,0.0,100.0,1126,21.653846153846153,1.9039876024360445,0.050465130079802245,0.08829741121808292,0.602321081879834,0.8347176275195201,-0.23638137260986858,113,0.21349029969079467,-0.029396869556363368,0.5630550621669627,-0.11096301469862584,0.103979964669373,2.902434833685173,0.6284887736018279,0.6961495794060641,0.7857289071239677,0.35781353710380404,0.7331854675446196,True,0
symmetric_0.010,symmetric,0.01,0.01,10.0,1126,21.653846153846153,4.0824069168846995,0.07797109110787237,0.08780355912149522,0.8999180195571153,1.2806603477935627,-0.2349954762401637,97,0.33179826418524955,-0.02870168914600673,0.5781527531083481,-0.11183879047542969,0.10461836130105617,2.8142788308867916,0.06093996083804861,0.9864738513046721,1.1287396160377465,0.6135737856949013,1.1051660430982668,True,0
symmetric_0.010,symmetric,0.01,0.01,25.0,1126,21.653846153846153,3.639054417864334,0.07343683501730647,0.08779516154561179,0.8519215122065036,1.2070329937206234,-0.23539336877289097,99,0.3119749523962113,-0.02877857111993288,0.5754884547069272,-0.11183879047542969,0.10461836130105617,2.8142788308867916,0.15234990209512153,0.9392244333588579,1.0723942553494712,0.5724765740963934,1.04588086920813,True,0
symmetric_0.010,symmetric,0.01,0.01,50.0,1126,21.653846153846153,2.9839883071484485,0.0659170069516768,0.08782694960053535,0.7715045327126091,1.0852009775461602,-0.23605652299410274,103,0.27924247174192074,-0.028924311729751885,0.5710479573712256,-0.11183879047542969,0.10461836130105617,2.8142788308867916,0.30469980419024306,0.8600523605855549,0.9786314313535303,0.5036894469300829,0.9464830519255388,True,0
symmetric_0.010,symmetric,0.01,0.01,100.0,1126,21.653846153846153,1.9371545110253914,0.05101619449399397,0.08806185206479679,0.6096566708271948,0.8454143530543143,-0.2373828314365265,112,0.21491105395141066,-0.029260044009248247,0.5630550621669627,-0.11183879047542969,0.10461836130105617,2.8142788308867916,0.6093996083804861,0.7006421475404069,0.7920086344191344,0.36537681892451096,0.7464617838100011,True,0
symmetric_0.025,symmetric,0.025,0.025,10.0,1126,21.653846153846153,4.025021336006836,0.07740595249987958,0.08749892136597086,0.8967441900228684,1.275945305711978,-0.23640338329975796,97,0.3274316611692876,-0.02854543713009601,0.5746003552397868,-0.11299011973492577,0.10554352210384915,2.686337752850303,0.05816954441748925,0.9793152674617778,1.1231864359371067,0.6132187805657568,1.1072911003808366,True,0
symmetric_0.025,symmetric,0.025,0.025,25.0,1126,21.653846153846153,3.6057408634110475,0.0730796240977083,0.08749120904497593,0.8507671062204969,1.20542214970102,-0.2367809395691316,99,0.3086381202418181,-0.028619251360156354,0.5728241563055062,-0.11299011973492577,0.10554352210384915,2.686337752850303,0.14542386104372312,0.9340924333978055,1.0691217268899054,0.5738955002447635,1.0503583214524164,True,0
symmetric_0.025,symmetric,0.025,0.025,50.0,1126,21.653846153846153,2.9828520315494838,0.06590296546637964,0.08752081030852199,0.7737451026571118,1.0886885574300564,-0.23741020001808832,103,0.27759112903050703,-0.02876097199147271,0.5683836589698046,-0.11299011973492577,0.10554352210384915,2.686337752850303,0.29084772208744625,0.8583352098408809,0.97915411295075,0.5080904709300558,0.9548947789352322,True,0
symmetric_0.025,symmetric,0.025,0.025,100.0,1126,21.653846153846153,1.9773385369083623,0.05167595031846339,0.08773890488055465,0.6187347524619147,0.8587522715967023,-0.238668720916001,112,0.21651748130267412,-0.029076262991436348,0.5595026642984015,-0.11299011973492577,0.10554352210384915,2.686337752850303,0.5816954441748925,0.7058345755961019,0.800059980605901,0.3757986253412812,0.7626962786540342,True,0
symmetric_0.050,symmetric,0.05,0.05,10.0,1126,21.653846153846153,3.9218402967028076,0.07637415212784315,0.08703660098881719,0.8900184195560132,1.2661406385666467,-0.23819045357339652,97,0.3206432121105519,-0.028299668119711352,0.5692717584369449,-0.11445552538783967,0.10697738388148885,2.479678829019166,0.05369458387453041,0.9669429967165621,1.1149000234742337,0.6115838763704049,1.1073499374196134,True,0
symmetric_0.050,symmetric,0.05,0.05,25.0,1126,21.653846153846153,3.5414953956364466,0.07238372579310237,0.08703023968299571,0.8473452455224498,1.2007012702453141,-0.23853941301490988,99,0.30344556012040674,-0.02837125926285234,0.5674955595026643,-0.11445552538783967,0.10697738388148885,2.479678829019166,0.13423645968632603,0.925058311991432,1.0645250182277401,0.5751370299308248,1.0543014526366856,True,0
symmetric_0.050,symmetric,0.05,0.05,50.0,1126,21.653846153846153,2.971443637531478,0.0657617744924579,0.08705707527359394,0.7758756255852022,1.0923251463460726,-0.2391210120840993,103,0.2750146209205963,-0.028507871446982583,0.5621669626998224,-0.11445552538783967,0.10697738388148885,2.479678829019166,0.26847291937265205,0.8549200524292143,0.9806998216839826,0.5141646325307986,0.9653408998745,True,0
symmetric_0.050,symmetric,0.05,0.05,100.0,1126,21.653846153846153,2.036070430686735,0.05262511128850522,0.08725088775612706,0.6320516617385282,0.8785688472408911,-0.2402842102224777,110,0.21901194106670574,-0.028783149972167854,0.5541740674955595,-0.11445552538783967,0.10697738388148885,2.479678829019166,0.5369458387453041,0.7137787297752949,0.8138053727602352,0.39162665781945655,0.7861119004801769,True,0
symmetric_0.100,symmetric,0.1,0.1,10.0,1126,21.653846153846153,3.7260271931460958,0.07435800965090023,0.08613144059114425,0.8766533163282195,1.2471881082665064,-0.23924513348222531,98,0.3108026005319964,-0.027817125245754085,0.5683836589698046,-0.11558722082970924,0.10923064692940801,2.0962100776961266,0.045391010528573826,0.9490230697244062,1.110296408739755,0.6041920950318371,1.101671352737101,True,0
symmetric_0.100,symmetric,0.1,0.1,25.0,1126,21.653846153846153,3.415368114319297,0.07098978432680769,0.08612768515016635,0.8401839407577492,1.1912604606407424,-0.23955478021875276,99,0.2963405040883859,-0.027884832423852153,0.5657193605683837,-0.11558722082970924,0.10923064692940801,2.0962100776961266,0.11347752632143457,0.9136335976974667,1.066994732636488,0.5729087166471815,1.0559315864098995,True,0
symmetric_0.100,symmetric,0.1,0.1,50.0,1126,21.653846153846153,2.942067204641648,0.06539642165041593,0.08615044775680418,0.7791320239338834,1.0985455415601733,-0.2400708581129657,105,0.27240466487458276,-0.027997677720682276,0.5612788632326821,-0.11558722082970924,0.10923064692940801,2.0962100776961266,0.22695505264286914,0.8544086970355712,0.9949426005019201,0.5206034416221301,0.9792223159515274,True,0
symmetric_0.100,symmetric,0.1,0.1,100.0,1126,21.653846153846153,2.1414870612477532,0.0542856365878992,0.08630464327721651,0.6562975082713912,0.9152318917876933,-0.24110301390139122,110,0.22515536288609606,-0.028244602775651387,0.5523978685612788,-0.11558722082970924,0.10923064692940801,2.0962100776961266,0.4539101052857383,0.7352920566567158,0.8514444943213809,0.41554750922116895,0.8245214734436507,True,0
asymmetric_0.050_0.020,asymmetric,0.05,0.02,10.0,1126,21.653846153846153,3.877810658869679,0.07592756569264059,0.08679325340183874,0.8874838009682371,1.2610343652880296,-0.23819045357284918,97,0.31876829887062863,-0.02830596452403939,0.5728241563055062,-0.11445552538770429,0.10697738388140758,2.5339468868687915,0.05486969605027422,0.9688291539346432,1.1122579573454767,0.6007462195194905,1.1072260373964116,True,0
asymmetric_0.050_0.020,asymmetric,0.05,0.02,25.0,1126,21.653846153846153,3.4929517738392795,0.07185165162612539,0.08678663030854004,0.8437553784128698,1.19414813570185,-0.23853941301437187,99,0.3012150097887445,-0.02838757654364249,0.5692717584369449,-0.11445552538770429,0.10697738388140758,2.5339468868687915,0.13717424012568555,0.9255828757946255,1.0604839928760557,0.5636512190761078,1.0531251843898075,True,0
asymmetric_0.050_0.020,asymmetric,0.05,0.02,50.0,1126,21.653846153846153,2.917468408680579,0.06508848470751816,0.08681473102250244,0.770512309283659,1.08337322136914,-0.23912101208357572,103,0.2721989345075578,-0.028525915639338702,0.5657193605683837,-0.11445552538770429,0.10697738388140758,2.5339468868687915,0.2743484802513711,0.8531495338703894,0.9743299470758059,0.5015934583680828,0.9624015587473305,True,0
asymmetric_0.050_0.020,asymmetric,0.05,0.02,100.0,1126,21.653846153846153,1.9772244376126533,0.05167408904760307,0.08701742985562189,0.6231175126133769,0.864915287235779,-0.24028421022198376,110,0.21505403538528214,-0.028806256431834407,0.5568383658969804,-0.11445552538770429,0.10697738388140758,2.5339468868687915,0.5486969605027422,0.707357622168317,0.802809694517101,0.3768796617161902,0.7796632132626992,True,0
