decision_time,cik10,ticker,assets,assets__period_end,assets__available_at,capital_expenditure,capital_expenditure__period_end,capital_expenditure__available_at,capital_expenditure__prior_year,capital_expenditure__yoy_growth,cash,cash__period_end,cash__available_at,diluted_shares,diluted_shares__period_end,diluted_shares__available_at,diluted_shares__prior_year,diluted_shares__yoy_growth,equity,equity__period_end,equity__available_at,liabilities,liabilities__period_end,liabilities__available_at,net_income,net_income__period_end,net_income__available_at,net_income__prior_year,net_income__yoy_growth,operating_cash_flow,operating_cash_flow__period_end,operating_cash_flow__available_at,operating_cash_flow__prior_year,operating_cash_flow__yoy_growth,operating_income,operating_income__period_end,operating_income__available_at,operating_income__prior_year,operating_income__yoy_growth,revenue,revenue__period_end,revenue__available_at,revenue__prior_year,revenue__yoy_growth,shares_outstanding,shares_outstanding__period_end,shares_outstanding__available_at,stock_compensation,stock_compensation__period_end,stock_compensation__available_at,stock_compensation__prior_year,stock_compensation__yoy_growth,operating_margin,net_margin,operating_cash_flow_margin,capital_expenditure_to_revenue,stock_compensation_to_revenue,free_cash_flow_margin,liabilities_to_assets,cash_to_assets,equity_to_assets,debt_to_assets,debt_current,debt_current__period_end,debt_current__available_at,debt_noncurrent,debt_noncurrent__period_end,debt_noncurrent__available_at,gross_profit,gross_profit__period_end,gross_profit__available_at,gross_profit__prior_year,gross_profit__yoy_growth,share_repurchases,share_repurchases__period_end,share_repurchases__available_at,gross_margin,repurchases_to_revenue,share_repurchases__prior_year,share_repurchases__yoy_growth,cash_conversion_spread,operating_margin_change,operating_cash_flow_margin_change,free_cash_flow_margin_change,equity_to_assets_change,debt_to_assets_change,event_time,event_key,revenue_acceleration,operating_income_acceleration,operating_cash_flow_acceleration,revenue_yoy_growth,operating_income_yoy_growth,operating_cash_flow_yoy_growth,negative_dilution,decision_at,company_name_as_filed,sector,tradable_member,cap_decision,market_cap,eligible_week
2023-07-01 00:00:00+00:00,0000002178,2178,371563000.0,2023-03-31,2023-05-10 00:00:00+00:00,2212000.0,2020-03-31,2020-05-08 00:00:00+00:00,8351000.0,-0.7351215423302598,50982000.0,2023-03-31,2023-05-10 00:00:00+00:00,2517000.0,2023-03-31,2023-05-10 00:00:00+00:00,4359000.0,-0.4225739848589126,91155000.0,2023-03-31,2023-05-10 00:00:00+00:00,280408000.0,2023-03-31,2023-05-10 00:00:00+00:00,-1999000.0,2023-03-31,2023-05-10 00:00:00+00:00,6090000.0,-1.3282430213464695,23707000.0,2023-03-31,2023-05-10 00:00:00+00:00,5873000.0,3.036608207049208,-2630000.0,2023-03-31,2023-05-10 00:00:00+00:00,8148000.0,-1.3227785959744722,650162000.0,2023-03-31,2023-05-10 00:00:00+00:00,774245000.0,-0.1602632241732268,2534685.0,2023-05-01,2023-05-10 00:00:00+00:00,283000.0,2023-03-31,2023-05-10 00:00:00+00:00,195000.0,0.4512820512820512,-0.0040451456713865,-0.0030746183258941,0.0364632199359544,0.0034022289829304,0.0004352761311796,0.033060990953024,0.7546714823596536,0.137209571458945,0.2453285176403463,0.0067283340913923,2500000.0,2023-03-31,2023-05-10 00:00:00+00:00,,,,,,,,,,,,,,,,0.0395378382618485,-0.0075543454495553,0.0295773093789261,0.028768581869203,0.0027805101746875,0.0067283340913923,2023-05-10 00:00:00+00:00,2023-03-31|2023-03-31|2023-03-31|2023-03-31,-0.6613711457686339,-1.6235174051878578,3.7812714825589686,-0.1602632241732268,-1.3227785959744722,3.036608207049208,0.4225739848589126,2023-04-01 00:00:00+00:00,"ADAMS RESOURCES & ENERGY, INC.",energy,True,2023-04-01 00:00:00+00:00,97382059.82,2023-05-12
2023-10-01 00:00:00+00:00,0000002178,2178,343482000.0,2023-06-30,2023-08-10 00:00:00+00:00,2212000.0,2020-03-31,2020-05-08 00:00:00+00:00,8351000.0,-0.7351215423302598,17758000.0,2023-06-30,2023-08-10 00:00:00+00:00,2535000.0,2023-06-30,2023-08-10 00:00:00+00:00,4371000.0,-0.4200411805078929,91721000.0,2023-06-30,2023-08-10 00:00:00+00:00,251761000.0,2023-06-30,2023-08-10 00:00:00+00:00,827000.0,2023-06-30,2023-08-10 00:00:00+00:00,2476000.0,-0.6659935379644588,23707000.0,2023-03-31,2023-05-10 00:00:00+00:00,5873000.0,3.036608207049208,1780000.0,2023-06-30,2023-08-10 00:00:00+00:00,2960000.0,-0.3986486486486487,624766000.0,2023-06-30,2023-08-10 00:00:00+00:00,992050000.0,-0.3702273070913764,2534685.0,2023-08-01,2023-08-10 00:00:00+00:00,283000.0,2023-03-31,2023-05-10 00:00:00+00:00,195000.0,0.4512820512820512,0.0028490666905689,0.0013236955916295,0.037945406760291,0.0035405255727744,0.0004529695918151,0.0344048811875166,0.7329670841557927,0.0516999435196021,0.2670329158442072,0.0072784017794236,2500000.0,2023-06-30,2023-08-10 00:00:00+00:00,,,,,,,,,,,,,,,,0.0366217111686615,0.0068942123619554,0.0014821868243366,0.0013438902344925,0.0217043982038609,0.0005500676880313,2023-08-10 00:00:00+00:00,2023-06-30|2023-06-30|2023-03-31|2023-06-30,-0.2099640829181496,0.9241299473258235,0.0,-0.3702273070913764,-0.3986486486486487,3.036608207049208,0.4200411805078929,2023-07-01 00:00:00+00:00,"ADAMS RESOURCES & ENERGY, INC.",energy,True,2023-07-01 00:00:00+00:00,89094177.75,2023-08-11
2024-01-01 00:00:00+00:00,0000002178,2178,410595000.0,2023-09-30,2023-11-09 00:00:00+00:00,2212000.0,2020-03-31,2020-05-08 00:00:00+00:00,8351000.0,-0.7351215423302598,24888000.0,2023-09-30,2023-11-09 00:00:00+00:00,2541000.0,2023-09-30,2023-11-09 00:00:00+00:00,4387000.0,-0.4207886938682471,94061000.0,2023-09-30,2023-11-09 00:00:00+00:00,316534000.0,2023-09-30,2023-11-09 00:00:00+00:00,2258000.0,2023-09-30,2023-11-09 00:00:00+00:00,2190000.0,0.0310502283105023,23707000.0,2023-03-31,2023-05-10 00:00:00+00:00,5873000.0,3.036608207049208,3925000.0,2023-09-30,2023-11-09 00:00:00+00:00,2993000.0,0.3113932509188106,760614000.0,2023-09-30,2023-11-09 00:00:00+00:00,852901000.0,-0.1082036484890978,2546441.0,2023-11-01,2023-11-09 00:00:00+00:00,283000.0,2023-03-31,2023-05-10 00:00:00+00:00,195000.0,0.4512820512820512,0.0051603047012019,0.0029686542714175,0.0311682403952596,0.0029081768150467,0.0003720678294115,0.0282600635802128,0.7709153789013505,0.0606144741168304,0.2290846210986495,0.0060887248992316,2500000.0,2023-09-30,2023-11-09 00:00:00+00:00,,,,,,,,,,,,,,,,0.028199586123842,0.0023112380106329,-0.0067771663650314,-0.0061448176073037,-0.0379482947455577,-0.001189676880192,2023-11-09 00:00:00+00:00,2023-09-30|2023-09-30|2023-03-31|2023-09-30,0.2620236586022786,0.7100418995674593,0.0,-0.1082036484890978,0.3113932509188106,3.036608207049208,0.4207886938682471,2023-10-01 00:00:00+00:00,"ADAMS RESOURCES & ENERGY, INC.",energy,True,2023-10-01 00:00:00+00:00,85393537.64999999,2023-11-10
2024-07-01 00:00:00+00:00,0000002178,2178,390831000.0,2024-03-31,2024-05-09 00:00:00+00:00,2212000.0,2020-03-31,2020-05-08 00:00:00+00:00,8351000.0,-0.7351215423302598,48267000.0,2024-03-31,2024-05-09 00:00:00+00:00,2554000.0,2024-03-31,2024-05-09 00:00:00+00:00,2517000.0,0.0147000397298371,91654000.0,2024-03-31,2024-05-09 00:00:00+00:00,299177000.0,2024-03-31,2024-05-09 00:00:00+00:00,-498000.0,2024-03-31,2024-05-09 00:00:00+00:00,-1999000.0,-0.7508754377188595,13063000.0,2024-03-31,2024-05-09 00:00:00+00:00,23707000.0,-0.4489813135360864,-361000.0,2024-03-31,2024-05-09 00:00:00+00:00,-2630000.0,-0.8627376425855513,661050000.0,2024-03-31,2024-05-09 00:00:00+00:00,650162000.0,0.0167465954638996,2567104.0,2024-05-01,2024-05-09 00:00:00+00:00,307000.0,2024-03-31,2024-05-09 00:00:00+00:00,283000.0,0.0848056537102472,-0.0005461009000832,-0.0007533469480372,0.0197609863096588,0.0033461916647757,0.000464412676802,0.0164147946448831,0.7654894314934076,0.1234983918880539,0.2345105685065923,0.0063966266749566,2500000.0,2024-03-31,2024-05-09 00:00:00+00:00,,,,,,,,,,,,,,,,0.020514333257696,-0.0057064056012851,-0.0114072540856007,-0.0118452689353296,-0.0220830540143993,-0.0005221797479096,2024-05-09 00:00:00+00:00,2024-03-31|2024-03-31|2024-03-31|2024-03-31,0.1249502439529974,-1.174130893504362,-3.4855895205852945,0.0167465954638996,-0.8627376425855513,-0.4489813135360864,-0.0147000397298371,2024-04-01 00:00:00+00:00,"ADAMS RESOURCES & ENERGY, INC.",energy,True,2024-04-01 00:00:00+00:00,74432821.0,2024-05-10
2024-10-01 00:00:00+00:00,0000002178,2178,366709000.0,2024-06-30,2024-08-08 00:00:00+00:00,2212000.0,2020-03-31,2020-05-08 00:00:00+00:00,8351000.0,-0.7351215423302598,49636000.0,2024-06-30,2024-08-08 00:00:00+00:00,2567000.0,2024-06-30,2024-08-08 00:00:00+00:00,2535000.0,0.0126232741617358,89230000.0,2024-06-30,2024-08-08 00:00:00+00:00,277479000.0,2024-06-30,2024-08-08 00:00:00+00:00,-2229000.0,2024-06-30,2024-08-08 00:00:00+00:00,827000.0,-3.6952841596130592,13063000.0,2024-03-31,2024-05-09 00:00:00+00:00,23707000.0,-0.4489813135360864,-2435000.0,2024-06-30,2024-08-08 00:00:00+00:00,1780000.0,-2.367977528089888,718493000.0,2024-06-30,2024-08-08 00:00:00+00:00,624766000.0,0.1500193672510987,2567700.0,2024-08-01,2024-08-08 00:00:00+00:00,307000.0,2024-03-31,2024-05-09 00:00:00+00:00,283000.0,0.0848056537102472,-0.003389037889026,-0.0031023266754164,0.0181811096280687,0.0030786660412836,0.0004272832163987,0.0151024435867851,0.7566735476904031,0.1353552817083845,0.2433264523095969,0.0068173947189733,2500000.0,2024-06-30,2024-08-08 00:00:00+00:00,,,,,,,,,,,,,,,,0.0212834363034852,-0.0028429369889428,-0.0015798766815901,-0.001312351058098,0.0088158838030046,0.0004207680440166,2024-08-08 00:00:00+00:00,2024-06-30|2024-06-30|2024-03-31|2024-06-30,0.13327277178719912,-1.5052398855043367,0.0,0.1500193672510987,-2.367977528089888,-0.4489813135360864,-0.0126232741617358,2024-07-01 00:00:00+00:00,"ADAMS RESOURCES & ENERGY, INC.",energy,True,2024-07-01 00:00:00+00:00,71878912.0,2024-08-09
2025-01-01 00:00:00+00:00,0000002178,2178,332994000.0,2024-09-30,2024-11-13 00:00:00+00:00,2212000.0,2020-03-31,2020-05-08 00:00:00+00:00,8351000.0,-0.7351215423302598,35537000.0,2024-09-30,2024-11-13 00:00:00+00:00,2573000.0,2024-09-30,2024-11-13 00:00:00+00:00,2541000.0,0.0125934671389216,84780000.0,2024-09-30,2024-11-13 00:00:00+00:00,248214000.0,2024-09-30,2024-11-13 00:00:00+00:00,-4540000.0,2024-09-30,2024-11-13 00:00:00+00:00,2258000.0,-3.0106288751107173,13063000.0,2024-03-31,2024-05-09 00:00:00+00:00,23707000.0,-0.4489813135360864,-5562000.0,2024-09-30,2024-11-13 00:00:00+00:00,3925000.0,-2.4170700636942675,695163000.0,2024-09-30,2024-11-13 00:00:00+00:00,760614000.0,-0.0860502173244247,2577872.0,2024-11-01,2024-11-13 00:00:00+00:00,307000.0,2024-03-31,2024-05-09 00:00:00+00:00,283000.0,0.0848056537102472,-0.0080010012040341,-0.0065308424067448,0.0187912762905965,0.0031819875338589,0.0004416230438041,0.0156092887567376,0.7454008180327574,0.1067196405941248,0.2545991819672426,0.0075076427803503,2500000.0,2024-09-30,2024-11-13 00:00:00+00:00,,,,,,,,,,,,,,,,0.0253221186973414,-0.0046119633150081,0.0006101666625278,0.0005068451699525,0.0112727296576456,0.000690248061377,2024-11-13 00:00:00+00:00,2024-09-30|2024-09-30|2024-03-31|2024-09-30,-0.2360695845755234,-0.04909253560437943,0.0,-0.0860502173244247,-2.4170700636942675,-0.4489813135360864,-0.0125934671389216,2024-10-01 00:00:00+00:00,"ADAMS RESOURCES & ENERGY, INC.",energy,True,2024-10-01 00:00:00+00:00,69327900.0,2024-11-15
2023-07-01 00:00:00+00:00,0000002488,2488,67634000000.0,2023-04-01,2023-05-04 00:00:00+00:00,158000000.0,2023-04-01,2023-05-04 00:00:00+00:00,71000000.0,1.2253521126760565,3825000000.0,2023-04-01,2023-05-04 00:00:00+00:00,1611000000.0,2023-04-01,2023-05-04 00:00:00+00:00,1393000000.0,0.1564967695620962,54694000000.0,2023-04-01,2023-05-04 00:00:00+00:00,,,,-139000000.0,2023-04-01,2023-05-04 00:00:00+00:00,786000000.0,-1.1768447837150129,486000000.0,2023-04-01,2023-05-04 00:00:00+00:00,995000000.0,-0.5115577889447236,-145000000.0,2023-04-01,2023-05-04 00:00:00+00:00,951000000.0,-1.152471083070452,5353000000.0,2023-04-01,2023-05-04 00:00:00+00:00,5887000000.0,-0.0907083404110752,1610361870.0,2023-04-28,2023-05-04 00:00:00+00:00,309000000.0,2023-04-01,2023-05-04 00:00:00+00:00,199000000.0,0.5527638190954773,-0.0270876144218195,-0.025966747618158,0.0907902110965813,0.0295161591630861,0.0577246403885671,0.0612740519334952,,0.0565543957181299,0.8086761096489931,0.0364757370553272,0.0,2022-12-31,2023-02-28 00:00:00+00:00,2467000000.0,2023-04-01,2023-05-04 00:00:00+00:00,2359000000.0,2023-04-01,2023-05-04 00:00:00+00:00,2818000000.0,-0.1628814762242725,241000000.0,2023-04-01,2023-05-04 00:00:00+00:00,0.4406874649729124,0.0450214832804035,1914000000.0,-0.874085684430512,0.1167569587147394,-0.0155871651855212,-0.0880058356239936,-0.1047636839155613,-0.0014748225794769,-2.9146046182121355e-05,2023-05-04 00:00:00+00:00,2023-04-01|2023-04-01|2023-04-01|2023-04-01,-0.3809935247375301,-0.08496053454724528,-0.6195756063166613,-0.0907083404110752,-1.152471083070452,-0.5115577889447236,-0.1564967695620962,2023-04-01 00:00:00+00:00,ADVANCED MICRO DEVICES INC,technology,True,2023-04-01 00:00:00+00:00,157932162590.46664,2023-05-05
2023-10-01 00:00:00+00:00,0000002488,2488,67967000000.0,2023-07-01,2023-08-03 00:00:00+00:00,158000000.0,2023-04-01,2023-05-04 00:00:00+00:00,71000000.0,1.2253521126760565,3841000000.0,2023-07-01,2023-08-03 00:00:00+00:00,1612000000.0,2023-07-01,2023-08-03 00:00:00+00:00,1618000000.0,-0.003708281829419,55136000000.0,2023-07-01,2023-08-03 00:00:00+00:00,,,,27000000.0,2023-07-01,2023-08-03 00:00:00+00:00,447000000.0,-0.9395973154362416,486000000.0,2023-04-01,2023-05-04 00:00:00+00:00,995000000.0,-0.5115577889447236,-20000000.0,2023-07-01,2023-08-03 00:00:00+00:00,526000000.0,-1.038022813688213,5359000000.0,2023-07-01,2023-08-03 00:00:00+00:00,6550000000.0,-0.1818320610687023,1615671380.0,2023-07-28,2023-08-03 00:00:00+00:00,309000000.0,2023-04-01,2023-05-04 00:00:00+00:00,199000000.0,0.5527638190954773,-0.0037320395596193,0.005038253405486,0.0906885612987497,0.0294831125209927,0.0576600111961186,0.061205448777757,,0.0565127194079479,0.8112172083511116,0.0362528874306648,750000000.0,2023-07-01,2023-08-03 00:00:00+00:00,1714000000.0,2023-07-01,2023-08-03 00:00:00+00:00,2443000000.0,2023-07-01,2023-08-03 00:00:00+00:00,3028000000.0,-0.1931968295904887,241000000.0,2023-04-01,2023-05-04 00:00:00+00:00,0.4558686322075014,0.0449710766934129,1914000000.0,-0.874085684430512,0.0856503078932636,0.0233555748622002,-0.0001016497978315,-6.860315573819359e-05,0.0025410987021184,-0.0002228496246623,2023-08-03 00:00:00+00:00,2023-07-01|2023-07-01|2023-04-01|2023-07-01,-0.09112372065762711,0.11444826938223907,0.0,-0.1818320610687023,-1.038022813688213,-0.5115577889447236,0.003708281829419,2023-07-01 00:00:00+00:00,ADVANCED MICRO DEVICES INC,technology,True,2023-07-01 00:00:00+00:00,183436326509.0213,2023-08-04
2024-01-01 00:00:00+00:00,0000002488,2488,67626000000.0,2023-09-30,2023-11-02 00:00:00+00:00,158000000.0,2023-04-01,2023-05-04 00:00:00+00:00,71000000.0,1.2253521126760565,3561000000.0,2023-09-30,2023-11-02 00:00:00+00:00,1616000000.0,2023-09-30,2023-11-02 00:00:00+00:00,1615000000.0,0.0006191950464395,54970000000.0,2023-09-30,2023-11-02 00:00:00+00:00,,,,299000000.0,2023-09-30,2023-11-02 00:00:00+00:00,66000000.0,3.5303030303030303,486000000.0,2023-04-01,2023-05-04 00:00:00+00:00,995000000.0,-0.5115577889447236,224000000.0,2023-09-30,2023-11-02 00:00:00+00:00,-64000000.0,-4.5,5800000000.0,2023-09-30,2023-11-02 00:00:00+00:00,5565000000.0,0.0422282120395327,1615498891.0,2023-10-27,2023-11-02 00:00:00+00:00,309000000.0,2023-04-01,2023-05-04 00:00:00+00:00,199000000.0,0.5527638190954773,0.0386206896551724,0.051551724137931,0.0837931034482758,0.0272413793103448,0.0532758620689655,0.056551724137931,,0.0526572619998225,0.8128530446869547,0.0364504776269482,750000000.0,2023-09-30,2023-11-02 00:00:00+00:00,1715000000.0,2023-09-30,2023-11-02 00:00:00+00:00,2747000000.0,2023-09-30,2023-11-02 00:00:00+00:00,2354000000.0,0.1669498725573492,241000000.0,2023-04-01,2023-05-04 00:00:00+00:00,0.4736206896551724,0.041551724137931,1914000000.0,-0.874085684430512,0.0322413793103448,0.0423527292147917,-0.0068954578504738,-0.004653724639826,0.0016358363358431,0.0001975901962833,2023-11-02 00:00:00+00:00,2023-09-30|2023-09-30|2023-04-01|2023-09-30,0.224060273108235,-3.461977186311787,0.0,0.0422282120395327,-4.5,-0.5115577889447236,-0.0006191950464395,2023-10-01 00:00:00+00:00,ADVANCED MICRO DEVICES INC,technology,True,2023-10-01 00:00:00+00:00,166123330798.53622,2023-11-03
2024-07-01 00:00:00+00:00,0000002488,2488,67895000000.0,2024-03-30,2024-05-02 00:00:00+00:00,142000000.0,2024-03-30,2024-05-02 00:00:00+00:00,158000000.0,-0.1012658227848101,4190000000.0,2024-03-30,2024-05-02 00:00:00+00:00,1617000000.0,2024-03-30,2024-05-02 00:00:00+00:00,1611000000.0,0.0037243947858474,56198000000.0,2024-03-30,2024-05-02 00:00:00+00:00,,,,123000000.0,2024-03-30,2024-05-02 00:00:00+00:00,-139000000.0,-1.8848920863309355,521000000.0,2024-03-30,2024-05-02 00:00:00+00:00,486000000.0,0.0720164609053497,36000000.0,2024-03-30,2024-05-02 00:00:00+00:00,-145000000.0,-1.2482758620689656,5473000000.0,2024-03-30,2024-05-02 00:00:00+00:00,5353000000.0,0.02241733607323,1616313871.0,2024-04-25,2024-05-02 00:00:00+00:00,371000000.0,2024-03-30,2024-05-02 00:00:00+00:00,309000000.0,0.2006472491909385,0.0065777452950849,0.0224739630915402,0.0951945916316462,0.0259455508861684,0.0677873195687922,0.0692490407454778,,0.0617129390971352,0.8277192724059209,0.0363502467044701,750000000.0,2024-03-30,2024-05-02 00:00:00+00:00,1718000000.0,2024-03-30,2024-05-02 00:00:00+00:00,2560000000.0,2024-03-30,2024-05-02 00:00:00+00:00,2359000000.0,0.0852055955913522,4000000.0,2024-03-30,2024-05-02 00:00:00+00:00,0.4677507765393751,0.0007308605883427,241000000.0,-0.983402489626556,0.0727206285401059,-0.0320429443600874,0.0114014881833703,0.0126973166075467,0.0043856935593421,-5.3546802245632574e-06,2024-05-02 00:00:00+00:00,2024-03-30|2024-03-30|2024-03-30|2024-03-30,-0.019810875966302696,3.2517241379310344,0.5835742498500733,0.02241733607323,-1.2482758620689656,0.0720164609053497,-0.0037243947858474,2024-04-01 00:00:00+00:00,ADVANCED MICRO DEVICES INC,technology,True,2024-04-01 00:00:00+00:00,291633375807.87225,2024-05-03
