Date,leader_weight,valuation_weight,gross_return,turnover,cost,net_return,wealth,drawdown
2023-01-06,0.8,0.2,0.031904825288730086,0.2,0.001,0.030904825288730085,1.03090482528873,0.0
2023-01-13,0.8,0.2,0.0042791762226668,0.0,0.0,0.0042791762226668,1.035316248704938,0.0
2023-01-20,0.8,0.2,0.02047228433157872,0.0,0.0,0.02047228433157872,1.056511537321529,0.0
2023-01-27,0.8,0.2,0.01605220683448056,0.0,0.0,0.01605220683448056,1.0734708790416292,0.0
2023-02-03,0.8,0.2,-0.00790038087391408,0.0,0.0,-0.00790038087391408,1.064990050240145,-0.007900380873913981
2023-02-10,0.8,0.2,-0.0024299777805180003,0.0,0.0,-0.0024299777805180003,1.0624021480815886,-0.010311160904450833
2023-02-17,0.8,0.2,-0.01955961643536088,0.0,0.0,-0.01955961643536088,1.0416219695650093,-0.029669094987517353
2023-02-24,0.8,0.2,0.02177115446118552,0.0,0.0,0.02177115446118552,1.0642992823545734,-0.008543870976028711
2023-03-03,0.8,0.2,-0.029340981715539685,0.0,0.0,-0.029340981715539685,1.033071696571146,-0.037634167129480756
2023-03-10,0.8,0.2,0.01647675294735576,0.0,0.0,0.01647675294735576,1.0500933636924543,-0.021777503056297
2023-03-17,0.8,0.2,0.016928632378867683,0.0,0.0,0.016928632378867683,1.0678700082098926,-0.005217534020798831
2023-03-24,0.8,0.2,0.031877594163342564,0.0,0.0,0.031877594163342564,1.1019111349508128,0.0
2023-03-31,0.8,0.2,-0.013128997785282401,0.0,0.0,-0.013128997785282401,1.0874441461004656,-0.013128997785282426
2023-04-07,0.8,0.2,0.0018061781902563201,0.0,0.0,0.0018061781902563201,1.0894082640002742,-0.011346532904485729
2023-04-14,0.8,0.2,-0.0048077726873608,0.0,0.0,-0.0048077726873608,1.0841706367032287,-0.016099754040851955
2023-04-21,0.8,0.2,0.00804864290301464,0.0,0.0,0.00804864290301464,1.092896739003987,-0.008180692308938586
2023-04-28,0.8,0.2,0.0010137250721866402,0.0,0.0,0.0010137250721866402,1.0940046358296265,-0.0071752602096532
2023-05-05,0.8,0.2,-0.0031858452332253605,0.0,0.0,-0.0031858452332253605,1.0905193063754421,-0.010338246174342536
2023-05-12,0.8,0.2,0.03322994925921669,0.0,0.0,0.03322994925921669,1.1267572075924943,0.0
2023-05-19,0.8,0.2,0.025179876274488932,0.0,0.0,0.025179876274488932,1.155128814671062,0.0
2023-05-26,0.8,0.2,0.017142346290521443,0.0,0.0,0.017142346290521443,1.174930432822313,0.0
2023-06-02,0.8,0.2,0.003645650704091466,0.0,0.0,0.003645650704091466,1.17921381878199,0.0
2023-06-09,0.8,0.2,0.030441289008913443,0.0,0.0,0.030441289008913443,1.215110607442837,0.0
2023-06-16,0.8,0.2,-0.02542324067186269,0.0,0.0,-0.02542324067186269,1.1842185580268847,-0.025423240671862524
2023-06-23,0.8,0.2,0.03487187015081253,0.0,0.0,0.03487187015081253,1.2255144738125807,0.0
2023-06-30,0.8,0.2,-0.013244333119183837,0.0,0.0,-0.013244333119183837,1.2092833518790256,-0.013244333119183826
2023-07-07,0.8,0.2,0.03068590204329954,0.0,0.0,0.03068590204329954,1.2463913023573783,0.0
2023-07-14,0.8,0.2,-0.009519607934173602,0.0,0.0,-0.009519607934173602,1.234526145826372,-0.009519607934173502
2023-07-21,0.8,0.2,0.02288162882005358,0.0,0.0,0.02288162882005358,1.2627741148638223,0.0
2023-07-28,0.8,0.2,-0.024541615373564765,0.0,0.0,-0.024541615373564765,1.2317835982331407,-0.024541615373564807
2023-08-04,0.8,0.2,-0.01699385532844609,0.0,0.0,-0.01699385532844609,1.2108508459688139,-0.04111841404082617
2023-08-11,0.8,0.2,-0.027996492879515354,0.0,0.0,-0.027996492879515354,1.176951268881493,-0.06796373553443047
2023-08-18,0.8,0.2,0.014457093155558497,0.0,0.0,0.014457093155558497,1.1939665630152656,-0.05448920043469285
2023-08-25,0.8,0.2,0.04257151877484429,0.0,0.0,0.04257151877484429,1.2447955329692064,-0.014237369679180212
2023-09-01,0.8,0.2,-0.015415425759035421,0.0,0.0,-0.015415425759035421,1.2256064798455406,-0.02943332032292245
2023-09-08,0.8,0.2,-0.01228214380780152,0.0,0.0,-0.01228214380780152,1.2105534048083042,-0.04135395985777679
2023-09-15,0.8,0.2,-0.021266450480936692,0.0,0.0,-0.021266450480936692,1.1848092307704192,-0.061740958399207346
2023-09-22,0.8,0.2,0.008845286527925723,0.0,0.0,0.008845286527925723,1.195289207897515,-0.053441788338831175
2023-09-29,0.8,0.2,0.002050956584655879,0.0,0.0,0.002050956584655879,1.1977406941690205,-0.05150043854186459
2023-10-06,0.8,0.2,0.0061137709877891605,0.0,0.0,0.0061137709877891605,1.2050634064759256,-0.04570152944109107
2023-10-13,0.8,0.2,-0.01944958307452113,0.0,0.0,-0.01944958307452113,1.1816254256416066,-0.06426223682211507
2023-10-20,0.8,0.2,-0.019945085753505936,0.0,0.0,-0.019945085753505936,1.1580578051986616,-0.08292560675149196
2023-10-27,0.8,0.2,0.05755697366758035,0.0,0.0,0.05755697366758035,1.2247121077980168,-0.030141580048075434
2023-11-03,0.8,0.2,0.02325049324270611,0.0,0.0,0.02325049324270611,1.2531872683846348,-0.007591893408601669
2023-11-10,0.8,0.2,0.021524534317070444,0.0,0.0,0.021524534317070444,1.2801615407486957,0.0
2023-11-17,0.8,0.2,0.008912621197924984,0.0,0.0,0.008912621197924984,1.2915711356335406,0.0
2023-11-24,0.8,0.2,0.010842582378213731,0.0,0.0,0.010842582378213731,1.3055751020689703,0.0
2023-12-01,0.8,0.2,0.0033367656883700114,0.0,0.0,0.0033367656883700114,1.3099315002731442,0.0
2023-12-08,0.8,0.2,0.034878682295015555,0.0,0.0,0.034878682295015555,1.3556201848994043,0.0
2023-12-15,0.8,0.2,0.013673751328943112,0.0,0.0,0.013673751328943112,1.3741565982042145,0.0
2023-12-22,0.8,0.2,-0.0013167402260613982,0.0,0.0,-0.0013167402260613982,1.3723471909344513,-0.0013167402260614303
2023-12-29,0.8,0.2,-0.04238822347284164,0.0,0.0,-0.04238822347284164,1.3141758315227954,-0.04364914941994502
2024-01-05,0.8,0.2,0.023463209265458432,0.0,0.0,0.023463209265458432,1.3450106140694227,-0.021210089281585964
2024-01-12,0.8,0.2,0.025997006084214465,0.0,0.0,0.025997006084214465,1.3799768631867186,0.0
2024-01-19,0.8,0.2,0.008786730318293738,0.0,0.0,0.008786730318293738,1.3921023477290253,0.0
2024-01-26,0.8,0.2,-0.0009365717438270915,0.0,0.0,-0.0009365717438270915,1.390798544005627,-0.0009365717438271082
2024-02-02,0.8,0.2,0.022028153666616763,0.0,0.0,0.022028153666616763,1.4214352680522897,0.0
2024-02-09,0.8,0.2,-0.011380078696058182,0.0,0.0,-0.011380078696058182,1.405259222840502,-0.011380078696058171
2024-02-16,0.8,0.2,0.0032425942747578776,0.0,0.0,0.0032425942747578776,1.4098159083510353,-0.008174385399326467
2024-02-23,0.8,0.2,0.02546102352411368,0.0,0.0,0.02546102352411368,1.4457112643582308,0.0
2024-03-01,0.8,0.2,-0.005186737413519605,0.0,0.0,-0.005186737413519605,1.4382127396542372,-0.005186737413519604
2024-03-08,0.8,0.2,-0.01480303103378175,0.0,0.0,-0.01480303103378175,1.4169228318359552,-0.019912989012405014
