decision_at,event_time,cik10,company_name_as_filed,sector,market_cap,score
2023-05-12,2023-04-29 00:00:00+00:00,0001056696,MANHATTAN ASSOCIATES INC,technology,9677501490.795135,0.5749990959593664
2023-05-12,2023-05-05 00:00:00+00:00,0000821189,EOG RESOURCES INC,energy,67370757175.62885,0.5441020852785559
2023-05-12,2023-04-26 00:00:00+00:00,0000789019,MICROSOFT CORP,technology,2146048467697.1577,0.46500406576051895
2023-05-12,2023-05-10 00:00:00+00:00,0001031308,BENTLEY SYSTEMS INC,technology,13331891831.479584,0.4502446747577944
2023-05-12,2023-05-10 00:00:00+00:00,0001086600,ALLIANCE RESOURCE PARTNERS LP,energy,2565596780.204487,0.44583509856314624
2023-05-12,2023-04-26 00:00:00+00:00,0000009092,BADGER METER INC,technology,3568467403.7005005,0.40657197819502355
2023-05-12,2023-04-27 00:00:00+00:00,0001123494,HARVARD BIOSCIENCE INC,technology,1771981806.0,0.39908490200054914
2023-05-12,2023-05-05 00:00:00+00:00,0001701732,ALTAIR ENGINEERING INC.,technology,5711616770.0,0.3647402962821401
2023-05-12,2023-05-11 00:00:00+00:00,0000065770,"MICROVISION, INC.",technology,7041535476.7110405,0.3536317285742788
2023-05-12,2023-05-04 00:00:00+00:00,0001691303,"WARRIOR MET COAL, INC.",energy,1906110829.842636,0.3391791401621964
2023-05-12,2023-05-05 00:00:00+00:00,0001493761,TURTLE BEACH CORP,technology,166161246.75107574,0.3256697999235006
2023-05-12,2023-05-03 00:00:00+00:00,0001037868,AMETEK INC/,technology,33439533828.61435,0.32158130424466613
2023-05-12,2023-05-10 00:00:00+00:00,0000896429,"CANTALOUPE, INC.",technology,413038923.3,0.3125987771229643
2023-05-12,2023-05-04 00:00:00+00:00,0000751978,VICOR CORP,technology,551930736.7725447,0.29810917695725353
2023-05-12,2023-04-27 00:00:00+00:00,0001092699,SPS COMMERCE INC,technology,5530353958.216156,0.27603935748391983
2023-05-12,2023-05-09 00:00:00+00:00,0001262039,"FORTINET, INC.",technology,52109044849.10587,0.2759803217588974
2023-05-12,2023-04-28 00:00:00+00:00,0001014473,VERISIGN INC/CA,technology,22164144140.349747,0.27595851233349444
2023-05-12,2023-05-06 00:00:00+00:00,0001786842,VONTIER CORP,technology,4244369015.208344,0.26586575920078703
2023-05-12,2023-04-26 23:59:59+00:00,0000798354,FISERV INC,technology,64182287447.52481,0.2657897685631954
