candidate,sleeve,family,holding_weeks,price_confirmation,breadth,market_cap_floor,sector_cap,allocation,cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown,sleeve_recent_cagr,sleeve_full_cagr,beats_control_both
balanced_filing_momentum__hold13__positive_8w__top20__floor50m__sector60__w0.10__50bps,balanced_filing_momentum__hold13__positive_8w__top20__floor50m__sector60,balanced_filing_momentum,13,positive_8w,20,50000000,0.6,0.1,50,1.0256665610984115,2.774975480424484,-0.11041182518637538,0.3916691682017466,1.607231332546846,-0.22170110128462073,0.7373909711922664,0.21485586014475722,False
quality_momentum__hold13__none__top10__floor250m__sector60__w0.20__50bps,quality_momentum__hold13__none__top10__floor250m__sector60,quality_momentum,13,none,10,250000000,0.6,0.2,50,1.0252533166161295,2.90959748101899,-0.08808409188067567,0.3548716546131021,1.4740093058423653,-0.23013052894520136,0.8886398615741649,0.13312856372491577,False
balanced_filing_momentum__hold4__positive_8w__top30__floor100m__sector60__w0.10__50bps,balanced_filing_momentum__hold4__positive_8w__top30__floor100m__sector60,balanced_filing_momentum,4,positive_8w,30,100000000,0.6,0.1,50,1.0252432084869905,2.7877682649865863,-0.10356224993539809,0.3866150978053575,1.597167595833625,-0.22209646585476783,0.7436240468083484,0.17684684276424845,False
quality_momentum__hold4__positive_8w__top30__floor100m__sector70__w0.10__50bps,quality_momentum__hold4__positive_8w__top30__floor100m__sector70,quality_momentum,4,positive_8w,30,100000000,0.7,0.1,50,1.024752601907852,2.7597268818836156,-0.10444861100753589,0.3887757962165439,1.5942235463570544,-0.2235890753654297,0.7448082144197647,0.19655675422456653,False
quality_momentum__hold8__none__top20__floor50m__sector60__w0.10__50bps,quality_momentum__hold8__none__top20__floor50m__sector60,quality_momentum,8,none,20,50000000,0.6,0.1,50,1.0247135704920423,2.793810114152855,-0.09866362582166377,0.3836014374592813,1.5833405494897832,-0.21870146755792608,0.7457670089817401,0.14973633305698542,False
quality_momentum__hold13__positive_4w__top10__floor100m__sector70__w0.10__50bps,quality_momentum__hold13__positive_4w__top10__floor100m__sector70,quality_momentum,13,positive_4w,10,100000000,0.7,0.1,50,1.0246271734831884,2.754862288087554,-0.0960836503217527,0.38049497946432687,1.5536948032864621,-0.22672558993940806,0.7560540914745015,0.1184526822826546,False
fundamental_acceleration__hold13__positive_4w__top20__floor50m__sector60__w0.10__50bps,fundamental_acceleration__hold13__positive_4w__top20__floor50m__sector60,fundamental_acceleration,13,positive_4w,20,50000000,0.6,0.1,50,1.0245759008145905,2.7913152367250893,-0.10183148592213453,0.3823566171655388,1.5819972459829321,-0.21891596562893734,0.7369109352193028,0.13868296732112317,False
balanced_filing_momentum__hold13__positive_8w__top20__floor100m__sector60__w0.10__50bps,balanced_filing_momentum__hold13__positive_8w__top20__floor100m__sector60,balanced_filing_momentum,13,positive_8w,20,100000000,0.6,0.1,50,1.0245023451811957,2.7722459490387994,-0.10943672738167065,0.39176354812121117,1.6064242930311292,-0.2225617039468173,0.7308528174919893,0.21725407481782932,False
fundamental_acceleration__hold4__positive_8w__top30__floor50m__sector60__w0.20__50bps,fundamental_acceleration__hold4__positive_8w__top30__floor50m__sector60,fundamental_acceleration,4,positive_8w,30,50000000,0.6,0.2,50,1.0244022958851584,2.9898204274580915,-0.10292343626642553,0.3830088635683562,1.627833398415431,-0.22563347736223394,0.8507745813470164,0.2606558924318958,False
quality_momentum__hold8__positive_4w__top30__floor250m__sector60__w0.10__50bps,quality_momentum__hold8__positive_4w__top30__floor250m__sector60,quality_momentum,8,positive_4w,30,250000000,0.6,0.1,50,1.0235218846127614,2.7641108187590056,-0.10607149981168906,0.38702932521215994,1.5913089857209903,-0.2232036280455495,0.749088849508069,0.18387708238471223,False
