factor,market_state,n_weeks,weekly_mean,ann_return,ann_vol,sharpe,max_drawdown,cvar_5
pca_full_diag_f1,calm_trend,295,0.0021592321556763152,0.11324950935356237,0.09863113406360192,1.1482125844820343,-0.08680442556124512,-0.030956121850535572
pca_full_diag_f1,neutral_mixed,492,0.0012825653192848547,0.05997202104427668,0.1294560114730765,0.46326177024810705,-0.24919657192022315,-0.04032330690061592
pca_full_diag_f1,recovery_confirmed,44,0.005882562205585019,0.3527653329096614,0.07598866499770773,4.642341498173482,-0.03132902223355616,-0.013227800993656788
pca_full_diag_f1,recovery_fragile,49,0.006990490329277212,0.4305545657282195,0.09187402960814474,4.686357696125809,-0.0303919047795006,-0.022013206106735
pca_full_diag_f1,stressed_panic,229,-0.0011682635316560676,-0.08988549857780581,0.2552662325821763,-0.3521245159164149,-0.5053103385627602,-0.09112997927132045
pca_full_diag_f2,calm_trend,295,0.0005533415663968376,0.028095224810828157,0.04600730396052999,0.6106687936970021,-0.0904066694554051,-0.012868083808508892
pca_full_diag_f2,neutral_mixed,492,0.000528437777036097,0.02621861808119741,0.05636354930735562,0.46516974894935864,-0.09810362315712862,-0.01771273167379016
pca_full_diag_f2,recovery_confirmed,44,0.0006492494990687272,0.03357506470063054,0.03814166933813262,0.8802725544857954,-0.020333279678606764,-0.010038828857708319
pca_full_diag_f2,recovery_fragile,49,0.0004706419353447672,0.02357455061453595,0.04830903372437049,0.487994662634771,-0.025115007140333656,-0.013495469199357948
pca_full_diag_f2,stressed_panic,229,0.0007849902718994008,0.03891241886681707,0.07263476211256785,0.5357272156617159,-0.12715107532183867,-0.018940982247395956
pca_full_diag_f3,calm_trend,295,7.418303917985981e-05,0.001948850036822547,0.061758730755010156,0.03155586283910874,-0.19925321687857345,-0.019987200015308307
pca_full_diag_f3,neutral_mixed,492,0.0003563305655290493,0.015753147827610947,0.07593060465979198,0.2074676989363264,-0.3604347306899369,-0.02537879272224665
pca_full_diag_f3,recovery_confirmed,44,0.0005070749287799498,0.025108728651421552,0.05594052780852347,0.4488468313592819,-0.04648780324103785,-0.013164891547667453
