source,factor,feature,mean_weight,mean_abs_weight,weight_std,sign_stability,n_refits
ipca_style_factor_pca,ipca_style_f2,l1_bab_bab_score_asset_class_neutral_tradable,-0.07202491204447936,0.07202491204447936,0.004991618131458431,1.0,33
ipca_style_factor_pca,ipca_style_f2,l1_quality_quality_score_asset_class_neutral_tradable,-0.06623641871927091,0.06623641871927091,0.00655456064425911,1.0,33
ipca_style_factor_pca,ipca_style_f3,l1_carry_carry_score_asset_class_neutral_tradable,0.05416888177794289,0.05416888177794289,0.0072780176034010595,1.0,33
ipca_style_factor_pca,ipca_style_f2,l1_carry_carry_score_tradable,-0.051775416497945176,0.051775416497945176,0.01570967459044198,1.0,33
ipca_style_factor_pca,ipca_style_f3,l1_xsmom_xsmom_asset_class_neutral_tradable,-0.05175723774451062,0.05175723774451062,0.005451020326627522,1.0,33
ipca_style_factor_pca,ipca_style_f3,l1_reversal_reversal_4w_asset_class_neutral_tradable,-0.0490081680881775,0.0490081680881775,0.006048454994976757,1.0,33
ipca_style_factor_pca,ipca_style_f2,vol_4w,0.046041298253900166,0.046041298253900166,0.0009780538444043411,1.0,33
ipca_style_factor_pca,ipca_style_f2,vol_13w,0.04322262543192615,0.04322262543192615,0.000812653312329283,1.0,33
ipca_style_factor_pca,ipca_style_f2,l1_carry_carry_yield_trailing_52w_tradable,-0.04251003109549134,0.04251003109549134,0.018254268594689576,1.0,33
ipca_style_factor_pca,ipca_style_f2,vol_26w,0.04207551665650594,0.04207551665650594,0.0008858620274520381,1.0,33
ipca_style_factor_pca,ipca_style_f3,l1_reversal_reversal_1w_asset_class_neutral_tradable,-0.03832513644125841,0.03832513644125841,0.006589849504890928,1.0,33
ipca_style_factor_pca,ipca_style_f2,l1_quality_quality_score_tradable,-0.03831422204256927,0.03831422204256927,0.0021187287789194618,1.0,33
ipca_style_factor_pca,ipca_style_f2,downside_vol_26w,0.037035561645146146,0.037035561645146146,0.0006495721252343379,1.0,33
ipca_style_factor_pca,ipca_style_f2,downside_vol_13w,0.03614868786398875,0.03614868786398875,0.0009359689228518951,1.0,33
ipca_style_factor_pca,ipca_style_f2,l1_bab_bab_score_tradable,-0.033431498236724595,0.033431498236724595,0.00138454151356828,1.0,33
ipca_style_factor_pca,ipca_style_f2,drawdown_26w,-0.03200353668880834,0.03200353668880834,0.001036733932487573,1.0,33
ipca_style_factor_pca,ipca_style_f3,l1_quality_quality_score_asset_class_neutral_tradable,-0.03195816192941878,0.03195816192941878,0.007137195650047641,1.0,33
ipca_style_factor_pca,ipca_style_f2,drawdown_52w,-0.03170388463756856,0.03170388463756856,0.0012604704824717185,1.0,33
ipca_style_factor_pca,ipca_style_f1,l1_value_value_score_asset_class_neutral_tradable,0.030788828267088366,0.030788828267088366,0.0010639984003449634,1.0,33
ipca_style_factor_pca,ipca_style_f3,l1_value_value_score_asset_class_neutral_tradable,0.03028781075853832,0.03028781075853832,0.003819101927613651,1.0,33
