factor,avg_l1_turnover_proxy,max_l1_turnover_proxy,n_weight_dates
pca_full_diag_f1,0.0,0.0,0
pca_full_diag_f2,0.0,0.0,0
pca_full_diag_f3,0.0,0.0,0
pca_full_diag_f4,0.0,0.0,0
pca_full_diag_f5,0.0,0.0,0
pca_exp_f1,0.0003753953548423427,0.05992616741231386,850
pca_exp_f2,0.0014691141823454728,0.1900681271732601,850
pca_exp_f3,0.0012384977091506194,0.16990646621687933,850
pca_exp_f4,0.0028946409959236625,0.2318513477508918,850
pca_exp_f5,0.005559945960217633,1.382917449025033,850
ipca_style_f1,0.21171511465240508,0.7303506727346804,850
ipca_style_f2,0.1441325246925623,0.43856377448701117,850
ipca_style_f3,0.425462176404554,1.0491483380431008,850
