section,item,metric,value,notes
dataset_summary,weekly_panel,date_range,2005-01-07 to 2026-04-10,1110 GGG1-aligned weekly dates; 35 ETF columns.
dataset_summary,weekly_panel,median_date_gap_days,7.0,Expected roughly weekly frequency.
dataset_summary,characteristics,rows_columns,38850 x 162,Long ETF panel: one Date/Ticker row per available ETF/date.
dataset_summary,sleeves,rows_columns,1110 x 46,Layer 2A sleeve returns plus GGG1 component/portfolio/sleeve-weight context.
etf_missingness,BIL,valid_weeks_missingness,984; 0.1135,"first_valid=2007-06-08, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,DBA,valid_weeks_missingness,1005; 0.0946,"first_valid=2007-01-12, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,EEM,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,EFA,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,EWJ,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,GLD,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,HYG,valid_weeks_missingness,991; 0.1072,"first_valid=2007-04-20, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,IAU,valid_weeks_missingness,1106; 0.0036,"first_valid=2005-02-04, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,IEF,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,IWM,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,LQD,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,MBB,valid_weeks_missingness,995; 0.1036,"first_valid=2007-03-23, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,PDBC,valid_weeks_missingness,596; 0.4631,"first_valid=2014-11-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,QQQ,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,SHY,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,SLV,valid_weeks_missingness,1041; 0.0622,"first_valid=2006-05-05, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,SPY,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,TIP,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,TLT,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,USO,valid_weeks_missingness,1043; 0.0604,"first_valid=2006-04-21, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,UUP,valid_weeks_missingness,997; 0.1018,"first_valid=2007-03-09, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,VEA,valid_weeks_missingness,976; 0.1207,"first_valid=2007-08-03, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,VNQ,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,VTV,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,VUG,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,VWO,valid_weeks_missingness,1100; 0.0090,"first_valid=2005-03-18, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,XLB,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,XLE,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,XLF,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,XLI,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
etf_missingness,XLK,valid_weeks_missingness,1109; 0.0009,"first_valid=2005-01-14, last_valid=2026-04-10, pca_universe=yes"
