factor,subperiod,n_weeks,weekly_mean,ann_return,ann_vol,sharpe,max_drawdown,cvar_5
pca_full_diag_f1,2005_2009,259,0.0006763596798282852,0.01533606200040194,0.19756695819945258,0.07762462984786914,-0.5386361379372779,-0.07004450747986639
pca_full_diag_f1,2010_2015,313,0.0013930965728762071,0.06530802826052429,0.13480627823659738,0.48445835842973656,-0.1834428981582219,-0.04521611863752627
pca_full_diag_f1,2016_2020,261,0.001771733832614164,0.08222099393169113,0.15964869899870088,0.5150119884933118,-0.322524616821096,-0.057138274111190386
pca_full_diag_f1,2021_2026,276,0.0019137359519770677,0.09563686105252933,0.12705494030887446,0.7527205224766009,-0.20370761897844358,-0.03808463710280114
pca_full_diag_f2,2005_2009,259,0.001127688781587722,0.05857298767019836,0.058111435767965694,1.0079425313818713,-0.07785542054234307,-0.01626387473157059
pca_full_diag_f2,2010_2015,313,0.00038719293933888973,0.018920538852105206,0.05264080411679679,0.35942723842373797,-0.11980608552207872,-0.016238675422776447
pca_full_diag_f2,2016_2020,261,0.0007739917292586165,0.03926077354657975,0.058707564856735436,0.6687515253338842,-0.10069846655451287,-0.01768808861718889
pca_full_diag_f2,2021_2026,276,0.00014254973791273833,0.005753175228297991,0.057896334316979055,0.09937028477139316,-0.17586899183564386,-0.01581966568022273
pca_full_diag_f3,2005_2009,259,0.0008593259735653444,0.03997697188438121,0.10422608803528281,0.38356013007845147,-0.19191081955861633,-0.0371024092387154
pca_full_diag_f3,2010_2015,313,-0.0011417722605443707,-0.06017333116366974,0.07254877800426343,-0.8294189484505662,-0.40639888332498775,-0.025194358228475128
pca_full_diag_f3,2016_2020,261,-0.0002938925764959799,-0.01687786160661353,0.05886053894955075,-0.2867432393216704,-0.20125554425262604,-0.01855589904124277
pca_full_diag_f3,2021_2026,276,0.0012433471519585806,0.06382919860233671,0.0740919079413902,0.8614867719809332,-0.07349426429226669,-0.020257280696298813
pca_full_diag_f4,2005_2009,259,-0.0007308178445050972,-0.039742720947229304,0.07108126237486587,-0.5591167013556335,-0.23714277638424786,-0.02492930927768222
pca_full_diag_f4,2010_2015,313,-0.0009177496931699643,-0.047908362245903224,0.051847390753654535,-0.9240264852195351,-0.2697579762443043,-0.017483547101807224
