id,description,type,coverage,userCount,alphaCount
historical_volatility_10,Historical close-to-close volatility for approximately 10 calendar days,MATRIX,0.9808,1427,3211
historical_volatility_120,Historical close-to-close volatility for approximately 120 calendar days,MATRIX,0.98,2928,5917
historical_volatility_150,Historical close-to-close volatility for approximately 150 calendar days,MATRIX,0.9798,1313,2812
historical_volatility_180,Historical close-to-close volatility for approximately 180 calendar days,MATRIX,0.9796,2385,5219
historical_volatility_20,Historical close-to-close volatility for approximately 20 calendar days,MATRIX,0.9807,1015,2086
historical_volatility_30,Historical close-to-close volatility for approximately 30 calendar days,MATRIX,0.9807,1197,2298
historical_volatility_60,Historical close-to-close volatility for approximately 60 calendar days,MATRIX,0.9805,1437,3217
historical_volatility_90,Historical close-to-close volatility for approximately 90 calendar days,MATRIX,0.9803,1097,2358
implied_volatility_call_10,Implied volatility of the at-the-money call for the stock with an expiration 10 calendar days from the measurement date,MATRIX,0.9729,3111,6682
implied_volatility_call_1080,Implied volatility of the at-the-money call for the stock with an expiration 1080 calendar days from the measurement date,MATRIX,0.9729,4704,11088
implied_volatility_call_120,Implied volatility of the at-the-money call for the stock with an expiration 120 calendar days from the measurement date,MATRIX,0.9729,9688,24053
implied_volatility_call_150,Implied volatility of the at-the-money call for the stock with an expiration 150 calendar days from the measurement date,MATRIX,0.9729,4102,10859
implied_volatility_call_180,Implied volatility of the at-the-money call for the stock with an expiration 180 calendar days from the measurement date,MATRIX,0.9729,5853,13842
implied_volatility_call_20,Implied volatility of the at-the-money call for the stock with an expiration 20 calendar days from the measurement date,MATRIX,0.9729,1748,3746
implied_volatility_call_270,Implied volatility of the at-the-money call for the stock with an expiration 270 calendar days from the measurement date,MATRIX,0.9729,12919,20992
implied_volatility_call_30,Implied volatility of the at-the-money call for the stock with an expiration 30 calendar days from the measurement date,MATRIX,0.9729,4026,9656
implied_volatility_call_360,Implied volatility of the at-the-money call for the stock with an expiration 360 calendar days from the measurement date,MATRIX,0.9729,3002,6431
implied_volatility_call_60,Implied volatility of the at-the-money call for the stock with an expiration 60 calendar days from the measurement date,MATRIX,0.9729,5636,13130
implied_volatility_call_720,Implied volatility of the at-the-money call for the stock with an expiration 720 calendar days from the measurement date,MATRIX,0.9729,2564,4976
implied_volatility_call_90,Implied volatility of the at-the-money call for the stock with an expiration 90 calendar days from the measurement date,MATRIX,0.9729,3375,9211
implied_volatility_mean_10,The average of IvCall10 and IvPut10,MATRIX,0.9688,3462,8261
implied_volatility_mean_1080,The average of IvCall1080 and IvPut1080,MATRIX,0.9688,1122,1973
implied_volatility_mean_120,The average of IvCall120 and IvPut120,MATRIX,0.9688,3006,5270
implied_volatility_mean_150,The average of IvCall150 and IvPut150,MATRIX,0.9688,1625,2812
implied_volatility_mean_180,The average of IvCall180 and IvPut180,MATRIX,0.9688,2478,4485
implied_volatility_mean_20,The average of IvCall20 and IvPut20,MATRIX,0.9688,1227,2717
implied_volatility_mean_270,The average of IvCall270 and IvPut270,MATRIX,0.9688,1197,1959
implied_volatility_mean_30,The average of IvCall30 and IvPut30,MATRIX,0.9688,1806,3325
implied_volatility_mean_360,The average of IvCall360 and IvPut360,MATRIX,0.9688,1333,2270
implied_volatility_mean_60,The average of IvCall60 and IvPut60,MATRIX,0.9688,2158,3506
implied_volatility_mean_720,The average of IvCall720 and IvPut720,MATRIX,0.9688,1290,2074
