id,name,category,fieldCount,alphaCount
analyst4,Analyst Estimate Data for Equity,Analyst,1324,752292
fundamental2,Report Footnotes,Fundamental,766,138640
fundamental6,Company Fundamental Data for Equity,Fundamental,886,836476
model16,Fundamental Scores,Model,24,10326
model51,Systematic Risk Metrics,Model,16,42844
news12,US News Data,News,875,165763
news18,Ravenpack News Data,News,121,57184
option8,Volatility Data,Option,64,181200
option9,Options Analytics,Option,74,75116
pv1,Price Volume Data for Equity,Price Volume,24,2125570
pv13,Relationship Data for Equity,Price Volume,165,162489
socialmedia12,Sentiment Data for Equity,Social Media,18,58793
socialmedia8,Social Media Data for Equity,Social Media,4,16600
univ1,Universe Dataset,Price Volume,6,107
