id,description,type,coverage,userCount,alphaCount
composite_sentiment_score_2,A combined sentiment score for a news story using multiple analysis techniques.,VECTOR,1.0,59,73
corporate_action_sentiment,A sentiment score for news stories about corporate action announcements.,VECTOR,1.0,62,73
earnings_evaluation_sentiment,A sentiment score for news stories about earnings evaluations.,VECTOR,1.0,45,75
editorial_commentary_sentiment_2,A sentiment score for short commentary and editorials on equity markets.,VECTOR,1.0,27,41
entity_country_iso_code_4,The two-letter ISO code representing the country associated with the entity.,VECTOR,1.0,73,81
equity_sentiment_score,A sentiment score indicating the tone of news about global equities.,VECTOR,1.0,36,59
event_end_date_utc,The UTC date when the event concludes.,VECTOR,0.842,188,248
event_end_date_utc_fast_d1,The UTC date when the event concludes.,VECTOR,0.9496,266,379
event_end_time_utc,The UTC timestamp when the event concludes.,VECTOR,0.9507,21,26
event_novelty_score_2,A score indicating how new or unique a news event is within a 24-hour window.,VECTOR,1.0,26,30
event_sentiment_score,A granular score representing the sentiment of a news event.,VECTOR,1.0,44,52
event_start_date_utc,The UTC date when the event begins.,VECTOR,0.9507,209,262
event_start_time_utc,The UTC timestamp when the event begins.,VECTOR,0.842,11,12
event_start_time_utc_fast_d1,The UTC timestamp when the event begins.,VECTOR,0.8403,38,48
global_event_novelty_score_2,A score indicating how novel an event is across all news providers within a 24-hour window.,VECTOR,1.0,18,24
global_novelty_chain_elapsed_ms,Milliseconds elapsed between the first and current event in a global novelty chain.,VECTOR,1.0,156,166
mean_composite_sentiment_score,The average composite sentiment score for news stories.,MATRIX,1.0,144,203
mean_corporate_action_sentiment,The average sentiment score for news about corporate action announcements.,MATRIX,1.0,57,79
mean_earnings_evaluation_sentiment,The average sentiment score for earnings evaluation news stories.,MATRIX,1.0,96,118
mean_editorial_commentary_sentiment,The average sentiment score for editorials and commentary on equity markets.,MATRIX,1.0,69,80
mean_entity_relevance_score,The average relevance score indicating how central an entity is to news stories.,MATRIX,1.0,63,87
mean_equity_sentiment_score,The average sentiment score for news about global equities.,MATRIX,1.0,106,131
mean_event_novelty_score,The average novelty score for events over a specified period.,MATRIX,1.0,78,97
mean_event_sentiment_score,The average sentiment score for events over a specified period.,MATRIX,1.0,62,84
mean_merger_acquisition_sentiment,"The average sentiment score for news about mergers, acquisitions, and takeovers.",MATRIX,1.0,167,329
mean_news_impact_projection,The average projected market impact score for news flashes.,MATRIX,1.0,235,366
merger_acquisition_sentiment,"A sentiment score for news stories about mergers, acquisitions, and takeovers.",VECTOR,1.0,48,55
news_impact_projection_score,A score representing the projected market impact of a news flash.,VECTOR,1.0,76,85
novelty_chain_elapsed_ms,Milliseconds elapsed between the first and current event in a novelty chain.,VECTOR,1.0,139,151
nws18_acb,News sentiment specializing in corporate action announcements,VECTOR,0.903,212,575
nws18_bam,"Mergers and acquisitions sentiment indicator (e.g., -1 negative, 0 neutral, +1 positive)",VECTOR,1.0,490,1183
nws18_bam_fast_d1,"Mergers and acquisitions sentiment indicator (e.g., -1 negative, 0 neutral, +1 positive)",VECTOR,0.8633,62,80
nws18_bee,"Earnings evaluation score indicating positive, neutral, or negative assessment (-1, 0, +1)",VECTOR,1.0,294,577
nws18_bee_fast_d1,"Earnings evaluation score indicating positive, neutral, or negative assessment (-1, 0, +1)",VECTOR,1.0,20,23
nws18_ber,Earnings Release Indicator flag for earnings release events,VECTOR,1.0,292,651
nws18_ber_fast_d1,Earnings Release Indicator flag for earnings release events,VECTOR,0.8633,7,10
nws18_event_relevance,Integer from 0 to 100 indicating the event’s relevance within the story,VECTOR,1.0,563,1018
nws18_event_relevance_fast_d1,Integer from 0 to 100 indicating the event’s relevance within the story,VECTOR,0.8607,42,56
nws18_event_similarity_days,"Number of days since a similar event was last detected within the past 365 days, up to 5 decimals",VECTOR,0.8999,378,727
nws18_ghc_lna,Change in analyst recommendation,VECTOR,0.903,691,1660
nws18_nip,"Narrative impact score in [-1, 1] estimating the news item’s short-term market impact (e.g., next two hours)",VECTOR,0.903,383,1383
nws18_qcm,News sentiment of relevant news with high confidence,VECTOR,1.0,351,760
nws18_qep,"Equities sentiment polarity score derived from positive/negative words in news (typically -1, 0, +1)",VECTOR,1.0,331,1035
nws18_qep_fast_d1,"Equities sentiment polarity score derived from positive/negative words in news (typically -1, 0, +1)",VECTOR,0.8633,10,12
