id,description,type,coverage,alphaCount
actual_cashflow_per_share_value_quarterly,Cash Flow Per Share - actual value for the quarter,MATRIX,0.4684,849
actual_dividend_value_quarterly,Dividend - Actual value for the quarter,MATRIX,0.612,357
actual_eps_value_quarterly,Earnings Per Share (Income Statement/Per Share) (Actual),MATRIX,1.0,1739
actual_sales_value_annual,Sales - Actual Value,MATRIX,0.9943,470
actual_sales_value_quarterly,Sales - Value in financial services income statement (in millions),MATRIX,1.0,883
actuals_reporting_currency,Home currency of instrument,VECTOR,0.9876,317
actuals_value_currency_code,Pricing Currency where the security trades,MATRIX,1.0,5883
adj_net_income_avg,"Average adjusted net profit, excluding non-recurring items, for the period.",MATRIX,0.8557,483
adj_net_income_median,"Median adjusted net profit, excluding non-recurring items, for the period.",MATRIX,0.8557,166
adj_net_income_stddev,"Standard deviation of adjusted net profit estimates, excluding non-recurring items.",MATRIX,0.5597,130
anl4_adjusted_netincome_ft,Adjusted net income - forecast type (revision/new/...),MATRIX,0.8706,63556
anl4_ads1detailafv110_bk,Broker name (int),VECTOR,0.688,260
anl4_ads1detailafv110_estvalue,Estimation value,VECTOR,0.6878,184
anl4_ads1detailafv110_person,Broker Id,VECTOR,0.688,1076
anl4_ads1detailafv110_prevval,The Previous Estimation of Financial Item,VECTOR,0.6856,160
anl4_ads1detailqfv110_bk,Broker name (int),VECTOR,0.6295,1293
anl4_ads1detailqfv110_estvalue,Estimation value,VECTOR,0.6292,193
anl4_ads1detailqfv110_person,Broker Id,VECTOR,0.6295,395
anl4_ads1detailqfv110_prevval,The previous estimation of financial item,VECTOR,0.6268,380
anl4_adxqfv110_down,Number of lower estimations,VECTOR,0.6979,1164
anl4_adxqfv110_high,The highest estimation,VECTOR,0.6979,325
anl4_adxqfv110_low,The lowest estimation,VECTOR,0.6979,643
anl4_adxqfv110_mean,Mean of estimations,VECTOR,0.6979,172
anl4_adxqfv110_median,Median of estimations,VECTOR,0.6979,143
anl4_adxqfv110_numest,The number of forecasts counted in aggregation,VECTOR,0.6979,1693
anl4_adxqfv110_pu,The number of upper estimations,VECTOR,0.6979,5331
anl4_ady_down,Number of lower estimations,VECTOR,0.7196,166
anl4_ady_high,The highest estimation,VECTOR,0.7196,94
anl4_ady_low,The lowest estimation,VECTOR,0.7196,95
anl4_ady_mean,Mean of estimations,VECTOR,0.7196,66
anl4_ady_median,Median of estimations,VECTOR,0.7196,50
anl4_ady_numest,The number of forecasts counted in aggregation,VECTOR,0.7196,1198
anl4_ady_pu,The number of upper estimations,VECTOR,0.7196,5936
anl4_af_cfps_value,Cash Flow Per Share - Actual Value,MATRIX,0.6156,418
anl4_af_div_value,Dividend - Actual value,MATRIX,0.758,574
anl4_af_eps_value,Earnings Per Share - Actual Value,MATRIX,0.9956,1208
anl4_afv4_actual,Announced financial data,VECTOR,0.9199,108
anl4_afv4_cfps_high,Cash Flow Per Share - The highest estimation for the annual forecast,MATRIX,0.6751,118
anl4_afv4_cfps_low,Cash Flow Per Share - The lowest estimation for the upcoming fiscal year,MATRIX,0.6751,162
anl4_afv4_cfps_mean,Cash Flow Per Share - average of estimations for the annual frequency,MATRIX,0.6751,274
anl4_afv4_cfps_median,Cash Flow Per Share - Median value among forecasts for the annual frequency,MATRIX,0.6751,474
anl4_afv4_cfps_number,Cash Flow Per Share - number of estimations for annual frequency,MATRIX,0.6751,282
anl4_afv4_div_high,Dividend per share - The highest estimation for the annual forecast.,MATRIX,0.8232,69
anl4_afv4_div_low,Dividend - The lowest estimation for the annual forecast,MATRIX,0.8232,82
anl4_afv4_div_mean,Dividend per share - average of estimations for annual frequency,MATRIX,0.8232,107
anl4_afv4_div_median,Dividend per share - Median value among forecasts,MATRIX,0.8232,81
anl4_afv4_div_number,Number of estimations for Dividend per share - annually,MATRIX,0.8232,113
anl4_afv4_div_std,Dividend per share - standard deviation of estimations,MATRIX,0.3948,38
anl4_afv4_dts_spe,Earnings per share - standard deviation of estimations,MATRIX,0.691,341
anl4_afv4_eps_high,Earnings per share - The highest estimation,MATRIX,1.0,1697
anl4_afv4_eps_low,Earnings per share - The lowest estimation for annual frequency,MATRIX,1.0,1032
anl4_afv4_eps_mean,Earnings per share - mean of estimations for annual frequency,MATRIX,1.0,2568
anl4_afv4_eps_number,Earnings per share - number of estimations for annual frequency,MATRIX,1.0,841
anl4_afv4_maxguidance,Max guidance value,VECTOR,0.6994,473
anl4_afv4_median_eps,Earnings per share - median of estimations,MATRIX,1.0,1035
anl4_afv4_minguidance,Min guidance value,VECTOR,0.6994,144
anl4_bac1actualqfv110_actual,Announced financial data,VECTOR,0.647,170
anl4_bac1actualqfv110_item,Financial item,VECTOR,0.6641,202
anl4_bac1conafv110_item,Financial item,VECTOR,0.7343,178
anl4_bac1conltv110_item,Financial item,VECTOR,0.7004,39
anl4_bac1conqfv110_item,Financial item,VECTOR,0.7262,147
anl4_bac1conrecv110_item,Financial item,VECTOR,0.6243,158
anl4_bac1detailafv110_item,Financial item,VECTOR,0.7154,670
anl4_bac1detaillt_item,Financial item,VECTOR,0.6827,4200
anl4_bac1detailqfv110_item,Financial item,VECTOR,0.6876,205
anl4_bac1detailrec_item,Financial item,VECTOR,0.7128,2921
anl4_basicafv4_actual,Announced financial data for the annual period.,VECTOR,0.915,80
anl4_basicconafv110_down,Number of lower estimations,VECTOR,0.7343,188
anl4_basicconafv110_high,The highest estimation,VECTOR,0.7343,61
anl4_basicconafv110_low,The lowest estimation,VECTOR,0.7343,61
