id,description,type,coverage,userCount,alphaCount
primary_sector_focused_company_count,Number of companies primarily focused in a given sector.,MATRIX,0.3508,223,267
pv13_1l_scibr,grouping fields,GROUP,0.9385,1469,3487
pv13_2l_scibr,grouping fields,GROUP,0.9385,229,401
pv13_3l_scibr,grouping fields,GROUP,0.9385,956,1705
pv13_4l_scibr,grouping fields,GROUP,0.9385,558,806
pv13_5l_scibr,grouping fields,GROUP,0.9385,711,1052
pv13_6l_scibr,grouping fields,GROUP,0.9385,513,792
pv13_com_page_rank,the PageRank of competitors,MATRIX,0.9051,1653,2838
pv13_com_rk_au,the HITS authority score of competitors,MATRIX,0.9051,1876,3374
pv13_custretsig_retsig,Sign of customer return,MATRIX,0.9276,2184,5240
pv13_di_5l,grouping fields,GROUP,1.0,11,12
pv13_di_6l,grouping fields,GROUP,1.0,8,12
pv13_h2_min2_1k_sector,Grouping fields for top 1000,GROUP,0.3681,1078,2026
pv13_h2_sector,grouping fields,GROUP,1.0,1327,2958
pv13_h_f1_sector,grouping fields,GROUP,0.9989,1617,5446
pv13_h_f3_sector,grouping fields,GROUP,0.9989,276,811
pv13_h_min10_all_sector,grouping fields,GROUP,0.9995,271,941
pv13_h_min10_top3000_sector,grouping fields,GROUP,1.0,362,997
pv13_h_min20_top3000_sector,grouping fields,GROUP,1.0,342,1088
pv13_h_min22_1000_sector,Grouping fields for top 1000,GROUP,0.3673,553,1255
pv13_h_min24_500_sector,Grouping fields for top 500,GROUP,0.186,532,930
pv13_h_min2_3000_sector,grouping fields,GROUP,1.0,3917,21339
pv13_h_min2_focused_pureplay_3000_sector,grouping fields,GROUP,1.0,2659,12261
pv13_h_min2_focused_sector,Grouping fields for top 200,GROUP,0.1832,912,1628
pv13_h_min30_3000_mapped_sector,grouping fields,GROUP,1.0,184,551
pv13_h_min51_f3_sector,grouping fields,GROUP,0.9989,180,772
pv13_h_min52_1k_sector,Grouping fields for top 1000,GROUP,0.3673,615,1132
pv13_h_min52_3000_sector,grouping fields,GROUP,1.0,151,505
pv13_h_min5_3000_sector,grouping fields,GROUP,1.0,208,655
pv13_h_min5_500_sector,Grouping fields,GROUP,0.1832,173,291
pv13_hierarchy23_513_sector,grouping fields,GROUP,0.9933,94,116
pv13_hierarchy23_sector,grouping fields,GROUP,1.0,882,1361
pv13_hierarchy2_513_sector,grouping fields,GROUP,0.9933,85,93
pv13_hierarchy2_min2_1k_513_sector,grouping fields,GROUP,0.3548,11,11
pv13_hierarchy_f1_513_sector,grouping fields,GROUP,0.9929,50,68
pv13_hierarchy_f2_513_sector,grouping fields,GROUP,0.9929,53,58
pv13_hierarchy_f2_sector,grouping fields,GROUP,1.0,77,93
pv13_hierarchy_f3_513_sector,grouping fields,GROUP,0.9929,31,36
pv13_hierarchy_f4_513_sector,grouping fields,GROUP,0.9929,36,40
pv13_hierarchy_f4_sector,grouping fields,GROUP,1.0,93,114
pv13_hierarchy_min100_2000_513_sector,grouping fields,GROUP,0.6945,51,58
pv13_hierarchy_min100_corr21_513_sector,grouping fields,GROUP,0.6299,30,37
pv13_hierarchy_min100_corr21_sector,grouping fields,GROUP,0.4817,34,39
pv13_hierarchy_min10_1000_513_sector,grouping fields,GROUP,0.3539,20,20
pv13_hierarchy_min10_2k_513_sector,grouping fields,GROUP,0.6945,52,58
pv13_hierarchy_min10_2k_sector,grouping fields,GROUP,0.7196,111,172
pv13_hierarchy_min10_3k_all_sector,grouping fields,GROUP,1.0,50,82
pv13_hierarchy_min10_513_sector,grouping fields,GROUP,0.6945,63,80
pv13_hierarchy_min10_industry_3000_513_sector,grouping fields,GROUP,0.9929,51,66
pv13_hierarchy_min10_industry_3000_sector,grouping fields,GROUP,1.0,66,95
pv13_hierarchy_min10_sector,grouping fields,GROUP,0.7036,105,129
pv13_hierarchy_min10_sector_3000_513_sector,grouping fields,GROUP,0.9929,35,59
pv13_hierarchy_min10_sector_3000_sector,grouping fields,GROUP,1.0,57,71
pv13_hierarchy_min10_top3000_513_sector,grouping fields,GROUP,0.9929,36,55
pv13_hierarchy_min20_3k_513_sector,grouping fields,GROUP,0.9929,40,43
pv13_hierarchy_min20_3k_sector,grouping fields,GROUP,1.0,57,75
pv13_hierarchy_min20_513_sector,grouping fields,GROUP,0.6945,26,27
pv13_hierarchy_min20_f3_513_sector,grouping fields,GROUP,0.9929,60,64
pv13_hierarchy_min20_sector,grouping fields,GROUP,0.7036,40,42
pv13_hierarchy_min20_top3000_513_sector,grouping fields,GROUP,0.9929,37,40
pv13_hierarchy_min22_1000_513_sector,grouping fields,GROUP,0.3539,12,12
pv13_hierarchy_min22_513_sector,grouping fields,GROUP,0.6945,17,17
pv13_hierarchy_min22_sector,grouping fields,GROUP,0.7196,43,55
pv13_hierarchy_min25_513_sector,grouping fields,GROUP,0.6945,24,29
pv13_hierarchy_min25_sector,grouping fields,GROUP,0.7196,52,57
pv13_hierarchy_min2_1000_513_sector,grouping fields,GROUP,0.3539,21,24
pv13_hierarchy_min2_3000_513_sector,grouping fields,GROUP,0.9929,48,65
pv13_hierarchy_min2_513_sector,grouping fields,GROUP,0.6945,26,26
pv13_hierarchy_min2_focused_only_513_sector,grouping fields,GROUP,0.6945,23,24
pv13_hierarchy_min2_focused_only_sector,grouping fields,GROUP,0.7036,742,1313
pv13_hierarchy_min2_focused_pureplay_3000_513_sector,grouping fields,GROUP,0.9929,314,425
pv13_hierarchy_min2_focused_pureplay_513_sector,grouping fields,GROUP,0.6945,29,35
pv13_hierarchy_min2_focused_pureplay_sector,grouping fields,GROUP,0.7196,53,63
pv13_hierarchy_min2_pureplay_only_513_sector,grouping fields,GROUP,0.6945,113,160
pv13_hierarchy_min2_pureplay_only_sector,grouping fields,GROUP,0.7036,868,1425
pv13_hierarchy_min2_sector,grouping fields,GROUP,0.7196,103,146
pv13_hierarchy_min30_3000_513_sector,grouping fields,GROUP,0.9929,33,55
pv13_hierarchy_min30_3000_mapped_513_sector,grouping fields,GROUP,0.9929,32,36
pv13_hierarchy_min30_513_sector,grouping fields,GROUP,0.6945,20,24
pv13_hierarchy_min30_sector,grouping fields,GROUP,0.7196,47,54
pv13_hierarchy_min40_3000_513_sector,grouping fields,GROUP,0.9929,35,38
pv13_hierarchy_min50_f3_513_sector,grouping fields,GROUP,0.9929,68,78
pv13_hierarchy_min51_f1_513_sector,grouping fields,GROUP,0.9929,24,28
pv13_hierarchy_min51_f1_sector,grouping fields,GROUP,0.9989,122,155
pv13_hierarchy_min51_f2_513_sector,grouping fields,GROUP,0.9929,39,43
pv13_hierarchy_min51_f2_sector,grouping fields,GROUP,1.0,77,101
pv13_hierarchy_min51_f3_513_sector,grouping fields,GROUP,0.9929,21,29
pv13_hierarchy_min51_f4_513_sector,grouping fields,GROUP,0.9929,58,65
pv13_hierarchy_min51_f4_sector,grouping fields,GROUP,1.0,74,90
pv13_hierarchy_min52_1k_513_sector,grouping fields,GROUP,0.3539,22,23
pv13_hierarchy_min52_2k_513_sector,grouping fields,GROUP,0.6945,15,15
pv13_hierarchy_min52_2k_sector,grouping fields,GROUP,0.7196,55,61
pv13_hierarchy_min52_513_sector,grouping fields,GROUP,0.9929,56,65
pv13_hierarchy_min52_sector,grouping fields,GROUP,1.0,77,90
pv13_hierarchy_min54_3000_sector,grouping fields,GROUP,1.0,82,95
pv13_hierarchy_min5_1000_513_sector,grouping fields,GROUP,0.3539,27,28
pv13_hierarchy_min5_3000_513_sector,grouping fields,GROUP,0.9929,72,79
pv13_hierarchy_min5_513_sector,grouping fields,GROUP,0.6945,18,19
pv13_hierarchy_min5_corr21_1000_513_sector,grouping fields,GROUP,0.3539,19,19
