id,description,type,coverage,userCount,alphaCount
call_breakeven_10,"Price at which a stock's call options with expiration 10 days in the future break even based on its recent bid/ask mean, weighted by open interest or volume",MATRIX,0.9824,1296,2713
call_breakeven_1080,Price at which a stock's call options with expiration 1080 days in the future break even based on its recent bid/ask mean.,MATRIX,0.9824,568,1258
call_breakeven_120,"Price at which a stock's call options with expiration 120 days in the future break even based on its recent bid/ask mean, weighted by open interest or volume",MATRIX,0.9824,430,1028
call_breakeven_150,"Price at which a stock's call options with expiration 150 days in the future break even based on its recent bid/ask mean, weighted by open interest or volume",MATRIX,0.9824,299,717
call_breakeven_180,Open-interest-weighted mean breakeven price at which buyers of call options break even for options expiring in 180 days,MATRIX,0.9824,421,1003
call_breakeven_20,"Open-interest-weighted average breakeven price of call options expiring in 20 days, representing the price at which call buyers break even",MATRIX,0.9824,1467,2256
call_breakeven_270,Price at which a stock's call options with expiration 270 days in the future break even based on its recent bid/ask mean,MATRIX,0.9824,312,714
call_breakeven_30,"Open-interest-weighted average breakeven price of call options expiring in 30 days, representing the price at which call buyers break even",MATRIX,0.9824,497,1118
call_breakeven_360,"Weighted mean break-even price of call options expiring in 360 days, based on recent bid/ask prices",MATRIX,0.9824,276,610
call_breakeven_60,"Open interest-weighted mean breakeven price for call options expiring in 60 days, showing average price at which call buyers break even",MATRIX,0.9824,341,763
call_breakeven_720,Weighted mean breakeven price of call options expiring in 720 days indicating the price at which call buyers break even,MATRIX,0.9824,293,622
call_breakeven_90,Price at which a stock's call options with expiration 90 days in the future break even based on its recent bid/ask mean,MATRIX,0.9824,310,480
forward_price_10,Synthetic forward price for the underlying at 10 days derived from put-call parity using ATM options and adjusted for interest rates and dividends,MATRIX,0.9796,526,1125
forward_price_1080,"Synthetic forward price at 1080 days derived from at-the-money call and put option prices, reflecting market consensus for the underlying at that tenor",MATRIX,0.9796,342,567
forward_price_120,Synthetic forward price at 120 days derived from at-the-money call and put options reflecting the market's forward expectation of the underlying security,MATRIX,0.9796,412,556
forward_price_150,Synthetic forward price at 150 days derived from at-the-money call and put options reflecting the market's forward expectation of the underlying security,MATRIX,0.9796,335,530
forward_price_180,Synthetic forward price at 180 days derived from put-call parity using at-the-money calls and puts reflecting market consensus forward expectation,MATRIX,0.9796,355,695
