cik10,company_name,recent_cagr,cagr_change
0001107843,"QUALYS, INC.",1.0397251871433277,-0.15357924916568821
0001653482,GITLAB INC.,1.0493892075507323,-0.14391522875828366
0001713683,"ZSCALER, INC.",1.0541344559632058,-0.13916998034581018
0001327567,PALO ALTO NETWORKS INC,1.0575299617939682,-0.13577447451504776
0001393052,VEEVA SYSTEMS INC,1.0608611896599505,-0.13244324664906548
0001044777,ONESPAN INC.,1.0667732479631464,-0.12653118834586952
0001773383,"DYNATRACE, INC.",1.0670573902398974,-0.12624704606911852
0001373715,"SERVICENOW, INC.",1.0699319024196536,-0.12337253388936231
0001361113,VARONIS SYSTEMS INC,1.0723778822342287,-0.12092655407478725
0001124804,VERADIGM INC.,1.0736192730741392,-0.11968516323487677
0001792849,"HIGHPEAK ENERGY, INC.",1.0798161981930665,-0.11348823811594944
0001855747,"BLEND LABS, INC.",1.0935208190032562,-0.0997836173057598
0000851310,HARMONIC INC.,1.1047684547434469,-0.08853598156556908
0001493761,TURTLE BEACH CORP,1.1064168620315118,-0.08688757427750415
0000033213,EQT CORP,1.1616683176877185,-0.03163611862129745
0001070412,CNX RESOURCES CORP,1.1628029099330064,-0.030501526376009558
0000874499,GULFPORT ENERGY CORP,1.163226887779123,-0.030077548529892972
0001013462,ANSYS INC,1.1657406046460204,-0.027563831662995586
0001108524,"SALESFORCE, INC.",1.1687781869464362,-0.024526249362579744
0001528129,"VITAL ENERGY, INC.",1.1787884403108366,-0.01451599599817932
0001104485,"NORTHERN OIL & GAS, INC.",1.1851550702337161,-0.008149366075299813
0001031308,BENTLEY SYSTEMS INC,1.1928645761298737,-0.0004398601791422152
0001615165,"VERITONE, INC.",1.1933044363090173,1.3322676295501878e-15
0001171486,NATURAL RESOURCE PARTNERS LP,1.1933044363090177,1.7763568394002505e-15
0001459417,"2U, INC.",1.1933044363090182,2.220446049250313e-15
0001585521,"ZOOM COMMUNICATIONS, INC.",1.1933044363090186,2.6645352591003757e-15
0001114995,IMPINJ INC,1.1933044363090204,4.440892098500626e-15
0001657788,"KIMBELL ROYALTY PARTNERS, LP",1.1933044363090208,4.884981308350689e-15
0001679268,"MAMMOTH ENERGY SERVICES, INC.",1.1933044363090208,4.884981308350689e-15
0001658566,PERMIAN RESOURCES CORP,1.1948904416353656,0.001586005326349671
0001650372,ATLASSIAN CORP,1.1956505660143195,0.002346129705303568
0001013857,PEGASYSTEMS INC,1.1958042992258888,0.0024998629168728748
0001520006,MATADOR RESOURCES CO,1.1978462862686579,0.004541849959641908
0001724965,TALOS ENERGY INC.,1.1992459520289187,0.005941515719902757
0001621434,"BLACK STONE MINERALS, L.P.",1.2037976569053108,0.010493220596294872
0001314727,SONOS INC,1.20497384215316,0.011669405844143999
0001834494,"MERIDIANLINK, INC.",1.2062796114798706,0.01297517517085467
0001819974,"SKYWATER TECHNOLOGY, INC",1.206281731407488,0.01297729509847212
0001475115,"EVENTBRITE, INC.",1.209734379936152,0.016429943627136012
0001861795,DEFINITIVE HEALTHCARE CORP.,1.211243364988135,0.01793892867911895
0000785786,PLEXUS CORP,1.2137283410192707,0.020423904710254792
0000917273,RAMBUS INC,1.2404096971210317,0.047105260812015715
