candidate,family,risk_on_threshold,activation_mode,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,delay1_recent_cagr,delay2_recent_cagr,worst_current_delay_recent_cagr,peak_total_stock_weight,annual_one_way_turnover,active_share,selection_gates
balanced__score5__bridge2,balanced,5,bridge2,1.1293348809519,2.8063277222372514,-0.09130115412557349,0.4149935344796545,1.0000080831418998,1.015722412670495,1.0913590251045475,1.015722412670495,0.07378789503220702,4.732275132275133,0.2751322751322751,False
slow__score4__bridge1,slow,4,bridge1,1.1293348809519,2.806327722237252,-0.09130115412557327,0.4124862606836013,1.000008083141899,1.0157224126704945,1.0913590251045475,1.0157224126704945,0.07378789503220702,3.356613756613757,0.2962962962962963,False
balanced__score2__bridge2,balanced,2,bridge2,1.129334880951899,2.80632772223725,-0.0913011541255736,0.38448219949927864,1.0000080831418998,1.0157224126704945,1.0913590251045475,1.0157224126704945,0.07378789503220702,2.806349206349206,0.37037037037037035,False
balanced__score4__bridge1,balanced,4,bridge1,1.129334880951899,2.806327722237251,-0.09130115412557338,0.40878718141949655,1.0000080831419003,1.0157224126704945,1.0913590251045475,1.0157224126704945,0.07378789503220702,3.6317460317460317,0.291005291005291,False
slow__score2__bridge2,slow,2,bridge2,1.129334880951899,2.80632772223725,-0.0913011541255736,0.38448219949927864,1.0000080831418998,1.0157224126704945,1.0913590251045475,1.0157224126704945,0.07378789503220702,2.806349206349206,0.37037037037037035,False
fast__score2__bridge1,fast,2,bridge1,1.1293348809519,2.8063277222372514,-0.09130115412557338,0.4005848615865697,1.0000080831419011,1.015722412670494,1.091359025104547,1.015722412670494,0.07378789503220702,3.356613756613757,0.32275132275132273,False
fast__score3__bridge1,fast,3,bridge1,1.1293348809519,2.8063277222372514,-0.09130115412557338,0.4005848615865697,1.0000080831419011,1.015722412670494,1.091359025104547,1.015722412670494,0.07378789503220702,3.356613756613757,0.32275132275132273,False
slow__score3__bridge1,slow,3,bridge1,1.1293348809519,2.8063277222372514,-0.09130115412557338,0.4005848615865697,1.0000080831419011,1.015722412670494,1.091359025104547,1.015722412670494,0.07378789503220702,3.356613756613757,0.32275132275132273,False
fast__score1__bridge2,fast,1,bridge2,1.129334880951899,2.806327722237252,-0.09130115412557338,0.38295939461173645,1.0000080831418998,1.015722412670494,1.0913590251045475,1.015722412670494,0.07378789503220702,2.806349206349206,0.38095238095238093,False
balanced__score1__bridge2,balanced,1,bridge2,1.129334880951899,2.806327722237252,-0.09130115412557338,0.38295939461173645,1.0000080831418998,1.015722412670494,1.0913590251045475,1.015722412670494,0.07378789503220702,2.806349206349206,0.38095238095238093,False
slow__score1__bridge2,slow,1,bridge2,1.129334880951899,2.806327722237252,-0.09130115412557338,0.38295939461173645,1.0000080831418998,1.015722412670494,1.0913590251045475,1.015722412670494,0.07378789503220702,2.806349206349206,0.38095238095238093,False
