name,state,state_targeted,target_offense,target_defense,target_composite,target_cash,realized_bucket_offense,realized_bucket_defense,realized_bucket_composite,realized_bucket_cash,offense_gap,defense_gap,composite_gap,cash_gap,avg_BIL,avg_SPY,ann_return,sharpe
improved_phasess_recovery_explicit_bucket,calm_trend,0.0,0.56,0.19,0.25,0.05,0.4900369018512741,0.16746858215511587,0.30902008469106085,0.03347443130254905,-0.06996309814872598,-0.022531417844884133,0.05902008469106085,-0.016525568697450956,0.06776810586336007,0.09616840837856264,0.03857382393041955,0.4144217240888552
improved_phasess_recovery_explicit_bucket,neutral_healthy_proxy,0.0,0.5,0.18,0.23,0.09,0.43887698121258345,0.1594789826077106,0.25280223437999516,0.1488418017997107,-0.06112301878741655,-0.020521017392289398,0.02280223437999515,0.05884180179971071,0.2069003424353769,0.09030234104202868,0.0998997820396494,1.2557970105145755
improved_phasess_recovery_explicit_bucket,recovery_confirmed,1.0,0.51,0.2,0.24,0.07,0.4961445788239267,0.19615161296174755,0.24564820519896113,0.06205560301536424,-0.013855421176073301,-0.0038483870382524654,0.005648205198961143,-0.007944396984635768,0.1079167457152713,0.07249129158879809,0.03283242090388918,0.4700758528259172
improved_phasess_recovery_explicit_bucket,recovery_fragile,1.0,0.47,0.19,0.23,0.11,0.4564824412769476,0.16699782210355305,0.25068915622265775,0.1258305803968414,-0.01351755872305238,-0.023002177896446957,0.02068915622265774,0.01583058039684139,0.21797199658533783,0.06832281489549738,0.07604995258645433,1.4334285533900388
improved_phasess_recovery_explicit_bucket,stressed_panic,0.0,0.24,0.08,0.17,0.51,0.24066117121693978,0.07643307758929115,0.17357731862023307,0.5093284325735358,0.0006611712169397876,-0.003566922410708856,0.0035773186202330554,-0.0006715674264642368,0.607591188145647,0.027718266544321194,0.03538180543224088,0.5192594924910409
improved_phasess_good_state_explicit_bucket,calm_trend,1.0,0.56,0.19,0.25,0.05,0.546621992245483,0.18185898871010617,0.23701780359581523,0.034501215448595496,-0.01337800775451703,-0.008141011289893835,-0.01298219640418477,-0.015498784551404507,0.06130452971835903,0.10274352506594457,0.040155331125356936,0.42983496114319775
improved_phasess_good_state_explicit_bucket,neutral_healthy_proxy,1.0,0.5,0.18,0.23,0.09,0.4559359720778996,0.16049406428731666,0.23448303290414477,0.14908693073063886,-0.0440640279221004,-0.01950593571268333,0.004483032904144757,0.059086930730638865,0.2027814330434311,0.09222684047506143,0.09760898684925254,1.2199242096404839
improved_phasess_good_state_explicit_bucket,recovery_confirmed,0.0,0.51,0.2,0.24,0.07,0.43582871968812004,0.1889109949485794,0.311607460818546,0.06365282454475431,-0.07417128031187997,-0.011089005051420603,0.07160746081854602,-0.006347175455245699,0.12164327738095708,0.06314443097507051,0.02470373609083934,0.3659119960520894
improved_phasess_good_state_explicit_bucket,recovery_fragile,0.0,0.47,0.19,0.23,0.11,0.4609630637924744,0.14187104991000798,0.2737055380134795,0.12346034828403792,-0.009036936207525548,-0.04812895008999202,0.04370553801347951,0.013460348284037915,0.2175868818147742,0.06315853587265235,0.07054612250796909,1.3443438411239672
improved_phasess_good_state_explicit_bucket,stressed_panic,0.0,0.24,0.08,0.17,0.51,0.24797066572719473,0.07724097644586643,0.16539455707093548,0.509393800756003,0.007970665727194737,-0.0027590235541335717,-0.004605442929064535,-0.0006061992439969632,0.6036037825898215,0.02883185801762762,0.034601248105045265,0.48539376747165813
improved_phasess_combined_explicit_bucket,calm_trend,1.0,0.56,0.19,0.25,0.05,0.5391797493733019,0.18423034908007718,0.2423013941275014,0.034288507419119485,-0.020820250626698122,-0.00576965091992282,-0.007698605872498598,-0.015711492580880518,0.06117726852146914,0.10348367950420813,0.040186743748801865,0.4289926944366094
improved_phasess_combined_explicit_bucket,neutral_healthy_proxy,1.0,0.5,0.18,0.23,0.09,0.46241372416705534,0.16577220401247297,0.2230274541403019,0.1487866176801696,-0.03758627583294466,-0.01422779598752702,-0.006972545859698115,0.0587866176801696,0.19967547249013728,0.09484099577841004,0.09997624769900675,1.2367981323549215
improved_phasess_combined_explicit_bucket,recovery_confirmed,1.0,0.51,0.2,0.24,0.07,0.4983257173056915,0.20031891607182037,0.23926018120631978,0.06209518541616821,-0.011674282694308535,0.00031891607182035764,-0.0007398187936802081,-0.007904814583831798,0.10651447016408096,0.07460329761443117,0.02910652186928964,0.4168918227078075
improved_phasess_combined_explicit_bucket,recovery_fragile,1.0,0.47,0.19,0.23,0.11,0.45423392019620196,0.1689202587830332,0.25127022486739903,0.12557559615336564,-0.015766079803798017,-0.02107974121696679,0.021270224867399018,0.015575596153365637,0.2160897670945362,0.06901198185616132,0.07743778504041865,1.453117683766908
improved_phasess_combined_explicit_bucket,stressed_panic,0.0,0.24,0.08,0.17,0.51,0.24598326533213208,0.07740304130303381,0.16721083357995226,0.5094028597848815,0.005983265332132087,-0.0025969586969661895,-0.002789166420047756,-0.0005971402151184746,0.6043700095033812,0.02889333573414809,0.03453196486123374,0.48464220833533567
