state,target_offense,target_defense,target_composite,target_cash,risky_budget_total,normalized_risky_offense,normalized_risky_defense,normalized_risky_composite
calm_trend,0.56,0.19,0.25,0.05,0.95,0.5894736842105264,0.2,0.2631578947368421
neutral_healthy_proxy,0.5,0.18,0.23,0.09,0.91,0.5494505494505494,0.1978021978021978,0.25274725274725274
recovery_confirmed,0.51,0.2,0.24,0.07,0.9299999999999999,0.5483870967741936,0.21505376344086025,0.25806451612903225
recovery_fragile,0.47,0.19,0.23,0.11,0.89,0.5280898876404494,0.21348314606741572,0.25842696629213485
stressed_panic,0.24,0.08,0.17,0.51,0.49,0.4897959183673469,0.163265306122449,0.34693877551020413
