candidate,event_window_weeks,negative_percentile,maximum_vetoes,actual_vetoes,vetoed_issuers,peak_total_stock_weight,sleeve_annual_turnover,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,surface_gates,joint_improvement
veto4__q30__max2,4,0.3,2,5,3,0.046117434395129386,1.6980558945139181,1.051008201310947,2.6918745642719997,-0.10076752452473348,0.4104645147358126,0.9320198735415866,False,False
veto4__q30__max4,4,0.3,4,5,3,0.046117434395129386,1.6980558945139181,1.051008201310947,2.6918745642719997,-0.10076752452473348,0.4104645147358126,0.9320198735415866,False,False
veto4__q20__max2,4,0.2,2,3,2,0.046117434395129366,1.6967603422719586,1.0510082013109465,2.6918745642720006,-0.10076752452473348,0.4108381089156563,0.9320198735415872,False,False
veto4__q20__max4,4,0.2,4,3,2,0.046117434395129366,1.6967603422719586,1.0510082013109465,2.6918745642720006,-0.10076752452473348,0.4108381089156563,0.9320198735415872,False,False
veto4__q10__max2,4,0.1,2,1,1,0.04611743439512937,1.7088416074665218,1.0510082013109456,2.6918745642719992,-0.1007675245247337,0.4108381089156561,0.9320198735415868,False,False
veto4__q10__max4,4,0.1,4,1,1,0.04611743439512937,1.7088416074665218,1.0510082013109456,2.6918745642719992,-0.1007675245247337,0.4108381089156561,0.9320198735415868,False,False
veto13__q30__max4,13,0.3,4,50,35,0.04550176985665828,1.9316978885790457,1.0193371620818792,2.6236861954650506,-0.10700489992095319,0.41560514277965255,0.9025885270378062,False,False
veto8__q30__max4,8,0.3,4,41,29,0.04511352976390112,1.8806432963547437,1.0193371620818792,2.623686195465051,-0.10700489992095297,0.39928111840328984,0.9025885270378058,False,False
veto8__q20__max2,8,0.2,2,19,14,0.04755129882719283,1.8200267442548679,0.9990688970701218,2.5570943978616634,-0.12648539128257597,0.39246616627928255,0.8831922514726886,False,False
veto13__q30__max2,13,0.3,2,26,20,0.04755129882719282,1.8083412332909385,0.9990688970701209,2.557094397861664,-0.12648539128257597,0.39838214159133667,0.8831922514726898,False,False
veto13__q20__max2,13,0.2,2,24,19,0.047551298827192806,1.8192183891079807,0.9990688970701205,2.557094397861663,-0.12648539128257597,0.3990317077835934,0.8831922514726909,False,False
veto8__q30__max2,8,0.3,2,25,18,0.04755129882719283,1.8474954426803611,0.9990688970701198,2.557094397861661,-0.12648539128257608,0.40010501331601755,0.8831922514726906,False,False
veto13__q10__max4,13,0.1,4,17,12,0.0480908644376227,1.7917477730165252,0.9883207950841171,2.5371411652807807,-0.12766159626706752,0.40018336525139153,0.8730816467760123,False,False
veto8__q10__max4,8,0.1,4,15,11,0.04809086443762268,1.8186867507163647,0.9883207950841166,2.5371411652807803,-0.12766159626706752,0.4001833652513913,0.8730816467760123,False,False
veto8__q10__max2,8,0.1,2,13,9,0.04809086443762271,1.8217160478884624,0.9883207950841157,2.5371411652807794,-0.12766159626706763,0.3956564783914236,0.8730816467760127,False,False
veto13__q10__max2,13,0.1,2,15,10,0.0480908644376227,1.7947875341371191,0.9883207950841153,2.537141165280778,-0.12766159626706763,0.3956564783914236,0.873081646776013,False,False
veto13__q20__max4,13,0.2,4,37,27,0.04934939396945169,1.90587365721483,0.9880601188720111,2.5576306036742924,-0.12121326819199496,0.4040791837279192,0.873024062009683,False,False
veto8__q20__max4,8,0.2,4,24,19,0.049349393969451684,1.8084142271341892,0.9880601188720102,2.5576306036742915,-0.12121326819199507,0.3961655431742783,0.8730240620096825,False,False
