decision_at,cik10,company_name_as_filed,response_date,abnormal_reaction,reaction_percentile
2023-10-01 00:00:00+00:00,0001070235,BLACKBERRY LTD,2023-09-29,-0.0953085436476588,0.21621621621621623
2024-01-01 00:00:00+00:00,0001070235,BLACKBERRY LTD,2023-12-22,-0.1971537205871063,0.09090909090909091
2025-04-01 00:00:00+00:00,0001124804,VERADIGM INC.,2025-03-21,-0.1471631297272865,0.20512820512820512
2025-07-01 00:00:00+00:00,0001653482,GITLAB INC.,2025-06-13,-0.134678200612634,0.15151515151515152
2026-01-01 00:00:00+00:00,0001653482,GITLAB INC.,2025-12-05,-0.104295655562832,0.15789473684210525
