sector,decision_rows,unique_ciks,validated_price_rows,companyfacts_rows,single_ticker_rows,validated_price_coverage,companyfacts_coverage,single_ticker_coverage
agriculture_forestry_fishing,647,25,443,506,386,0.6846986089644513,0.7820710973724884,0.5965996908809892
construction,2615,70,2193,2253,1827,0.838623326959847,0.8615678776290631,0.698661567877629
energy,8980,323,4961,5353,3819,0.5524498886414254,0.5961024498886415,0.4252783964365256
finance_insurance_real_estate,45798,1437,33174,35347,23250,0.7243547753176994,0.7718022621075156,0.5076640901349404
manufacturing,53643,1796,38225,40344,34354,0.7125813246835561,0.7520832168223254,0.6404190667934306
materials_and_mining,1780,72,1142,1142,1083,0.6415730337078651,0.6415730337078651,0.6084269662921349
retail_trade,11181,339,7838,8588,6912,0.7010106430551829,0.7680887219390037,0.6181915749932921
services,17638,628,12586,13489,10914,0.7135729674566277,0.7647692482140832,0.6187776391881166
technology,26335,963,17577,18757,15377,0.6674387696981203,0.7122460603759255,0.5838997531801785
transport_communications_utilities,16018,507,10869,11633,8022,0.6785491322262455,0.7262454738419278,0.5008115869646648
wholesale_trade,4032,119,3085,3215,2497,0.7651289682539683,0.7973710317460317,0.6192956349206349
