quarter,event_count
2022Q1,618
2022Q2,592
2022Q3,592
2022Q4,599
2023Q1,627
2023Q2,600
2023Q3,588
2023Q4,584
2024Q1,622
2024Q2,579
2024Q3,580
2024Q4,554
2025Q1,585
2025Q2,559
2025Q3,540
2025Q4,521
2026Q1,550
2026Q2,525
2026Q3,439
