year,selection_date,candidate,training_cagr
2015,2015-01-02,threshold_0.55__low_0.00__top2__equal,0.11538464532359005
2016,2016-01-01,threshold_0.55__low_0.00__top2__score_invvol,0.06809078008706271
2017,2017-01-06,threshold_0.55__low_0.00__top3__equal,0.047723600710022795
2018,2018-01-05,threshold_0.55__low_0.00__top3__score_invvol,0.047348599309959605
2019,2019-01-04,threshold_0.60__low_0.00__top3__score_invvol,-0.0013350009919776973
2020,2020-01-03,threshold_0.75__low_0.00__top2__equal,0.04000458304386667
2021,2021-01-01,threshold_0.75__low_0.00__top2__score_invvol,0.14917170360427123
2022,2022-01-07,threshold_0.75__low_0.00__top2__score_invvol,0.1570379019758863
2023,2023-01-06,threshold_0.75__low_0.00__top2__equal,0.06054412818464239
2024,2024-01-05,threshold_0.75__low_0.00__top2__equal,0.11009541528647304
2025,2025-01-03,threshold_0.75__low_0.00__top2__score_invvol,0.10638501377492338
2026,2026-01-02,threshold_0.65__low_0.00__top1__score_invvol,0.18535346412159237
