implementation,year,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover
candidate,2023,21,2023-08-11,2023-12-29,0.2437034466590806,1.2923438686000603,2.4365701139193687,-0.08201662325103753,4.9523809523809526
candidate,2024,52,2024-01-05,2024-12-27,0.234918208445281,1.4134775236752113,2.3413816350697623,-0.09065357494795945,10.0
candidate,2025,52,2025-01-03,2025-12-26,1.0758019524551834,2.8135661627057846,7.610135990223268,-0.07550622242966798,6.750000000000001
candidate,2026,32,2026-01-02,2026-08-07,0.48089104847986497,1.044342825273146,1.6185470107507038,-0.24959640003613115,6.09375
XLK,2023,21,2023-08-11,2023-12-29,0.28902401145974066,1.3889763653634266,2.5599217313722025,-0.08363133767882036,0.0
XLK,2024,52,2024-01-05,2024-12-27,0.2891959111702156,1.2315667948348283,1.9716246796400732,-0.12780154406085253,0.0
XLK,2025,52,2025-01-03,2025-12-26,0.23180413040824233,0.9421510907993113,1.4349430781514816,-0.2386956580300179,0.0
XLK,2026,32,2026-01-02,2026-08-07,0.5427801815670741,1.7833512409762182,3.4249133577699205,-0.10994496064229098,0.0
breadth,2023,21,2023-08-11,2023-12-29,0.12086534442318775,0.8095152457887117,1.3625225066071096,-0.07816314830983007,4.339897745025391
breadth,2024,52,2024-01-05,2024-12-27,0.2230552596329698,1.337150017310895,2.1600579827193593,-0.0740432772844305,3.4759188150653024
breadth,2025,52,2025-01-03,2025-12-26,0.4871535445591304,2.581991135311109,4.933679295207949,-0.06486263985033713,4.274684364784961
breadth,2026,32,2026-01-02,2026-08-07,0.18601476872705303,0.793404825608154,1.2115333965005752,-0.15233979815658594,4.979403618655868
