candidate,state,n_weeks,ann_return,sharpe,vol_wkly,mean_wkly
improved_phaseggg_confirmed_only_robust_offense,calm_trend,295,0.04085050192523543,0.5144977082301727,0.011029342502408772,0.0008310759639948504
improved_phaseggg_confirmed_only_robust_offense,neutral_mixed,493,0.11211233905761886,1.463045163640111,0.010637385959756253,0.002102078804815568
improved_phaseggg_confirmed_only_robust_offense,recovery_confirmed,44,0.02570451511736649,0.3482473696428566,0.01035409176516566,0.0005406752181963573
improved_phaseggg_confirmed_only_robust_offense,recovery_fragile,49,0.0666705276141002,1.153957085358164,0.008095058348422435,0.0012741338339297918
improved_phaseggg_confirmed_only_robust_offense,stressed_panic,229,0.035802805834722395,0.48174004705597084,0.010328873496037795,0.0007300081704646803
improved_phase2b_regime_confidence_boost,calm_trend,295,0.03558351868547227,0.38492758455722786,0.012841197562773004,0.0007552175162830647
improved_phase2b_regime_confidence_boost,neutral_mixed,493,0.11043252730450281,1.4636780756082162,0.010473472100739739,0.0020712148039303295
improved_phase2b_regime_confidence_boost,recovery_confirmed,44,0.026147257209693242,0.38912386726476333,0.009426027624973075,0.0005399585327544482
improved_phase2b_regime_confidence_boost,recovery_fragile,49,0.06973508185847388,1.3304864198616866,0.007343728600611555,0.0013236555558595474
improved_phase2b_regime_confidence_boost,stressed_panic,229,0.03369319983341135,0.4978150573949313,0.009406387702147431,0.00068168964870096
improved_phase2b_combo_abc,calm_trend,295,0.035658624830249064,0.3860974751140002,0.01282931002242353,0.0007564612432948685
improved_phase2b_combo_abc,neutral_mixed,493,0.10953598886437232,1.4563928514466833,0.010440409452103559,0.0020553112308033038
improved_phase2b_combo_abc,recovery_confirmed,44,0.025594242377825482,0.37906261555187376,0.009471565394466485,0.0005300110141975262
improved_phase2b_combo_abc,recovery_fragile,49,0.06769593570471377,1.2979088403931742,0.0073079262262112695,0.0012866644732256304
improved_phase2b_combo_abc,stressed_panic,229,0.03433145625197587,0.5151054563510021,0.0092628519154454,0.0006922047381164196
improved_phaseeee_smoothed_near_exclude_dual,calm_trend,295,0.04087342224509771,0.5147858658107666,0.011029353553243894,0.0008314999265152938
improved_phaseeee_smoothed_near_exclude_dual,neutral_mixed,493,0.11211260868391748,1.4630325240236308,0.010637503442379076,0.002102084684460976
improved_phaseeee_smoothed_near_exclude_dual,recovery_confirmed,44,0.022593174189495135,0.30703916572029427,0.010322239035890543,0.0004819025159896776
improved_phaseeee_smoothed_near_exclude_dual,recovery_fragile,49,0.06668914638165191,1.1556478861497606,0.008085472023788958,0.0012743928984585507
improved_phaseeee_smoothed_near_exclude_dual,stressed_panic,229,0.03586454961605323,0.4825891556342663,0.010328481326623047,0.0007311512495283885
