Date,ticker,distribution,pull_timestamp_utc,source
1993-03-19,SPY,0.213,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1993-06-18,SPY,0.318,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1993-09-17,SPY,0.286,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1993-12-17,SPY,0.317,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1994-03-18,SPY,0.271,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1994-06-17,SPY,0.305,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1994-09-16,SPY,0.288,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1994-12-16,SPY,0.363,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1995-03-17,SPY,0.268,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1995-06-16,SPY,0.316,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1995-09-15,SPY,0.312,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1995-12-15,SPY,0.382,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1996-03-15,SPY,0.285,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1996-06-21,SPY,0.351,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1996-09-20,SPY,0.352,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1996-12-20,SPY,0.367,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1997-03-21,SPY,0.299,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1997-06-20,SPY,0.35,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1997-09-19,SPY,0.348,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1997-12-19,SPY,0.38,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1998-03-20,SPY,0.313,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1998-06-19,SPY,0.352,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1998-09-18,SPY,0.359,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1998-12-18,SPY,0.392,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1999-03-19,SPY,0.32,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1999-06-18,SPY,0.405,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1999-09-17,SPY,0.372,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
1999-12-17,SPY,0.348,2026-04-15T08:19:22.939776+00:00,yfinance.dividends
