security_id,ticker,universe,effective_from,effective_to,knowledge_at_utc,source_revision,point_in_time_membership,selection_method
legacy-yahoo:BIL,BIL,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:DBA,DBA,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:EEM,EEM,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:EFA,EFA,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:EWJ,EWJ,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:GLD,GLD,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:HYG,HYG,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:IAU,IAU,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:IEF,IEF,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:IWM,IWM,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:LQD,LQD,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:MBB,MBB,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:PDBC,PDBC,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:QQQ,QQQ,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:SHY,SHY,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:SLV,SLV,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:SPY,SPY,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:TIP,TIP,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:TLT,TLT,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
