,decisions,mean_ic,t_stat,bootstrap_p,clears_bonferroni,decile_spread_per_period,decile_spread_annualised,monotonicity,monotonicity_middle_8,inconclusive
OOS 2013-2022 | growth_top5,39,-0.005118027147215474,-0.38266240703078674,0.675,False,-0.013845398264014097,-0.05424200236794907,-0.062315462315462304,0.020146520146520148,False
OOS 2013-2022 | cash_conversion_breadth20,39,0.028811908669128538,1.8935630449258134,0.091,False,0.005847199247277493,0.023594736249137993,0.014452214452214451,-0.020757020757020767,False
OOS 2013-2022 | balance_sheet_quality,39,0.00018394906828651518,0.014424172070968449,0.99,False,-0.0006414918678537923,-0.0025634994562725444,0.009790209790209777,0.04517704517704516,False
IN 2023-2026 | balance_sheet_quality,14,-0.009108615463206819,-0.42786827516020814,0.7225,False,-0.012572771909207189,-0.04935056483159961,-0.10216450216450214,-0.12244897959183676,False
IN 2023-2026 | cash_conversion,14,0.01751970086450794,0.6692110565949106,0.64175,False,-0.03635855032593806,-0.13769304457275855,-0.007792207792207803,0.08503401360544219,False
IN 2023-2026 | profitability,14,0.03181548054367576,1.0114692011900757,0.2355,False,-0.027340692072136148,-0.10495887899375467,-0.07705627705627702,-0.02040816326530612,False
IN 2023-2026 | quality_acceleration,13,0.02462512816891066,1.1513202740672022,0.1575,False,0.0060571632541993135,0.024449678653567286,0.07226107226107224,0.16117216117216118,False
IN 2023-2026 | shareholder_discipline,14,0.02854015953515029,0.8603356035959003,0.2295,False,-0.013809210719467113,-0.054103174060509684,-0.030303030303030293,-0.037414965986394585,False
IN 2023-2026 | composite_value,14,0.028984617062825326,1.1165319203111623,0.341,False,-0.008761284430206975,-0.03458726126795875,-0.006060606060606072,-0.010204081632653078,False
IN 2023-2026 | earnings_yield,14,0.034826497140343485,1.0714800410706609,0.1195,False,-0.02522677253768347,-0.09715256111084214,0.016450216450216437,0.0663265306122449,False
IN 2023-2026 | free_cash_flow_yield,14,0.023392032750917894,0.775532950459495,0.64425,False,-0.027966943963727002,-0.10726176174414892,-0.0017316017316017427,-0.02380952380952382,False
IN 2023-2026 | quality_at_reasonable_price,14,0.030274611644148713,1.1039864183462067,0.1875,False,-0.024407775837026777,-0.09411447402144024,-0.06406926406926405,-0.042517006802721094,False
IN 2023-2026 | sales_yield,14,0.006865829059169972,0.2893634934409563,0.7375,False,0.03135600708759557,0.13144750691576101,0.16796536796536793,0.11904761904761907,False
