model_name,model_family,feature,importance,importance_type,scaled_features
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,trailing_return_1w,4.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,trailing_return_4w,5.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,trailing_return_13w,3.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,trailing_return_26w,18.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,trailing_return_52w,10.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,momentum_12_1,19.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,realized_vol_4w,3.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,realized_vol_13w,13.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,realized_vol_26w,18.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,rolling_sharpe_13w,19.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,rolling_sharpe_26w,5.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,rolling_max_drawdown_26w,4.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,drawdown_from_52w_high,14.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,relative_strength_vs_SPY_4w,9.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,relative_strength_vs_SPY_13w,3.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,relative_strength_vs_BIL_4w,4.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,relative_strength_vs_BIL_13w,20.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,beta_to_SPY_26w,48.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,corr_to_SPY_26w,45.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,cross_sectional_return_rank_13w,4.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,cross_sectional_return_rank_26w,27.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,cross_sectional_vol_rank_13w,50.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,market_state_calm_trend,0.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,market_state_neutral_mixed,1.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,market_state_recovery_confirmed,0.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,market_state_recovery_fragile,0.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,market_state_stressed_panic,0.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,risk_regime_score,19.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,market_drawdown,13.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,market_trend_positive,0.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,breadth_sma_43,3.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,breadth_26w_mom,2.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,breadth_13w_mom,8.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,breadth_change_4w,1.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,canary_breadth_default,3.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,canary_breadth_pair,6.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,recent_stress_26w,0.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,avg_corr_risk_off_z,12.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,google_fear_z_tradable,44.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,transition_persistence_prob,13.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,transition_good_state_prob,13.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,transition_non_stress_prob,7.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,z_dd_neg,16.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,z_breadth_decay,14.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,z_stress,24.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,z_corr,7.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,z_inv_trans,9.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,deterioration_z,26.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,deterioration_rank_neutral_mixed,3.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,confidence_score_p2b,3.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,defensive_overlay_hint,0.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,market_vol_risk_off_z,22.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,market_drawdown_risk_off_z,22.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,breadth_risk_off_z,13.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,macro_risk_score_tradable,8.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,vix_level_z_tradable,4.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,vix_slope_risk_off_z_tradable,6.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,overlay_multiplier,4.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,target_vol_multiplier,27.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,defensive_weight,2.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,p_stress_forecast,16.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,p_regime_confidence_refreshed,9.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,p_regime_confidence_blend25,3.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,pct_above_50d_ma,16.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,pct_above_100d_ma,11.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,pct_above_200d_ma,8.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,pct_positive_13w_return,7.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,pct_positive_26w_return,5.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,pct_near_52w_high,10.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,equal_weight_stock_return,0.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,stock_count_available,20.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,median_stock_13w_return,3.0,feature_importance,False
lightgbm_lambdarank_relevance_4w,lightgbm_ranker,median_stock_26w_return,2.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,trailing_return_1w,0.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,trailing_return_4w,3.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,trailing_return_13w,3.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,trailing_return_26w,3.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,trailing_return_52w,32.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,momentum_12_1,11.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,realized_vol_4w,0.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,realized_vol_13w,3.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,realized_vol_26w,14.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,rolling_sharpe_13w,3.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,rolling_sharpe_26w,3.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,rolling_max_drawdown_26w,9.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,drawdown_from_52w_high,2.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,relative_strength_vs_SPY_4w,1.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,relative_strength_vs_SPY_13w,4.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,relative_strength_vs_BIL_4w,1.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,relative_strength_vs_BIL_13w,1.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,beta_to_SPY_26w,53.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,corr_to_SPY_26w,31.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,cross_sectional_return_rank_13w,0.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,cross_sectional_return_rank_26w,0.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,cross_sectional_vol_rank_13w,14.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,market_state_calm_trend,0.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,market_state_neutral_mixed,0.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,market_state_recovery_confirmed,0.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,market_state_recovery_fragile,0.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,market_state_stressed_panic,0.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,risk_regime_score,5.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,market_drawdown,3.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,market_trend_positive,0.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,breadth_sma_43,3.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,breadth_26w_mom,6.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,breadth_13w_mom,0.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,breadth_change_4w,0.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,canary_breadth_default,3.0,feature_importance,False
lightgbm_lambdarank_relevance_13w,lightgbm_ranker,canary_breadth_pair,2.0,feature_importance,False
