annual_return,annual_volatility,sharpe,max_drawdown,calmar,cvar_5,average_turnover,annual_cost_drag,average_bil_exposure,average_safe_exposure,average_risky_exposure,average_ml_exposure,average_top3_weight,top_quintile_hit_rate,active_weeks,rank_ic,spearman_rank_corr,ndcg_5,ndcg_10,model_top10_hit_rate,strategy_name,model_name,model_family,target_name,ranking_target,allocation_method,wrapper,split,cost_bps,category
0.017347302027019618,0.004850135462547077,3.576663406821545,-0.023323856243222085,0.7437578866085125,-0.0011641241697424648,,0.0,0.0,0.0,1.0,0.0,,,332.0,,,,,,mlx12_decision_focused,,,,,,,holdout,,benchmark
,,1.276038782680625,-0.14563007572051745,,-0.04166140782620685,,,,,,,,,,,,,,,mlx5c_bil_fallback_mean_summary,,,,,,,holdout,,benchmark_summary_only
0.1028000022659954,0.08822340432354996,1.1652237074074734,-0.12438730493510075,0.8264509173153276,-0.0256089508803523,,0.0,0.0,0.0,1.0,0.0,,,319.0,,,,,,mlx13_holdout_diagnostic,,,,,,,holdout,,benchmark
0.09549685056513968,0.08810823405283132,1.083858411097855,-0.11773854403501693,0.811092504564501,-0.02657510073117912,,0.0,0.0,0.0,1.0,0.0,,,328.0,,,,,,mlx3_tabular,,,,,,,holdout,,benchmark
0.09549685056513968,0.08810823405283132,1.083858411097855,-0.11773854403501693,0.811092504564501,-0.02657510073117912,,0.0,0.0,0.0,1.0,0.0,,,328.0,,,,,,mlx4_mlp,,,,,,,holdout,,benchmark
0.09760366038265689,0.09017454946942635,1.0823858944340983,-0.1242118736118707,0.7857836577495204,-0.027486298648517732,0.04740552327890351,0.002465087210502982,0.021686746987951807,0.022108223387800913,0.07861445783132529,0.07861445783132529,0.031179083426030485,0.3710365853658536,332.0,0.03595803956814335,0.03595803956814335,0.457266249574291,0.4401817414902959,0.3710365853658536,random_forest_classifier_top_quintile_4w__top10_inverse_vol__phase4b_core_plus_10pct_ranker_sleeve,random_forest_classifier_top_quintile_4w,random_forest_classifier,top_quintile_forward_4w,classification_relevance,top10_inverse_vol,phase4b_core_plus_10pct_ranker_sleeve,holdout,10.0,learning_to_rank_model
0.09766942430207437,0.09086394187936911,1.0748975036955828,-0.12135574326226661,0.804819134855424,-0.02784282425577554,0.04847767584810029,0.0025208391441012153,0.021686746987951807,0.02227883853753877,0.07861445783132529,0.07861445783132529,0.03066500146933088,0.3411585365853659,332.0,0.046260341166742984,0.046260341166742984,0.4130880464055626,0.4123887311295995,0.3411585365853659,xgboost_rank_ndcg_relevance_4w__top10_inverse_vol__phase4b_core_plus_10pct_ranker_sleeve,xgboost_rank_ndcg_relevance_4w,xgboost_ranker,forward_return_4w_rank_relevance,relevance_4w,top10_inverse_vol,phase4b_core_plus_10pct_ranker_sleeve,holdout,10.0,learning_to_rank_model
0.09819953704705342,0.09158917132575564,1.0721740968458668,-0.1263324666635286,0.7773103750803515,-0.02766678428134267,0.05791763624876377,0.0030117170849357166,0.021686746987951807,0.022136619817557854,0.07861445783132529,0.07861445783132529,0.05510509692783223,0.40487804878048783,332.0,0.03595803956814335,0.03595803956814335,0.457266249574291,0.4401817414902959,0.3710365853658536,random_forest_classifier_top_quintile_4w__top5_inverse_vol__phase4b_core_plus_10pct_ranker_sleeve,random_forest_classifier_top_quintile_4w,random_forest_classifier,top_quintile_forward_4w,classification_relevance,top5_inverse_vol,phase4b_core_plus_10pct_ranker_sleeve,holdout,10.0,learning_to_rank_model
0.09640932857027051,0.09006811457832387,1.0704046489885417,-0.12438730493510075,0.7750736992056562,-0.027214076194124446,,0.0,0.0,0.0,1.0,0.0,,,328.0,,,,,,phase4b,,,,,,,holdout,,benchmark
0.09561249554211626,0.08963277553772858,1.0667135427695271,-0.12011871481073855,0.7959833377568618,-0.02727932576920061,0.041324635058342676,0.002148881023033819,0.021686746987951807,0.022317258053369093,0.07861445783132529,0.07861445783132529,0.02161226903407611,0.34390243902439027,332.0,0.03595803956814335,0.03595803956814335,0.457266249574291,0.4401817414902959,0.3710365853658536,random_forest_classifier_top_quintile_4w__top15_inverse_vol__phase4b_core_plus_10pct_ranker_sleeve,random_forest_classifier_top_quintile_4w,random_forest_classifier,top_quintile_forward_4w,classification_relevance,top15_inverse_vol,phase4b_core_plus_10pct_ranker_sleeve,holdout,10.0,learning_to_rank_model
