decision_date,point_in_time_members,feature_complete,eligible_names,selected_names,status
2024-02-01,80,75,74,12,candidate
2024-03-01,80,76,75,12,candidate
2024-04-01,80,78,75,12,candidate
2024-05-02,80,79,78,12,candidate
2024-06-03,80,79,78,12,candidate
2024-07-01,80,79,78,12,candidate
2024-08-01,80,80,75,12,candidate
2024-09-02,80,80,77,12,candidate
2024-10-01,80,80,77,12,candidate
2024-11-01,80,80,78,12,candidate
2024-12-02,80,80,77,12,candidate
2025-01-02,80,80,75,12,candidate
2025-02-03,80,80,76,12,candidate
2025-03-03,80,80,74,12,candidate
2025-04-08,80,80,74,12,candidate
2025-05-02,80,80,78,12,candidate
2025-06-02,80,80,78,12,candidate
2025-07-01,80,80,78,12,candidate
2025-08-01,80,79,79,12,candidate
2025-09-01,80,79,79,12,candidate
2025-10-01,80,79,77,12,candidate
2025-11-03,80,78,77,12,candidate
2025-12-01,80,78,77,12,candidate
2026-01-02,80,79,79,12,candidate
2026-02-02,80,80,80,12,candidate
2026-03-02,80,80,80,12,candidate
2026-04-01,80,80,80,12,candidate
2026-05-04,80,80,80,12,candidate
2026-06-02,80,80,78,12,candidate
2026-07-01,80,80,79,12,candidate
2026-08-03,80,80,79,12,candidate
