candidate,recent_cagr,recent_sharpe,recent_drawdown,two_year_cagr,two_year_sharpe,two_year_drawdown,full_cagr,full_sharpe,full_drawdown,severe_200bps_recent_cagr,worst_delay_recent_cagr,worst_five_issuer_recent_cagr,rolling_26w_outperformance_share,raw_bootstrap_probability,familywise_bootstrap_probability,deflated_sharpe_probability,average_gross_exposure,maximum_gross_exposure,probability_of_backtest_overfitting,passes_historical_gates
fixed_2.00x_8pct,3.3782524894798263,3.1317504856896714,-0.22015926713777434,1.4126794786837453,2.123576101833836,-0.3649855270301001,0.7382400132688702,1.6049368307325715,-0.37158102501607404,2.423864727947779,2.791638671410571,2.8483465703629767,0.6904761904761905,0.9924,0.8327999999999989,0.8590224382927849,2.0,2.0,0.37142857142857144,False
kelly30_cap2.00,3.3423842222929308,3.1137987317321243,-0.22015926713777445,1.135749567283046,2.0815205709925935,-0.22463389488353924,0.5758075707720007,1.5083721379926056,-0.31078900453151037,2.3733990879934477,2.768784762566242,2.82537288459151,0.38095238095238093,0.7542,0.0,0.8678813836173749,1.5718086156316866,2.0,0.37142857142857144,False
fixed_2.00x_12pct,3.2108365915945996,3.054716001013531,-0.22390456738804798,1.3194088458990412,2.0383643757246785,-0.3739621734917764,0.6706662101399115,1.5034652868902374,-0.3904160414347586,2.2923544208444606,2.646284484442596,2.700857205463902,0.5714285714285714,0.9666,0.2652000000000003,0.8139015013341413,2.0,2.0,0.37142857142857144,False
kelly20_cap2.00,3.136313220231937,3.0525904235071915,-0.21376388150285108,1.1433148360679772,2.1425337095365715,-0.2137638815028512,0.5726408797426474,1.5464372218645106,-0.23827442798154386,2.1030252215191796,2.5697648717119668,2.6260577010510024,0.40476190476190477,0.741,0.0,0.8908729751239122,1.4744146343439533,2.0,0.37142857142857144,False
fixed_1.80x_8pct,2.8561404391583243,3.148869260062146,-0.19923399158184696,1.249857045986957,2.1425120409692044,-0.3308275410961542,0.6697891176047859,1.6276885813918156,-0.3329731282030667,2.086853749552821,2.384138514396172,2.4300374393017052,0.7023809523809523,0.9924,0.8327999999999989,0.8679763341426602,1.8000000000000005,1.8,0.37142857142857144,False
fixed_1.80x_12pct,2.7374973765712416,3.080394162572244,-0.2022981280559346,1.1799432748381342,2.066768284427731,-0.33837994838525,0.6176325719529596,1.537490951918862,-0.34898373081841705,1.9914908174638954,2.2797746145192073,2.3242835303489784,0.5595238095238095,0.9592,0.10240000000000116,0.8299719179693809,1.8000000000000005,1.8,0.37142857142857144,False
vol40_cap2.00_8pct,2.6943764516444095,3.1869396914662302,-0.1760465612311818,1.1123678571615185,1.994045727805279,-0.36429485153357133,0.6002818901360787,1.4896223453107507,-0.37089752313375424,2.006522350016126,2.30358731928667,2.3414539692352596,0.6309523809523809,0.9204,0.0,0.7864833020239758,1.8255638450992595,2.0,0.37142857142857144,False
vol40_cap2.00_12pct,2.589018091182046,3.1207569483712234,-0.1780751061610547,1.046416493453291,1.9175629845006255,-0.3727960678854737,0.5486079646888546,1.3976260465992452,-0.38928058405263877,1.9193067821555978,2.20706879422461,2.244584856910956,0.5297619047619048,0.8038,0.0,0.7370331130673499,1.8255638450992595,2.0,0.37142857142857144,False
fixed_1.65x_8pct,2.499584669873,3.1644317822189416,-0.1832578954610562,1.1318289351886155,2.1597265310922666,-0.30447862292375805,0.6185631844065462,1.6483721069502786,-0.30447862292375794,1.851404887666622,2.1024277519986843,2.1412208139336957,0.7023809523809523,0.9924,0.8327999999999989,0.8757556511808672,1.6499999999999997,1.65,0.37142857142857144,False
fixed_1.65x_12pct,2.4117147751473986,3.103737945807437,-0.1857894859630047,1.0778075214727787,2.0925900196123237,-0.31084742801379284,0.5773499981324506,1.5684236520191481,-0.31684704902155436,1.779538822097312,2.024360920082094,2.0621955221445774,0.5357142857142857,0.946,0.0,0.8437517612194502,1.6499999999999997,1.65,0.37142857142857144,False
