candidate,selection_order,maximum_overlap,latest_realized_overlap,latest_distinct_holdings,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,worst_delay_recent_cagr,endpoint_outperformance_share,rolling26_outperformance_share,rolling26_windows,worst_missing_bundle_recent_cagr,peak_total_stock_weight,minimum_raw_bootstrap_probability_vs_predecessor,bonferroni_adjusted_probability_vs_predecessor,all_candidate_gates
cash_first_overlap20,cash_first,20,14,26,1.2420414930921906,3.1028844174788257,-0.08708758375337322,0.4273578340691979,1.0726891496158184,1.2280379258660892,0.0,0.0,163,1.0931712975015522,0.07025288590307753,0.8582,1.0,False
balance_first_overlap12,balance_first,12,12,28,1.2237265606141277,3.0780156870083295,-0.08708758375337322,0.4241231833866492,1.0558679592555098,1.2123079034616144,0.21428571428571427,0.018404907975460124,163,1.0920689784255342,0.07123432013504874,0.7088,0.0,False
cash_first_overlap10,cash_first,10,10,30,1.1678162613991336,2.9618653722355557,-0.08708758375337322,0.4156854482564829,1.0046123042920438,1.1565953830530442,0.14285714285714285,0.4723926380368098,163,1.0818885292442517,0.06668999790699717,0.1306,0.0,False
cash_first_overlap12,cash_first,12,12,28,1.2364121927561635,3.0958068689061853,-0.08708758375337322,0.4263656690060711,1.0675146518794927,1.2222696412038427,0.42857142857142855,0.03680981595092025,163,1.0681741822076098,0.07001260533638638,0.8358,0.0,False
balance_first_overlap10,balance_first,10,10,30,1.2200932562400615,3.080207645594814,-0.08708758375337322,0.42809140360269393,1.0526089586282774,1.205526453781316,0.21428571428571427,0.4539877300613497,163,1.0587216179654253,0.07016813876153949,0.5996,0.0,False
balance_first_overlap6,balance_first,6,6,34,1.1164250172134507,2.8920188561617324,-0.08708758375337322,0.3956301081358291,0.9580203321235574,1.1042184543082518,0.0,0.4294478527607362,163,1.0496769143947002,0.07147396274062029,0.0646,0.0,False
balance_first_overlap8,balance_first,8,8,32,1.2164323576182188,3.082043992698042,-0.08708758375337333,0.42071644110021733,1.049398588680429,1.203361561360662,0.0,0.49693251533742333,163,1.0405993028367608,0.07042979002966665,0.539,0.0,False
balance_first_overlap2,balance_first,2,2,38,1.1228001188378496,2.9189773038528055,-0.08708758375337311,0.4183307276479271,0.9639523145836129,1.1099587537298397,0.0,0.5644171779141104,163,1.0271323734442221,0.06965830821642187,0.0788,0.0,False
balance_first_overlap4,balance_first,4,4,36,1.118941061374561,2.9088851315301416,-0.08708758375337322,0.41159293331460045,0.9604436614614835,1.1057287198151817,0.0,0.5398773006134969,163,1.0226548902402142,0.07222609478780512,0.0544,0.0,False
cash_first_overlap4,cash_first,4,4,36,1.1282537124610879,2.9144672362689747,-0.08708758375337322,0.39812286972255406,0.9686283546153758,1.122396876419042,0.0,0.4049079754601227,163,0.9747246217423708,0.06499726164706278,0.0744,0.0,False
cash_first_overlap6,cash_first,6,6,34,1.163705256299477,2.9649386638804596,-0.087087583753373,0.40217374545543927,1.0009875453020838,1.150914337530661,0.0,0.3312883435582822,163,0.9734190004742198,0.06593978064426217,0.1226,0.0,False
cash_first_overlap8,cash_first,8,8,32,1.2367569909773275,3.118757301858644,-0.087087583753373,0.43311094332866285,1.0680012096894989,1.2280713172288684,0.21428571428571427,0.6932515337423313,163,0.9724340537989975,0.06690580340023188,0.825,0.0,False
cash_first_overlap2,cash_first,2,2,38,1.1138839295769398,2.8855542441619715,-0.087087583753373,0.3737351624963199,0.9555398996012703,1.108704766374113,0.0,0.34355828220858897,163,0.9332455264373547,0.06457778539715545,0.055,0.0,False
balance_first_overlap0,balance_first,0,0,40,1.090249265680305,2.852844498247492,-0.08708758375337322,0.41290566292291175,0.933615299256733,1.0846141219083059,0.0,0.5766871165644172,163,0.9176740959764877,0.03848665198239897,0.0362,0.0,False
cash_first_overlap0,cash_first,0,0,40,1.106113732056639,2.8760885557932907,-0.087087583753373,0.40722387258250214,0.9484527031754335,1.1029429782566744,0.42857142857142855,0.6687116564417178,163,0.9101045297411949,0.03834483323224407,0.0492,0.0,False
