run_id,title,family,central_question,key_strategies_models,required_data,universe,horizon,primary_targets,baselines,constraints_removed,controls_retained,dependencies,difficulty_1_10,data_cost,duration_class,advancement_criteria,failure_conditions
R00,Governance reset and new holdout declaration,foundation,What validation regime governs all offensive runs?,trial registry; new untouched holdout 2026+; pre-registration templates; cost models per instrument,none new,n/a,n/a,n/a,existing Phase D stack,none,all statistical controls,none,2,$0,days,Registry operational; holdout sealed,n/a
R01,PIT stock breadth confirmation,core_alpha,Does the +0.517%/4w calm-trend breadth lift survive PIT data?,breadth quality signals; state tilts,Norgate Platinum,S&P500 PIT constituents,4w,calm-state offense scaling value,production pin; 5A-Free biased diagnostic,none (runs in existing stack),full Phase D,R00,2,~$110/mo,weeks,Calm-trend Sharpe +0.10 holdout; overall not worse,Lift vanishes under PIT data
R02,Regime engine offensive rebuild (PBI native + jump model),core_alpha,How much return is recoverable from panic/recovery states when modifiers are not frozen?,PBI native integration; statistical jump model; HMM benchmark; per-asset states,existing + Norgate breadth,ETFs + breadth,weekly,early-recovery capture; state stability,pin; confirm1 A/B/C,stressed_panic freeze; BIL floor in improving-panic,episode stop-loss; walk-forward labels,R01,5,$0 incremental,weeks-months,Early-recovery capture +5pp per episode without 2008-type blowup,Improving-panic fires in collapsing panics
R03,Single-stock universe foundation + momentum family,core_alpha,Do cross-sectional momentum variants deliver on 500-2000 stocks what 35 ETFs could not?,XS momentum; residual momentum; 52w-high; skip-month; crash controls,Norgate full US,Russell1000-ish PIT,1-12m,decile spreads; top-k net CAGR,SPY; equal-weight; ETF dual-momentum sleeve,ETF-only universe,survivorship-free; delisting returns; costs,R01,5,in Norgate,months,Net long/short spread t>2 post-2010 sample; long-only top-k beats SPY risk-adjusted,Spreads vanish post-2010
R04,Concentrated long-only compounder,core_alpha,Can concentrated top-k ranking beat SPY net of costs?,top 5-20 ranking portfolios; stops; sector caps,Norgate,US large/mid,1-4w rebal,net CAGR; expectancy; MaxDD,SPY buy-hold; 60/40; production pin,HRP dilution; min-diversification,position stops; turnover accounting,R03,4,in Norgate,weeks,Net CAGR > SPY+2pp OR = SPY with MaxDD 10pp better,Concentration only adds vol not return
R05,Long/short equity engine v1,core_alpha,Does shorting unlock the relative signals that failed long-only?,residual momentum L/S; reversal L/S; beta/sector neutralization; GBM ranker,Norgate + borrow proxies,US large caps (easy borrow),1-4w,dollar-neutral net return; residual alpha,long-only versions (Track C); zero,no-shorting,easy-borrow universe; borrow fee haircuts; beta neutrality verified,R03,7,in Norgate,months,Market-neutral net Sharpe > 0.8 with beta < 0.1,Costs/borrow eat spread
R06,Fundamental factor library,core_alpha,Which fundamental factors survive on retail PIT data?,value composite; quality/profitability; investment; issuance; accruals; BAB,Sharadar SF1,US equities,3-12m,factor spreads; IC,published factor returns (Ken French),ETF-only,PIT as-reported fundamentals; FDR control across factors,R03,5,~$50/mo,months,>=3 factors with net spread t>2 replicating published sign,Retail data too noisy to replicate
R07,Statistical arbitrage v1 (residual reversal + clustered pairs),adjacent_alpha,Does residual mean reversion pay after costs at daily frequency?,cluster-based pairs; PCA residual reversal; Kalman hedge ratios; sparse baskets,Norgate daily,US large caps,1-20d,pair PnL after costs; residual IC,focused_reversal internal evidence; naive distance pairs,shorting; weekly-only rebalance,strict cost model incl borrow; regime break stops,R05,7,in Norgate,months,Net Sharpe > 1 dollar-neutral on 2015+ sample,Post-2010 decay confirmed for all variants
R08,Micro-futures trend and macro platform,core_alpha,Does multi-market trend replication work at solo scale?,multi-speed TSMOM; breakout ensembles; vol scaling; crisis behavior,Norgate futures or Databento CME,10-15 micro futures,2w-12m,net CAGR; crisis convexity; correlation to equity sleeves,SG Trend Index; KMLM/DBMF ETFs,long-only; no-leverage; ETF-only,margin discipline (2x notional cap); roll costs,R00 + capital check G08,6,~$100-200/mo,months,Correlation < 0.3 to equity book with positive standalone expectancy,Cost drag at micro scale destroys edge
R09,Macro factor conditioning v2 (vintage data),adjacent_alpha,Do growth/inflation quadrants allocate capital better than neutral_mixed pooling?,FRED-MD vintage PCA; nowcasting; quadrant-conditional sleeve budgets,ALFRED vintages (free),cross-asset sleeves,monthly,quadrant return spreads OOS; allocation value,V3 classifier; pooled allocation,weekly-overlay framing,2-month publication lag; vintage-only data,R08 helpful not required,5,$0,weeks-months,Holdout rank consistency achieved with vintages + lag,Quadrants unstable under honest lags
R10,Cross-asset carry,adjacent_alpha,Does curve-based carry add a non-equity return source?,commodity curve carry; FX carry+value+trend; bond carry; vol carry (VIX futures),futures curves (Norgate/Databento),micro futures + VIX,1-3m,carry sleeve net return; crash profile,passive futures basket,long-only,carry-crash overlay; sizing caps,R08,6,in futures data,months,Positive expectancy uncorrelated to trend sleeve,Carry crashes dominate sample
R11,Event-driven feasibility (merger arb + corporate events),adjacent_alpha,Which event strategies are retail-feasible with systematic discipline?,cash-deal merger arb; spinoffs; buyback/issuance; index effect (expect negative),deal/event data (Sharadar events + manual),US events,1-12m,per-event expectancy; annualized spread capture,cash yield; event-study literature,ETF-only,deal-break sizing limits,R06,6,low,months,Merger sleeve net > cash + 3pp with controlled breaks,Spread capture < costs at retail speed
R12,Earnings alpha (PEAD + revisions),adjacent_alpha,Is PEAD alive in small/mid caps on honest PIT data?,PEAD; SUE ranks; revision momentum; announcement-window returns,Sharadar + earnings dates,US small/mid,1-13w,post-announcement drift capture,Martineau decay claim; large-cap null,ETF-only; weekly-only,PIT announcement timestamps; liquidity filters,R06,6,low,months,Small-cap drift net t>2 post-2015,Drift gone even in small caps
