strategy,family,mechanism,markets,required_data,horizon,expression,shorting_leverage,turnover,capacity,evidence_strength,crowding_decay_risk,tail_risk,atlas_prior_test,offensive_test_difference,tier,proposed_run,difficulty_1_10,key_sources
time_series_momentum,momentum_trend,Behavioral underreaction + slow capital flows,futures/ETFs/crypto,daily prices,1-12m,long/short trend,shorting natural; leverage via futures,med,very high,strong (century-scale; 2020-25 OOS positive),med (crowded but persistent),momentum crashes at reversals,cta_trend_long_only (long-only ETF proxy),Full long/short on futures with vol scaling; multi-speed ensemble,1,Run 8,4,Moskowitz-Ooi-Pedersen 2012; arxiv 2507.15876; Man Group 2025
cross_sectional_momentum_stocks,momentum_trend,Underreaction/herding across stocks,US equities 500-2000 names,survivorship-free daily prices,1-12m skip-month,long/short deciles or long top-k,shorting doubles spread,med-high,high,strong (globally replicated; Jensen et al. 93 countries),med-high (post-publication decay ~1/3-1/2),momentum crashes (2009); crash controls exist,dual_momentum_topn on 35 ETFs only,500-2000 stock breadth; residual/idiosyncratic variants; crash control overlay,1,Run 3/5,5,Jegadeesh-Titman 1993; Jensen-Kelly-Pedersen 2023
residual_idiosyncratic_momentum,momentum_trend,Momentum net of factor exposure - purer signal lower crash risk,US equities,prices + factor model,6-12m,long/short residual ranks,shorting required,med,high,strong-moderate,med,lower crash risk than raw momentum,track_c residual xsmom long-only top5 FAILED (long-only expression destroyed it),Proper long/short residual construction on wide stock panel,1,Run 5,5,Blitz-Huij-Martens 2011; factor momentum lit 2024-25
factor_momentum,momentum_trend,Factors themselves trend; explains stock momentum,factor portfolios,factor returns,1-12m,long/short factor timing,implicit,med,high,strong (robust to PC construction; persists post-publication),med,factor crowding unwinds,never,Factor momentum over an implemented factor zoo,2,Run 6,6,Ehsani-Linnainmaa 2022; ScienceDirect 2024 intl evidence
overnight_drift_night_effect,short_horizon,Market structure + news timing; momentum earned overnight,US equities/ETFs,daily open+close prices,overnight,long close-to-open sleeves,none needed,very high,med,moderate-strong (persistent since 1990s; unexplained),med (execution-cost sensitive),gap risk,never (weekly-only stack),Close-to-open capture strategies; momentum-conditioned overnight holding,2,Run 17,6,Elm Wealth overnight drift; SSRN 5004991; Alpha Architect
short_term_reversal_stocks,reversal,Liquidity provision premium,US equities,daily prices,1-5d to 1-4w,long/short losers/winners market-neutral,shorting essential,very high,med,strong historically; costs eat much,med,inventory-shock regimes,focused_reversal (holdout IC 0.407 composite!) but long-only ETF expression failed,Market-neutral single-stock reversal with cost-aware execution,2,Run 7,7,Lehmann 1990; focused_reversal_recovery_report.md
pead_earnings_drift,event_driven,Underreaction to earnings news,US small/mid caps,earnings dates + estimates + prices,1-13w,long surprise winners (short losers),shorting helps,high,med (small-cap),moderate (2025 papers: alive in small caps; debated),med,earnings gap risk,never,PEAD + revisions on PIT estimate data; small-cap tilt,2,Run 12,6,UCLA Anderson 2025 review; Quantpedia PEAD
earnings_revision_momentum,event_driven,Analyst revision underreaction,US equities,analyst estimates (PIT),1-3m,long/short revision ranks,shorting helps,med-high,high,moderate-strong,med,estimate data cost,never,Revision factor on Sharadar/paid estimates,2,Run 12,6,Chan-Jegadeesh-Lakonishok 1996; arxiv 2411.13813
panic_but_improving_rerisk,regime_timing,Early-recovery capture inside panic states,broad market,"credit, breadth, VIX term structure",weekly,scale offense in improving panic,none,low,very high,internal: 91st pctile nulls + confirm sprint; external: rebound literature,low (contrarian),improving-then-collapsing panics,PBI confirmed but wrapper-capped at +0.003,Native integration with uncapped panic offense - highest-conviction internal finding,1,Run 2,3,moonshot1 + confirm1 reports
pit_stock_breadth_calm_timing,regime_timing,Breadth quality distinguishes healthy vs narrow bulls,broad market,Norgate PIT constituents,4w,offense scaling in calm states,none,low,very high,internal diagnostic +0.517%/4w (biased sample); strong prior,low,narrow-rally misses,Phase 5A scaffold built; blocked on data purchase,Buy Norgate; validated pipeline exists,1,Run 1,2,2026-05-07_phase_5a reports; breakthrough audit
macro_factor_quadrant_allocation,systematic_macro,Growth/inflation quadrants have different optimal assets,cross-asset ETFs/futures,FRED-MD vintages,monthly,quadrant-conditioned sleeve allocation,optional,low,very high,internal: dev spread +1.41%/4w but holdout inversion; external: strong lit,low-med,regime misclassification,V1-V3 + Steps 2-2C all research-only (weekly overlay framing failed),"Monthly capital allocation, vintage data, 2m lag, nowcasting",2,Run 9,5,arxiv 2503.11499; FRED-MD McCracken-Ng
futures_trend_managed_futures,futures,Trend across 30-60 futures markets,"equity index, bond, FX, commodity futures",futures continuous series + rolls,2w-12m,long/short vol-scaled trend,embedded leverage; shorting native,med,very high,strong (crisis alpha 2022),med,trend crashes in reversals; 2023-type whipsaw,never (long-only ETF proxy only),Micro futures make this retail-feasible (~$10-25k); replication literature mature,1,Run 8,6,AQR/Man lit; ReSolve replication; arxiv 2507.15876
carry_cross_asset,carry,Forward rate bias / term premium harvesting,"FX, commodities, bonds, vol",futures curves / forwards,1-3m,long high-carry short low-carry,shorting native,low-med,high,strong (FX carry weaker post-GFC; commodity/vol carry robust),med,carry crashes (FX 2008); crash-prone by construction,track_c carry/value ETF proxy failed long-only,True curve-based carry on futures,2,Run 10,6,Koijen et al. Carry 2018; BIS crypto carry
commodity_curve_carry_backwardation,carry,Hedging pressure + storage theory,commodity futures,futures curves,1-3m,long backwardated short contangoed,native,med,high,strong,med,inventory shocks,never,Cross-sectional commodity curve strategies on micros,2,Run 10,6,Gorton-Rouwenhorst; Erb-Harvey
fx_carry_momentum_value,currency,Rate differentials + PPP anchors + trend,G10 + EM FX,spot/forward rates,1-6m,long/short baskets,native via futures/forwards,low-med,very high,moderate (carry decayed post-GFC; momentum weak recently),med-high,crash risk (unwinds),never,FX via micro futures or IBKR forex; combined carry+value+trend,3,Run 10,6,Menkhoff et al.; Deutsche Bank currency indices
vol_risk_premium_short_vol,options_vol,Insurance premium for crash risk,index options / VIX futures,options chains or VIX futures,2w-2m,short strangles/put spreads/VIX carry,defined-risk versions cap tails,med,high,strong average returns; catastrophic tails (2018 2020 2025 episodes),high crowding,-30%+ drawdowns (SVOL -33% in 2025),never (proxy-priced only),"Defined-risk short premium (iron condors, put credit spreads) with regime gating from Atlas's own engine",2,Run 14,7,SSRN 5464595; Volmageddon FAJ 2021; Barclays VRP
recovery_convexity_long_options,options_vol,Cheap convexity at recovery inflections,SPY/QQQ options,real chains (ORATS),1-3m,long calls / call spreads in confirmed recoveries,long premium only,low,high,internal: only options idea that survived (0.958 vs 0.948 proxy); mechanism real,low,premium bleed if signals fire falsely,options_recovery RESEARCH-ONLY on proxy data,Real chains + PBI/recovery signals as triggers + meaningful premium budget,2,Run 15,6,options_convexity_recovery_report.md
tail_hedge_plus_aggressive_core,options_vol,Convex tail insurance funds higher structural equity exposure,index puts + equity core,real chains,3-12m,90%+ aggressive core + put ladder,long premium,low,high,moderate (drag 1.5-2.5%/yr vs enables higher beta; AQR-Universa debate),low,cost drag in long calms,never,Test whether tail hedge + 100% equity core beats 72% risk assets + 28% BIL,3,Run 15,7,CAIA tail risk comparison; arxiv 2607.00883
dispersion_correlation_trading,options_vol,Implied correlation > realized on average,index vs single-name options,full single-name chains,1-3m,short index vol long single-name vol,complex multi-leg,high,med,moderate-strong institutionally; retail execution kills edge,high,correlation spikes,never,Document as infeasible-at-retail unless simplified proxy (2-5 name dirty dispersion),6,Run 16 (feasibility note),9,Quantpedia dispersion; IBKR dirty dispersion
stat_arb_pairs_baskets,stat_arb,Temporary mispricing between cointegrated equities,US equities,survivorship-free daily/intraday prices,1-20d,long/short pairs/baskets dollar-neutral,shorting essential,very high,med,moderate (classic distance decayed; residual/cluster variants alive; bear-market alpha),high,short squeezes; regime breaks in cointegration,etf_pairs HYG/LQD failed (2 correlated ETFs is not stat arb),100s of stock pairs via clustering + residual mean reversion,2,Run 7,7,Do-Faff; arxiv 2406.10695; UW survey 2025
lead_lag_network_effects,stat_arb,Information diffuses supply-chain/ownership links,US equities,prices + link data,1-10d,long/short lagged responders,shorting,high,med,moderate,med,link data cost,frontier P7 failed at WEEKLY ETF level (wrong horizon/universe),Daily horizon single stocks with economic links,3,Run 7,7,Cohen-Frazzini economic links; Menzly-Ozbas
index_rebalance_effect,event_driven,Forced flows around additions/deletions,US equities,index announcements,days,pre-announcement anticipatory,shorting helps,high,low-med,weakening (effect migrating pre-announcement; disappearing index effect),high,announcement risk,never,Document decay; low priority small edge,4,Run 11,7,Greenwood-Sammon disappearing index effect
merger_arbitrage,event_driven,Deal-completion risk premium,announced M&A targets,deal announcements + terms,1-12m,long target (short acquirer),shorting for stock deals,low-med,med,moderate (HFRI merger arb +8.2% through Q3-2025; spread ~500bps over cash),low-med,deal breaks -20-40% single-name,never,Feasible manually at retail on cash deals; systematic version needs deal data feed,3,Run 11,6,AB 2026 outlook; InsideArbitrage
insider_congress_cluster_buying,alt_data,Informed-trader signal,US equities,SEC Form 4 (free EDGAR) / Quiver,1-6m,long cluster buys,optional,med,med,moderate,med,noise; disclosure lag,never,Free EDGAR Form 4 pipeline; cluster-buy screens,3,Run 19,5,Cohen-Malloy-Pomorski decoding inside info
news_llm_sentiment,alt_data,LLM extraction of underpriced news,US equities,news feed + LLM,1-10d,long/short sentiment ranks,shorting helps,high,med,preliminary-moderate (2024-25 papers promising; already-priced risk),high (fast decay),model artifacts; backfill bias,never,LLM sentiment on point-in-time news with strict timestamp discipline; test vs priced-in null,3,Run 20,7,ScienceDirect sentiment LLM 2024; arxiv 2602 janus-q
filings_language_change,alt_data,Language change in 10-K/Q predicts returns,US equities,EDGAR filings (free),1-12m,long stable short changed,shorting helps,med,med,moderate (Cohen-Malloy-Nguyen Lazy Prices),med,slow decay documented,never,Free EDGAR diff pipeline,3,Run 20,6,Lazy Prices JF 2020
quality_profitability_factor,factor,Quality firms outperform junk,US equities,fundamentals (Sharadar),6-12m,long/short quality ranks,shorting helps,low,very high,strong (robust in replication crisis study),low-med,quality junk rallies,never (no fundamental data in stack),Fundamental factor library on Sharadar,2,Run 6,5,Novy-Marx; AQR QMJ; Jensen et al. 2023
value_composite_stocks,factor,Mispricing + risk premium on cheap stocks,US equities,fundamentals,6-24m,long/short value composite,shorting helps,low,very high,moderate (2010s drawdown; 2021-22 rebound),low (uncrowded post-decade),value traps; long droughts,track_c ETF value proxy failed,Multi-metric value composite on single stocks,2,Run 6,5,Fama-French; Israel-Maloney-Moskowitz
low_vol_betting_against_beta,factor,Leverage-constrained investors overpay for beta,US equities,prices,3-12m,long low-beta short high-beta (levered),leverage needed for BAB proper,low,high,moderate-strong,med,crowding in low-vol,never,BAB on stock panel; interacts with leverage runs,3,Run 6,6,Frazzini-Pedersen BAB
crypto_momentum_carry,crypto,Retail-driven trends + funding-rate carry,BTC/ETH + top-20,exchange APIs (free),1d-4w,long/short perps; funding carry,native on perps (US access constraints),high,med,moderate (funding positive 92% of time; basis compressed to ~4.5% by end-2025),high,exchange/counterparty risk; -50% tails; regulatory,never,Small allocation trend+carry on BTC/ETH via regulated venues,3,Run 21,6,BIS crypto carry WP1087; BitMEX funding research
etf_flow_dislocation,stat_arb,Primary-market frictions vs NAV,ETFs,NAV + price,1-5d,fade dislocations,shorting,high,low-med,weak-moderate at retail granularity,low,APs arbitrage first,never,Document as likely infeasible at retail speed,5,gap register,8,ETF arb literature
gamma_dealer_positioning,options_vol,Dealer hedging flows create predictable drift/pinning,index options,options OI/volume (CBOE),1-10d,conditioning signal for other strategies,none,med,med,preliminary-moderate (GEX popular; mixed formal evidence),med-high,regime-dependent sign,never,GEX-style features as regime conditioners tested against nulls,3,Run 13,6,SqueezeMetrics GEX; Barbon-Buraschi
volatility_forecast_conditioning,vol_forecasting,HAR/GARCH vol forecasts improve sizing,all,daily prices,1d-1m,position sizing input,none,n/a,very high,strong for vol forecastability itself,low,vol-of-vol,GARCH in data hub; down-only throttle research-only,HAR-family + options-implied vol as sizing inputs on offensive base,2,Run 13,4,Corsi HAR; Frontier-2 O4 report
defined_risk_leverage_options,options_vol,Calls/spreads as capped-loss leverage,index/single-name options,real chains,1-6m,long calls replace equity exposure,defined-risk embedded leverage,med,high,moderate,med,theta bleed,options v1/v2 overlay framing failed on proxy data,Options as the exposure vehicle (not overlay) with real chains,3,Run 15,7,lifecycle investing lit; covered-call inverse
kelly_growth_optimal_sizing,portfolio_construction,Log-growth-optimal bet sizing,all,strategy return estimates,n/a,fractional Kelly across sleeves,leverage implied,low,n/a,strong theory; estimation-error sensitive,n/a,over-betting ruin,never (HRP only),Half-Kelly sleeve sizing with drawdown-constrained estimates,2,Run 43,5,Kelly 1956; Thorp; MacLean-Thorp-Ziemba
concentrated_top_k_ranking,portfolio_construction,Conviction concentration monetizes signal strength,US equities,signal ranks,1-4w,top 5-10 equal-weight with stops,optional,med-high,med,moderate (concentration monetizes breadth),med,single-name blowups,never (HRP dilutes everything),Top-k portfolios from Run 3-6 signals vs diluted versions,2,Run 4,4,Grinold-Kahn breadth/IC framework
multi_strategy_sleeve_allocation,portfolio_construction,Uncorrelated sleeve diversification lifts compound growth,all sleeves,sleeve returns,monthly,risk-budgeted sleeve mix,optional,low,high,strong (institutional multi-strat evidence),low,correlation convergence in crises,HRP on 8 correlated long-only ETF sleeves,Genuinely different return sources (trend+equity L/S+options+carry) not 8 flavors of long equity beta,1,Run 44,5,multi-strat hedge fund literature
