constraint,location,original_purpose,return_suppression_mechanism,estimated_suppression_evidence,removal_risk,offensive_retest_plan
long_only_no_shorting,entire stack (all sleeves and allocators),Simplicity; retail account safety,Half of every cross-sectional signal (the short leg) is discarded; relative signals collapse into noisy long tilts,Track C residual xsmom/reversal sleeves failed long-only despite holdout IC 0.18-0.41; academic long/short factors earn most spread on both legs,Short squeezes; borrow costs; unlimited loss exposure; margin calls,Run 5 long/short equity with beta/sector neutralization; report long and short leg attribution separately
etf_only_universe_35_assets,01_data_hub.ipynb; all layers,Free data; liquidity; simplicity,35 collinear ETFs = ~5 effective bets; cross-sectional ML/factors starved of breadth; PPP found no latent sleeve because none exists at ETF level,PPP null; Phase 4B sector ceiling; breakthrough audit Bottleneck 4 (return ceiling on liquid ETFs); Track B: only lever left was beta,Single-stock data cost; corporate actions; survivorship engineering,Runs 3-7 on survivorship-free single-stock panel (Norgate/Sharadar); keep ETFs for macro sleeves only
no_leverage,portfolio construction,Risk containment,System runs 7.5% vol vs 10% target with 0.24 SPY beta; even perfect signals capped at sub-market returns,Production: 7.13% CAGR at 7.5% vol while SPY 10.5% at 19% vol; unlevered Sharpe 0.95 would be ~12%+ at SPY vol,Leverage amplifies drawdowns and decay; financing cost ~fed funds + spread; margin calls,Run 43: vol-targeted modest leverage (1.0-1.5x) on the highest-Sharpe sleeve mix; futures give cheap embedded leverage (Run 8)
avg_27.6pct_BIL_cash_floor,BIL/defense overlay + state multipliers,Stressed-market defense,~28% of capital earns T-bill returns at all times; chop episodes hold 44% BIL; early recovery 53% BIL while SPY +73% annualized,Moonshot episode map: early_recovery gap -12 to -23pp per episode; pin earns 11.9% vs SPY 72.6% annualized in those 76 weeks,2008-type false rallies; whipsaw turnover,"Offensive base: cash floor 0-10% except confirmed panic; PBI-style re-risking natively, not through wrapper"
stressed_panic_modifier_frozen_at_1.0,wrapper convention (all overlays),Never increase offense in panic,67% of early-recovery weeks are labeled stressed_panic; the biggest repeating opportunity is structurally unreachable,Moonshot: PBI mechanism real but capped at +0.003 Sharpe by 15% offense base in panic,Improving-then-collapsing panics (2008); one bad episode erases years,Run 2: native Layer-2B PBI integration with uncapped panic offense and explicit episode stop-loss
r2a_alpha_0.08_amplitude,production wrapper (Frontier P1B predeclared),Conservative predeclaration,Walk-forward selection picks 3-6x larger amplitude at essentially every checkpoint since 2009; gates pass to alpha=0.40,Moonshot: alpha grid monotone in Sharpe/CVaR to cost gate at 0.48; Confirm1 A/B/C all confirmed,Signal decay amplified at higher amplitude,Human decision pending on Confirm1; offensive base re-derives amplitude from log-growth objective
turnover_cost_gate_1.10x,Phase D gates; production_costs.py (10bps/one-way),Cost discipline,Binds before information runs out (alpha curve stops at 0.48 because of cost gate not signal); blocks any higher-frequency idea,Moonshot: 'governance not the data is the constraint'; rerisk_4w variant rejected on turnover,Real costs are real; but 10bps flat may overstate ETF spreads (SPY ~1bp),Run 46: measured per-instrument cost model; let strategies earn their turnover budget instead of hard multiplier gate
weekly_rebalance_only,entire stack,Simplicity; cost control,"Excludes daily/overnight/intraday effect families entirely (overnight drift, PEAD windows, short-horizon reversal, lead-lag)",Frontier P7 lead-lag failed at weekly (it is a daily effect); reversal IC strongest at short horizons,Costs scale with frequency; infrastructure,Runs 17-18: daily and overnight-horizon strategies with explicit cost accounting
target_vol_overlay_10pct,Layer 3 target-vol scaling,Risk budget,Realized 7.5% vol - the scaler mostly de-risks; return scales down with vol,Production vol 7.52% vs 10% target; Track B vol_throttled variant cut return,Higher vol = deeper drawdowns,Offensive base sets vol target 12-18% or replaces with drawdown-based control after alpha found (Run 45)
fragility_guard_leadership_cap,Phase 5 wrapper (leadership>0.50 blocks boost),Crowding protection,Blocks offense boost in some genuine bull runs; avg SPY weight fell 7.08->5.91%,Resume summary flags SPY reduction as trade-off; guard is a judgment call,Late-cycle crowding is real,Keep as diagnostic; test asymmetric versions on offensive base with stock-level crowding measures
sharpe_first_phase_d_gates,phase_frontier10_final_evaluation.py,Promotion discipline,+0.01 full-Sharpe threshold plus MaxDD/CVaR/turnover gates reject return-seeking candidates that pay any risk; return-increasing candidates rejected while Sharpe-increasing return-reducing ones pass,Track B: all return-increasing variants rejected; alpha=0.40 passes gates while cutting CAGR 7.13->6.97,Gates prevent overfitting; discipline is the project's moat,"Keep gate discipline but re-derive gate set around return-first objectives (net CAGR, log growth, expectancy) per Part IX; drawdown gates re-enter at Run 45"
min_diversification_hrp_dilution,HRP + inverse-vol sleeve weighting,Diversification,HRP spreads capital across correlated sleeves regardless of conviction; concentration never allowed,Phase 7 stretch shadow only reached 7.88%; concentrated top-k never tested,Concentration risk,Run 4: concentrated top-k (5-10 positions) ranking portfolios with explicit position stops
signal_clipping_confidence_shrinkage,composite construction across layers,Robustness,Clipped/shrunk composites cap conviction expression,Moonshot: hand-built R2A at information ceiling of clipped features,Unclipped signals overfit,Report clipped vs unclipped variants in every offensive run
conservative_state_thresholds,Layer 2B thresholds,Avoid false risk-on,neutral_mixed 44% of weeks = no-conviction catch-all; calm_trend under-monetized (4.2% ann vs SPY),Breakthrough audit bottlenecks 1-2; macro quadrant dev spread +1.41%/4w unexploited,Wrong-way risk in transitions,Runs 2/9: macro-factor sub-states + PBI; offense-first thresholds
monthly_macro_as_weekly_overlay,macro classifier Steps 2-2C,Causality caution,Monthly FRED data forced into weekly overlay decisions where it has no weekly information; all overlay variants research-only,Step 2C conclusion: near-zero-turnover calibration was the only viable integration,Macro regime shifts misclassified,Run 9: macro conditions capital allocation across sleeves at monthly frequency instead of weekly overlay
