canonical_name,category,phase_or_date,original_hypothesis,universe,horizon,model_or_method,oos_result,verdict,defensive_constraints_binding,retest_classification,offensive_retest_requirement,source_doc
improved_frontier_phase5_fragility_guard,production_strategy,Frontier P5 / 10A (2026-05),R2A offense scaling gated by crowding guard improves GGG1,35 ETFs long-only,weekly,wrapper modifier on HRP base,"7.13% CAGR, 0.948 Sharpe, -11.6% MaxDD, holdout Sharpe 2.18; 8/8 Phase D gates",PROMOTED (production pin),"vol target, BIL floor, turnover gate, long-only, ETF-only",retest_after_removing_defensive_allocator,Re-express R2A/fragility logic on an unconstrained offense base to measure suppressed return,docs/research/frontier_phase10_final_evaluation_report.md
improved_phase2b_regime_confidence_boost,production_strategy,Phase 2B,Regime-confidence scaling improves baseline,35 ETFs long-only,weekly,confidence-scaled regime overlay,"6.89% CAGR, 0.884 Sharpe, -13.98% MaxDD",prior production pin / rollback,same as pin,retest_after_removing_defensive_allocator,Same as pin,docs/research/phase2b_dual_track_summary.md
improved_phaseggg_confirmed_only_robust_offense,production_strategy,Phase GGG (2026-04),State-conditional composite offense in recovery_confirmed,35 ETFs long-only,weekly,state-conditional composite,Reconstructed exactly (err 2.1e-16); prior Phase III candidate,superseded baseline / rollback,same as pin,retest_after_removing_defensive_allocator,Baseline for any wrapper comparison,docs/research/path1_rebuild_report.md
improved_phase2b_combo_abc,production_strategy,Phase 2B,Combined confidence modifiers A+B+C,35 ETFs long-only,weekly,combined regime modifiers,Tracked shadow comparator,shadow (comparison only),same as pin,retest_after_removing_defensive_allocator,Comparator only,docs/research/phase2b_dual_track_summary.md
hrp_allocator,portfolio_construction,Phase 2A,Hierarchical risk parity beats MVO/ERC/BL on sleeves,8 sleeves,weekly,HRP,Won across 5+ allocator families,adopted,covariance-dominated objective suppresses expected-return input,retest_with_better_targets,Test expected-return-aware allocators (score-weighted / Kelly-fraction) once genuine alpha forecasts exist,project_journey.md sec 3
regime_engine_5state,regime_engine,Phase 2B,Causal walk-forward composite z-score states,market-level,weekly,threshold composite (5 states),"Retained through all redesign attempts; neutral_mixed=44% too heterogeneous, stressed_panic hides 67% of early-recovery weeks",adopted with known deficiencies,conservative thresholds; modifiers frozen at 1.0 in panic,retest_with_better_data,"Split neutral_mixed (macro factors) and panic (PBI); consider jump models; add per-asset states",2026-06-05_breakthrough_research_audit.md
dual_momentum_topn,sleeve,Phase B era,Cross-sectional + absolute momentum ETF selection,35 ETFs long-only,weekly,dual momentum top-N,Standalone weak (top1: 5.6% CAGR 0.31 Sharpe); useful in ensemble,kept as sleeve,long-only; ETF breadth too narrow for XS ranking,retest_with_broader_universe,Rerun cross-sectional momentum on 500-2000 single stocks long/short,track_b_benchmark_comparison.md
cta_trend_long_only,sleeve,Phase B era,Time-series trend following,35 ETFs long-only,weekly,MA/breakout trend,Kept as sleeve; long-only truncates half the signal,kept as sleeve,no shorting; no futures,retest_long_short,Full long/short trend on futures or inverse-capable universe,project_journey.md sec 16
taa_10m_sma,sleeve,Phase B era,10-month SMA timing,ETFs,monthly signal weekly rebal,Faber-style TAA,Kept as sleeve,kept as sleeve,long-only cash fallback,no_retest_justified,Well understood; low ceiling,project_journey.md sec 16
composite_regime_conditioned_offense_defense,sleeve,GGG arc,Regime-gated offense/defense composite,ETFs,weekly,composite gating,Core of GGG1 base,kept as sleeve,offense capped by state multipliers,retest_after_removing_defensive_allocator,Uncap offense multipliers; measure raw state-conditional alpha,project_journey.md sec 68
