correlation_distance_cut,implied_min_correlation,clusters,largest_cluster,share_in_largest,singletons
0.1,0.9,3,11,0.6111,1
0.2,0.8,3,11,0.6111,1
0.3,0.7,3,11,0.6111,1
0.5,0.5,2,12,0.6667,0
0.7,0.3,2,12,0.6667,0
