security_id,ticker,universe,effective_from,effective_to,knowledge_at_utc,source_revision,point_in_time_membership
yahoo-ticker:BIL,BIL,portfolio_optimizer_free_current_etfs,,,2026-08-08T21:28:08.669775+00:00,yfinance-1.5.2:2026-08-08T21:28:08.669775+00:00,false
yahoo-ticker:DBA,DBA,portfolio_optimizer_free_current_etfs,,,2026-08-08T21:28:09.149902+00:00,yfinance-1.5.2:2026-08-08T21:28:09.149902+00:00,false
yahoo-ticker:EEM,EEM,portfolio_optimizer_free_current_etfs,,,2026-08-08T21:28:09.682395+00:00,yfinance-1.5.2:2026-08-08T21:28:09.682395+00:00,false
yahoo-ticker:EFA,EFA,portfolio_optimizer_free_current_etfs,,,2026-08-08T21:28:10.258149+00:00,yfinance-1.5.2:2026-08-08T21:28:10.258149+00:00,false
yahoo-ticker:EWJ,EWJ,portfolio_optimizer_free_current_etfs,,,2026-08-08T21:28:10.839268+00:00,yfinance-1.5.2:2026-08-08T21:28:10.839268+00:00,false
yahoo-ticker:GLD,GLD,portfolio_optimizer_free_current_etfs,,,2026-08-08T21:28:11.277153+00:00,yfinance-1.5.2:2026-08-08T21:28:11.277153+00:00,false
yahoo-ticker:HYG,HYG,portfolio_optimizer_free_current_etfs,,,2026-08-08T21:28:11.840547+00:00,yfinance-1.5.2:2026-08-08T21:28:11.840547+00:00,false
yahoo-ticker:IAU,IAU,portfolio_optimizer_free_current_etfs,,,2026-08-08T21:28:12.173738+00:00,yfinance-1.5.2:2026-08-08T21:28:12.173738+00:00,false
yahoo-ticker:IEF,IEF,portfolio_optimizer_free_current_etfs,,,2026-08-08T21:28:12.805982+00:00,yfinance-1.5.2:2026-08-08T21:28:12.805982+00:00,false
yahoo-ticker:IWM,IWM,portfolio_optimizer_free_current_etfs,,,2026-08-08T21:28:13.367527+00:00,yfinance-1.5.2:2026-08-08T21:28:13.367527+00:00,false
yahoo-ticker:LQD,LQD,portfolio_optimizer_free_current_etfs,,,2026-08-08T21:28:13.909655+00:00,yfinance-1.5.2:2026-08-08T21:28:13.909655+00:00,false
yahoo-ticker:MBB,MBB,portfolio_optimizer_free_current_etfs,,,2026-08-08T21:28:14.433152+00:00,yfinance-1.5.2:2026-08-08T21:28:14.433152+00:00,false
