weeks,start,end,cagr,total_return,sharpe_zero_rf,max_drawdown,annual_volatility,peak_largest_stock_weight,average_growth_allocation,maximum_growth_allocation,annual_total_turnover,cap_event_weeks,scenario,variant,cap_schedule,cost_bps,window,exceptional_signal_share
188,2023-01-06,2026-08-07,0.39125569147974315,2.2996759792201984,1.5267765250535668,-0.21463021884169908,0.23489560460727765,0.1840735604442693,0.22287234042553186,0.5,2.0845052467298317,4,base,breadth3_vol_50,monthly,50,full_recent,0.2712765957446808
157,2023-08-11,2026-08-07,0.3935050543868037,1.7233092619076236,1.467913653278501,-0.21463021884169986,0.24744823889191173,0.1840735604442693,0.2471337579617834,0.5,2.408554859050917,4,base,breadth3_vol_50,monthly,50,since_incumbent_holdout_start,0.3248407643312102
105,2024-08-09,2026-08-07,0.5753733906744429,1.5035879228064797,1.7982193979202294,-0.21252594302288486,0.2745563036202376,0.1840735604442693,0.3104761904761905,0.5,2.742640666079587,3,base,breadth3_vol_50,monthly,50,trailing_2y,0.47619047619047616
53,2025-08-08,2026-08-07,0.9725684138641739,0.9985074353052945,2.43157895417675,-0.1455200365394792,0.2989943302829063,0.1840735604442693,0.4660377358490565,0.5,1.843621521555799,3,base,breadth3_vol_50,monthly,50,trailing_1y,0.8867924528301887
32,2026-01-02,2026-08-07,0.9637103248041103,0.5148001434566787,2.1944250051904364,-0.1455200365394792,0.33370783286811834,0.1840735604442693,0.49375,0.5,1.705754765961102,3,base,breadth3_vol_50,monthly,50,ytd,0.9375
188,2023-01-06,2026-08-07,0.39109761067832616,2.298320685440963,1.5268140439916615,-0.2146302188416992,0.23480058380917473,0.18232530551086468,0.22287234042553186,0.5,2.0912978205617594,8,base,breadth3_vol_50,biweekly,50,full_recent,0.2712765957446808
157,2023-08-11,2026-08-07,0.39331545625743347,1.7221907023506176,1.4678953090038425,-0.21463021884169875,0.24734017067182432,0.18232530551086468,0.2471337579617834,0.5,2.4166886417286397,8,base,breadth3_vol_50,biweekly,50,since_incumbent_holdout_start,0.3248407643312102
105,2024-08-09,2026-08-07,0.5751460214081814,1.5028583559202833,1.798444713143798,-0.2125259430228844,0.27442064021463625,0.18232530551086468,0.3104761904761905,0.5,2.749267011447239,5,base,breadth3_vol_50,biweekly,50,trailing_2y,0.47619047619047616
53,2025-08-08,2026-08-07,0.9720044347660373,0.9979250531834847,2.4323545167193665,-0.14532010435334097,0.29875065881765495,0.18232530551086468,0.4660377358490565,0.5,1.8567491869068076,5,base,breadth3_vol_50,biweekly,50,trailing_1y,0.8867924528301887
32,2026-01-02,2026-08-07,0.962780516324437,0.5143587177676481,2.1950422977079813,-0.1453201043533412,0.33334174367826325,0.18232530551086468,0.49375,0.5,1.7274974616987104,5,base,breadth3_vol_50,biweekly,50,ytd,0.9375
188,2023-01-06,2026-08-07,0.3911233344717928,2.298541198998263,1.528463506895708,-0.21463021884169975,0.23451475432810728,0.17176723232759442,0.22287234042553186,0.5,2.0924998684181983,13,base,breadth3_vol_50,weekly,50,full_recent,0.2712765957446808
157,2023-08-11,2026-08-07,0.3933463084372475,1.7223726979819278,1.4695877642924258,-0.21463021884170053,0.24701491759478109,0.17176723232759442,0.2471337579617834,0.5,2.4181280366140565,13,base,breadth3_vol_50,weekly,50,since_incumbent_holdout_start,0.3248407643312102
105,2024-08-09,2026-08-07,0.5753172615754725,1.5034078096311632,1.801278338836004,-0.21252594302288585,0.2739820585486519,0.17176723232759442,0.3104761904761905,0.5,2.7502609531318107,8,base,breadth3_vol_50,weekly,50,trailing_2y,0.47619047619047616
53,2025-08-08,2026-08-07,0.9724291807688146,0.9983636586410964,2.438850377065288,-0.1439505134561484,0.29794486395320097,0.17176723232759442,0.4660377358490565,0.5,1.8587183166592607,8,base,breadth3_vol_50,weekly,50,trailing_1y,0.8867924528301887
32,2026-01-02,2026-08-07,0.9634807608694795,0.5146911656727067,2.202929541904695,-0.14395051345614862,0.33212979265677667,0.17176723232759442,0.49375,0.5,1.7307588328512105,8,base,breadth3_vol_50,weekly,50,ytd,0.9375
188,2023-01-06,2026-08-07,0.39125569147974315,2.2996759792201984,1.5267765250535668,-0.21463021884169908,0.23489560460727765,0.1840735604442693,0.22287234042553186,0.5,2.0845052467298317,4,base,breadth3_vol_50,monthly_with_weekly_2x_emergency,50,full_recent,0.2712765957446808
157,2023-08-11,2026-08-07,0.3935050543868037,1.7233092619076236,1.467913653278501,-0.21463021884169986,0.24744823889191173,0.1840735604442693,0.2471337579617834,0.5,2.408554859050917,4,base,breadth3_vol_50,monthly_with_weekly_2x_emergency,50,since_incumbent_holdout_start,0.3248407643312102
105,2024-08-09,2026-08-07,0.5753733906744429,1.5035879228064797,1.7982193979202294,-0.21252594302288486,0.2745563036202376,0.1840735604442693,0.3104761904761905,0.5,2.742640666079587,3,base,breadth3_vol_50,monthly_with_weekly_2x_emergency,50,trailing_2y,0.47619047619047616
53,2025-08-08,2026-08-07,0.9725684138641739,0.9985074353052945,2.43157895417675,-0.1455200365394792,0.2989943302829063,0.1840735604442693,0.4660377358490565,0.5,1.843621521555799,3,base,breadth3_vol_50,monthly_with_weekly_2x_emergency,50,trailing_1y,0.8867924528301887
32,2026-01-02,2026-08-07,0.9637103248041103,0.5148001434566787,2.1944250051904364,-0.1455200365394792,0.33370783286811834,0.1840735604442693,0.49375,0.5,1.705754765961102,3,base,breadth3_vol_50,monthly_with_weekly_2x_emergency,50,ytd,0.9375
